date,open,high,low,close,volume
2026-02-02,24.52,25.49,22.31,22.86,4446352.0
2026-02-03,23.7,25.1199,22.95,25.06,5368086.0
2026-02-04,25.05,25.05,23.055,24.41,5226140.0
2026-02-05,23.19,24.43,21.95,22.395,2341477.0
2026-02-06,23.39,24.44,23.1101,23.88,2619341.0
2026-02-09,24.0,25.32,23.4,24.71,2963556.0
2026-02-10,24.36,24.63,22.94,23.0,2106768.0
2026-02-11,23.1,23.2908,20.45,20.82,3629802.0
2026-02-12,20.84,20.86,18.8,19.13,3101412.0
2026-02-13,19.1,20.4,18.9378,19.3,2315717.0
2026-02-17,19.0,21.7,18.6177,20.38,4286049.0
2026-02-18,20.35,22.0,20.16,21.47,2743896.0
2026-02-19,20.75,21.9099,20.52,21.53,1612019.0
2026-02-20,21.0,21.76,19.84,19.98,2110372.0
2026-02-23,19.49,20.2,19.21,19.98,1370299.552469
2026-02-24,19.98,20.72,19.12,20.7,1643360.622741
2026-02-25,20.7,21.03,19.96,20.35,2261877.174555
2026-02-26,20.38,21.78,20.05,21.53,2951299.544895
2026-02-27,20.47,20.69,18.8415,19.27,3580201.555291
2026-03-02,18.5,21.45,18.1116,20.92,3033918.266518
2026-03-03,20.3,21.2499,19.56,20.86,1493458.46202
2026-03-04,20.84,21.93,20.71,21.4,1952460.475128
2026-03-05,21.105,21.61,19.45,20.38,1758299.111112
2026-03-06,19.98,21.16,19.535,19.73,1524159.719853
2026-03-09,19.53,21.035,19.22,20.75,2533779.03658
2026-03-10,20.16,20.16,18.81,19.39,3296609.743483
2026-03-11,19.18,20.615,19.15,20.6,2608764.993991
2026-03-12,23.7,25.17,22.9101,23.23,14211550.192742
2026-03-13,23.84,25.3299,23.33,23.47,5604785.347824
2026-03-16,23.9,25.19,22.77,23.93,3622028.792344
2026-03-17,23.92,25.03,23.5777,24.58,3062309.429781
2026-03-18,24.07,24.49,23.05,23.19,3616951.694853
2026-03-19,22.13,23.47,21.94,22.96,5401346.217177
2026-03-20,25.55,27.17,22.12,23.22,16002398.34243
2026-03-23,22.64,25.025,21.53,24.01,7748057.545339
2026-03-24,23.64,24.3,22.57,23.73,5139932.296894
2026-03-25,24.63,28.34,24.31,27.53,9597478.542773
2026-03-26,26.9,28.12,25.72,26.81,6403967.920623
2026-03-27,26.2,26.67,23.03,23.705,6455002.503854
2026-03-30,24.02,24.61,22.7817,23.62,5325213.358816
2026-03-31,24.675,28.71,24.525,28.47,9350645.704424
2026-04-01,29.12,31.37,28.84,29.76,9837527.669671
2026-04-02,27.56,33.08,27.42,32.93,7745301.185722
2026-04-06,33.87,35.8,32.562,34.85,10061549.812983
2026-04-07,33.67,36.1,32.16,35.57,9070245.808567
2026-04-08,38.1,39.86,36.03,38.12,9681612.665027
2026-04-09,37.985,41.51,37.275,37.57,13195734.059368
2026-04-10,37.425,39.75,36.15,37.54,6902083.344024
2026-04-13,36.71,39.63,36.7,38.8,5499507.417117
2026-04-14,40.405,40.99,34.08,36.61,9972824.83486
2026-04-15,36.56,37.69,35.06,37.62,5025196.000838
2026-04-16,38.04,44.3192,37.08,44.17,9149317.193838
2026-04-17,44.65,46.28,42.96,43.72,7762396.361595
2026-04-20,43.04,46.2959,42.25,42.79,4886665.668405
2026-04-21,43.54,44.86,41.8301,42.09,4918541.917843
2026-04-22,43.45,45.75,39.22,41.45,6833600.065638
2026-04-23,40.65,40.96,36.9001,38.54,4464078.950197
2026-04-24,39.18,39.31,35.0,35.13,4973597.886359
2026-04-27,35.18,36.01,33.0,34.51,4465734.327038
2026-04-28,33.56,34.845,32.79,34.215,3393982.597151
2026-04-29,33.7,33.7,31.2355,33.49,3609732.022892
2026-04-30,33.75,35.45,33.1,34.6,4144183.470664
2026-05-01,35.12,35.12,32.5645,33.8,3319792.13012
2026-05-04,33.8,34.48,32.35,33.37,4959760.237233
2026-05-05,38.69,39.138,31.3,31.52,8563413.953518
2026-05-06,32.66,35.99,32.2,34.55,7950281.745677
2026-05-07,34.615,35.1999,31.81,32.36,3701811.871136
2026-05-08,33.315,40.4,32.775,39.68,11917290.789324
2026-05-11,38.44,40.355,36.9,38.24,7972931.741567
2026-05-12,36.96,40.23,36.25,39.32,7167606.856317
2026-05-13,39.99,41.0,38.0101,39.37,6071779.874306
2026-05-14,39.655,43.6,38.28,42.38,8358658.510365
2026-05-15,40.65,42.1499,37.652,40.43,8251717.718644
2026-05-18,43.31,47.71,42.34,43.95,9863396.11993
2026-05-19,42.945,43.56,39.11,42.57,5832674.237973
2026-05-20,43.63,45.1,41.8,44.0,5779466.07455
2026-05-21,42.515,43.15,40.65,42.86,4349163.362039
2026-05-22,42.93,50.02,42.93,49.5,8821802.824884
2026-05-26,53.29,62.17,51.99,58.81,15777620.425535
2026-05-27,58.67,62.15,55.25,57.28,11663818.790876
2026-05-28,57.0,57.0,48.53,49.37,15318804.568054
2026-05-29,46.44,47.305,44.0,46.49,22389156.060387
2026-06-01,44.96,46.0174,39.75,44.24,16244813.996385
2026-06-02,44.03,46.44,43.0301,43.37,6220033.31503
2026-06-03,42.23,44.8,39.34,39.78,8024694.393742
2026-06-04,38.78,42.98,38.102,41.33,6284139.285504
2026-06-05,39.685,40.79,35.55,36.1,6683984.898762
2026-06-08,37.18,38.2,35.68,36.18,4218837.163135
2026-06-09,37.94,38.0,31.91,33.445,6331923.11225
2026-06-10,34.75,35.35,32.67,33.42,5151191.942818
2026-06-11,34.825,39.53,34.354,39.37,10324141.452159
