date,open,high,low,close,volume
2026-02-02,22.35,23.11,22.28,22.52,13511196.0
2026-02-03,23.32,23.34,20.7901,21.5,8991561.0
2026-02-04,21.28,21.3,19.1601,19.93,10397605.0
2026-02-05,19.245,19.76,18.23,18.48,8573931.0
2026-02-06,18.495,19.51,18.15,19.34,7758609.0
2026-02-09,19.28,20.65,18.83,20.25,3737861.0
2026-02-10,20.51,20.76,19.86,19.95,3373001.0
2026-02-11,20.25,20.318,18.96,19.41,4663311.0
2026-02-12,19.55,19.55,17.7,17.87,5835976.0
2026-02-13,17.8,18.1945,17.21,17.6,6359184.0
2026-02-17,17.205,18.02,16.58,17.81,5847979.0
2026-02-18,17.89,18.6798,17.67,18.25,4657480.0
2026-02-19,17.99,18.5,17.76,18.17,4039757.0
2026-02-20,17.84,19.1,17.7,18.43,7884344.0
2026-02-23,18.23,18.23,16.92,17.15,7182426.01109
2026-02-24,16.905,17.53,16.4501,17.43,6840891.86168
2026-02-25,17.805,18.685,17.795,18.61,7521402.056799
2026-02-26,18.57,18.6,17.5,18.31,14044001.052211
2026-02-27,17.97,18.44,17.661,18.39,10145204.929936
2026-03-02,17.79,19.185,17.6901,18.97,14508806.459841
2026-03-03,17.86,19.1,17.61,19.0,12602417.530461
2026-03-04,19.01,20.23,18.94,19.89,8396749.91145
2026-03-05,19.925,20.69,19.68,20.48,7570613.052269
2026-03-06,19.755,20.53,19.51,19.94,4610516.672623
2026-03-09,19.3,20.76,19.21,20.61,6870294.517116
2026-03-10,20.83,20.95,20.18,20.46,6770815.040468
2026-03-11,20.71,21.045,20.06,20.43,3968628.755084
2026-03-12,20.06,20.34,19.55,19.73,3795089.46743
2026-03-13,19.77,20.0199,18.59,18.81,4792685.834383
2026-03-16,19.33,19.59,18.99,19.15,3838990.841048
2026-03-17,19.31,19.82,19.17,19.38,2927909.423821
2026-03-18,19.13,19.5401,18.665,18.73,3960741.043023
2026-03-19,18.365,18.57,17.95,18.37,4202929.949265
2026-03-20,18.14,18.14,16.79,17.18,7672264.762254
2026-03-23,17.9,18.5,17.615,17.95,6306792.831302
2026-03-24,17.62,17.865,16.77,16.9,7024925.558907
2026-03-25,17.34,17.52,16.89,17.05,4024020.542208
2026-03-26,16.43,16.55,15.3909,15.43,8324425.682328
2026-03-27,15.19,15.2,14.28,14.39,7269756.369273
2026-03-30,14.67,14.7,13.485,13.73,6548064.615027
2026-03-31,14.3,15.735,14.26,15.63,12832155.002183
2026-04-01,16.12,16.76,15.85,16.31,9000837.418228
2026-04-02,15.26,16.565,14.96,16.55,6895932.823668
2026-04-06,16.76,17.135,16.59,16.85,4297059.651152
2026-04-07,16.82,17.295,16.0992,17.25,8133851.398539
2026-04-08,19.43,19.55,18.29,18.51,8347236.942845
2026-04-09,18.73,19.18,18.035,19.12,6517192.102399
2026-04-10,19.28,19.865,19.25,19.57,6072114.005151
2026-04-13,19.5,20.345,19.2,20.31,5786359.681528
2026-04-14,20.84,22.255,20.795,22.21,9084031.118417
2026-04-15,22.45,23.54,22.345,23.52,9471418.69711
2026-04-16,23.63,23.965,22.92,23.67,12272318.654357
2026-04-17,23.615,24.14,23.375,23.84,8479762.633583
2026-04-20,23.6,23.675,22.41,23.07,8779791.564481
2026-04-21,23.3,23.47,22.525,22.74,4832452.358974
2026-04-22,23.5,24.765,23.26,24.64,6538129.862888
2026-04-23,24.34,24.525,22.84,23.55,6703514.51915
2026-04-24,24.02,24.8099,23.555,24.71,6977729.747806
2026-04-27,24.63,25.3,24.56,25.26,5671056.496348
2026-04-28,24.19,24.655,23.74,24.43,6611257.70596
2026-04-29,24.36,24.685,23.87,24.5,5641462.799846
2026-04-30,24.87,24.9422,23.0,24.4,6337918.991212
2026-05-01,24.77,25.75,24.685,25.24,7691418.327393
2026-05-04,25.64,26.23,25.18,25.68,7649895.418132
2026-05-05,26.3,26.78,26.11,26.33,4693363.836852
2026-05-06,26.73,27.55,26.41,27.45,5731262.284731
2026-05-07,27.5,28.51,27.01,27.25,6319476.557424
2026-05-08,27.78,29.36,27.73,29.2,6550741.578302
2026-05-11,29.29,29.895,29.04,29.42,6461555.530376
2026-05-12,28.86,29.2,27.19,28.84,6901673.295771
2026-05-13,29.21,30.27,28.41,29.98,6091395.520174
2026-05-14,29.735,30.94,29.67,30.53,10046258.634041
2026-05-15,29.17,29.965,28.535,28.97,5264111.500987
2026-05-18,29.06,29.3599,27.365,28.27,4774408.12459
2026-05-19,27.58,28.33,26.89,27.62,6529282.476104
2026-05-20,28.04,28.775,27.44,28.73,4082526.993872
2026-05-21,28.4,29.66,28.31,29.26,4967352.179811
2026-05-22,29.26,29.645,28.58,28.73,4687140.072817
2026-05-26,29.95,31.385,29.91,31.1,5579483.757741
2026-05-27,31.785,31.95,30.92,31.83,6133876.15313
2026-05-28,31.8,33.085,31.46,32.88,5194932.58163
2026-05-29,33.67,34.99,33.56,34.76,6807097.874943
2026-06-01,35.75,36.78,35.5441,36.15,7722266.725702
2026-06-02,36.41,36.47,34.97,35.74,4535689.655313
2026-06-03,35.98,36.1,33.8,34.4,5557420.292503
2026-06-04,31.99,32.965,31.36,32.16,4783483.736463
2026-06-05,30.62,30.98,26.72,26.99,9403519.896476
2026-06-08,28.49,28.98,27.72,28.21,4346826.837212
2026-06-09,28.98,29.29,24.3,27.06,10678793.446394
2026-06-10,25.91,26.9498,24.865,25.01,5067796.976167
2026-06-11,25.05,27.01,24.09,26.94,8156464.673104
