date,open,high,low,close,volume
2026-02-02,4.04,4.2024,4.0267,4.05,23043.0
2026-02-03,4.1,4.1,3.76,3.795,21360.0
2026-02-04,3.85,3.8999,3.4,3.52,61435.0
2026-02-05,3.46,3.48,3.1,3.4,48395.0
2026-02-06,3.36,3.73,3.36,3.55,6320.0
2026-02-09,3.6,3.65,3.59,3.64,5369.0
2026-02-10,3.57,3.78,3.57,3.61,10611.0
2026-02-11,3.71,3.71,3.45,3.51,6028.0
2026-02-12,3.41,3.53,3.38,3.38,9472.0
2026-02-13,3.366,3.46,3.11,3.11,17456.0
2026-02-17,3.11,3.25,3.08,3.13,8755.0
2026-02-18,3.13,4.19,3.0,3.55,351427.0
2026-02-19,3.67,3.67,3.21,3.3,25644.0
2026-02-20,3.2,3.525,3.0101,3.41,39838.0
2026-02-23,3.47,3.47,3.1758,3.3,14754.190143
2026-02-24,3.31,3.4,3.21,3.33,7438.00171
2026-02-25,3.57,4.24,3.5506,4.13,121526.701353
2026-02-26,4.17,4.21,3.58,3.58,64480.921509
2026-02-27,3.65,3.81,3.65,3.72,15712.344327
2026-03-02,3.54,3.9199,3.5,3.64,44768.649139
2026-03-03,3.5,3.64,3.4285,3.495,6018.225
2026-03-04,3.705,3.91,3.41,3.64,32125.76923
2026-03-05,3.73,3.89,3.64,3.86,17962.45939
2026-03-06,3.78,3.9498,3.7306,3.83,14003.2
2026-03-09,3.67,3.86,3.6605,3.815,35719.251507
2026-03-10,3.85,3.95,3.8105,3.95,12458.0
2026-03-11,3.905,4.0,3.905,3.97,12510.13229
2026-03-12,3.95,4.0688,3.86,3.9,11718.614604
2026-03-13,3.84,4.19,3.84,3.93,17008.112987
2026-03-16,4.1,4.1099,3.8201,3.88,47154.607318
2026-03-17,3.86,4.0,3.86,3.93,6826.803
2026-03-18,3.81,3.99,3.6447,3.72,11851.155
2026-03-19,3.69,3.775,3.58,3.62,3615.166065
2026-03-20,3.55,3.7134,2.32,2.32,248748.0017
2026-03-23,2.7,3.07,2.52,2.62,302343.151017
2026-03-24,2.58,2.9547,2.5501,2.8,30964.077512
2026-03-25,2.81,3.03,2.74,2.82,34775.332584
2026-03-26,2.7301,2.9499,2.7301,2.79,22627.051423
2026-03-27,2.79,2.85,2.76,2.76,13452.441136
2026-03-30,2.75,2.79,2.6106,2.64,34252.7478
2026-03-31,2.77,2.8,2.66,2.72,6930.0078
2026-04-01,2.71,3.055,2.71,2.95,13045.318138
2026-04-02,2.975,3.0101,2.85,2.96,8280.331257
2026-04-06,3.05,3.239,3.0,3.01,9223.558863
2026-04-07,2.99,3.07,2.9,2.93,10034.0
2026-04-08,3.11,3.13,3.01,3.06,16841.575562
2026-04-09,3.05,3.13,3.0,3.01,6909.0701
2026-04-10,3.04,3.1,3.01,3.01,5763.353333
2026-04-13,2.96,3.08,2.92,3.04,13102.6667
2026-04-14,3.04,3.43,3.04,3.42,49157.345045
2026-04-15,3.5,3.65,3.35,3.65,68377.294765
2026-04-16,3.62,3.86,3.4,3.85,27246.256318
2026-04-17,3.77,4.0,3.67,3.94,30907.088261
2026-04-20,3.85,4.065,3.85,4.0,23872.624453
2026-04-21,4.0,4.0,3.8,3.85,13305.18897
2026-04-22,3.9405,4.21,3.85,4.19,25513.983701
2026-04-23,4.15,4.3,4.02,4.05,31009.007594
2026-04-24,4.25,4.3,4.1,4.225,17576.93021
2026-04-27,4.17,4.265,4.09,4.09,13211.778522
2026-04-28,4.195,4.195,3.97,3.97,7361.0
2026-04-29,3.73,3.93,3.33,3.39,62888.13613
2026-04-30,3.42,4.06,3.42,4.0,45062.333504
2026-05-01,4.01,4.37,3.8501,4.34,31774.5
2026-05-04,4.44,4.97,4.4,4.9,133481.778548
2026-05-05,4.67,5.99,3.13,5.99,1360024.307217
2026-05-06,7.5,8.1799,1.19,1.24,18041103.526727
2026-05-07,1.38,1.41,0.1366,0.151,228549772.427681
2026-05-08,0.2301,0.2316,0.1193,0.16,475995475.993158
2026-05-11,0.1433,0.1537,0.1194,0.148,87463842.681387
2026-05-12,0.1403,0.1432,0.1301,0.1408,37695571.300602
2026-05-13,0.1612,0.175,0.14,0.155,102160648.700469
2026-05-14,0.143,0.15,0.1386,0.142,31843220.355063
2026-05-15,0.1386,0.1577,0.13,0.1474,42574804.809779
2026-05-18,0.147,0.1499,0.132,0.144,38273553.458624
2026-05-19,0.1366,0.1417,0.1324,0.1405,11117203.980413
2026-05-20,0.1455,0.15,0.0911,0.116,192479654.545207
2026-05-21,0.11,0.1196,0.1007,0.1105,32090062.391481
2026-05-22,0.118,0.118,0.1009,0.109,23722437.458175
2026-05-26,0.1204,0.1289,0.104,0.111,71409612.524669
2026-05-27,0.1106,0.1123,0.1035,0.107,18783193.065351
2026-05-28,0.107,0.1181,0.1055,0.1181,18677084.341448
2026-05-29,0.1173,0.139,0.1083,0.11,53993697.746694
2026-06-01,0.115,0.1268,0.1105,0.126,55097625.098949
2026-06-02,0.122,0.122,0.1094,0.114,21771655.281756
2026-06-03,0.1099,0.1114,0.09,0.1049,27846795.45983
2026-06-04,0.103,0.1333,0.0997,0.12,44931337.843949
2026-06-05,0.109,0.1111,0.095,0.0999,27847686.727913
