date,open,high,low,close,volume
2026-02-02,739.68,762.36,733.0,754.97,4074379.0
2026-02-03,775.0,791.95,754.11,780.25,3856158.0
2026-02-04,794.0,795.5,708.75,746.22,5057996.0
2026-02-05,717.23,758.34,714.2512,737.53,3608563.0
2026-02-06,758.07,779.56,753.0,779.35,3283908.0
2026-02-09,776.21,814.8599,771.01,801.54,3105772.0
2026-02-10,803.855,809.37,787.0001,790.79,2458281.0
2026-02-11,822.93,834.0,802.7,823.67,2820998.0
2026-02-12,827.0,845.9999,811.6,816.56,2677687.0
2026-02-13,815.0,823.1,795.11,802.13,2020873.0
2026-02-17,794.24,828.53,790.6202,819.15,2221624.0
2026-02-18,820.0,832.8999,811.0,817.55,1808911.0
2026-02-19,816.675,837.3999,810.54,834.61,1655631.0
2026-02-20,829.85,842.5,822.0001,830.34,1712678.0
2026-02-23,823.0,833.1,812.74,831.7,1438182.865614
2026-02-24,830.95,879.89,824.9,879.73,2305259.605488
2026-02-25,887.96,894.9299,873.61,876.01,2293148.873584
2026-02-26,877.37,879.55,830.7,876.46,2796742.251676
2026-02-27,867.7,876.355,853.34,873.6,2456197.25992
2026-03-02,865.0,893.56,854.0,881.18,2421431.423807
2026-03-03,864.44,864.44,811.56,842.0,3558097.694478
2026-03-04,850.6,868.61,838.09,841.27,1817473.961553
2026-03-05,830.01,844.25,791.0949,815.01,3209153.406809
2026-03-06,792.97,816.14,782.37,789.23,2678645.570202
2026-03-09,782.53,830.49,777.0,830.1,2878026.088575
2026-03-10,835.96,852.9199,832.1,839.2,2393625.672969
2026-03-11,836.03,852.7499,832.25,847.65,1706690.17911
2026-03-12,844.13,845.25,819.1,832.11,2142896.879656
2026-03-13,832.99,845.29,802.76,805.02,2271146.881805
2026-03-16,817.5,837.0,811.12,827.37,2361357.665525
2026-03-17,827.37,844.27,817.52,844.05,2259252.056182
2026-03-18,844.525,880.21,844.525,858.47,2193134.425367
2026-03-19,841.5,878.18,829.95,877.39,2509526.825101
2026-03-20,877.77,891.99,844.25,851.07,4438066.57584
2026-03-23,865.685,920.63,860.0,882.64,3353891.497233
2026-03-24,864.13,913.58,860.01,909.41,2782041.801637
2026-03-25,927.0,948.38,920.9,923.69,2864889.157961
2026-03-26,915.0,917.2636,871.01,873.12,3000650.12145
2026-03-27,867.555,878.39,846.0,853.16,2494731.674036
2026-03-30,860.64,862.7099,807.0,817.35,2830824.282703
2026-03-31,827.13,873.32,824.01,872.9,3469215.695579
2026-04-01,888.49,912.62,887.49,894.78,2467657.234705
2026-04-02,869.0,913.0,865.95,898.57,1944149.283953
2026-04-06,901.83,911.4999,887.0001,897.36,1386258.087492
2026-04-07,894.19,910.9399,879.2,910.75,1399055.029111
2026-04-08,950.0,962.7197,930.55,936.07,2336882.022277
2026-04-09,943.56,979.43,940.76,968.02,2061251.110157
2026-04-10,973.11,999.43,970.0101,991.32,2164566.847343
2026-04-13,998.0,1007.38,987.16,991.12,1636176.21684
2026-04-14,1000.0,1006.295,979.0,987.5,2028253.762988
2026-04-15,985.1,1003.99,973.68,985.92,2306947.585687
2026-04-16,982.64,989.0,969.52,978.32,1402664.930918
2026-04-17,988.65,1009.49,977.21,1002.75,2328796.719386
2026-04-20,1006.23,1009.8899,990.18,990.18,1804871.237151
2026-04-21,994.0,1016.0,984.09,991.3,2111121.495371
2026-04-22,1076.16,1142.0,1074.22,1127.56,4184734.92733
2026-04-23,1147.89,1181.95,1133.49,1149.53,3073204.278947
2026-04-24,1161.02,1167.0,1125.02,1149.19,3633758.898346
2026-04-27,1135.235,1140.0,1084.95,1120.23,3845840.818446
2026-04-28,1090.0,1091.83,1050.4901,1088.93,4205987.463756
2026-04-29,1091.79,1107.5,1047.5,1063.11,3721142.735698
2026-04-30,1079.23,1093.9999,1066.61,1083.46,3533224.420322
2026-05-01,1088.83,1093.68,1062.0,1062.95,1890378.214493
2026-05-04,1072.27,1098.9,1066.38,1073.95,1923213.928608
2026-05-05,1093.5,1109.95,1088.0,1095.21,2075628.140275
2026-05-06,1114.0,1125.43,1069.27,1118.96,2282777.424331
2026-05-07,1114.92,1115.83,1040.42,1045.63,2588259.715762
2026-05-08,1067.34,1069.295,1034.43,1040.15,1828693.909734
2026-05-11,1041.78,1086.23,1031.15,1073.08,2509952.750344
2026-05-12,1054.0,1076.6799,1033.285,1071.98,2102760.555766
2026-05-13,1084.65,1085.0,1047.3,1062.57,1588376.261329
2026-05-14,1061.46,1090.7,1049.0,1090.53,1690623.581278
2026-05-15,1066.0,1066.0,1038.5,1049.23,2445834.783984
2026-05-18,1049.0,1049.33,980.1401,1012.25,3116472.230803
2026-05-19,994.3,1024.84,984.15,1011.8,2246667.869813
2026-05-20,1024.03,1041.99,1004.5,1024.52,2564634.280668
2026-05-21,1018.0,1046.8799,1014.7178,1043.82,1633665.634962
2026-05-22,1060.39,1061.4,1034.2,1038.74,1475834.077133
2026-05-26,1045.78,1094.9999,1045.0,1070.47,1879653.748459
2026-05-27,1047.28,1052.55,1017.33,1031.89,2270044.434641
2026-05-28,1025.4,1032.7456,990.46,996.0,3013964.690775
2026-05-29,996.01,1003.77,952.01,968.32,5284873.323603
2026-06-01,959.97,970.64,939.0,950.54,2679348.987658
2026-06-02,962.78,977.0,944.15,969.67,2248232.551173
2026-06-03,976.99,992.0,956.59,959.36,2079469.371914
2026-06-04,940.0,968.75,923.0,963.33,2180354.848514
2026-06-05,947.29,953.0,921.455,933.61,3053471.916576
2026-06-08,947.91,952.79,931.86,933.85,1842225.780406
2026-06-09,927.99,947.84,878.0,920.15,3842711.973127
2026-06-10,897.51,908.05,856.01,867.09,5302759.894636
2026-06-11,888.07,920.52,884.735,906.79,4261229.794395
2026-06-12,907.5,943.68,907.5,940.66,2787669.272805
