date,open,high,low,close,volume
2026-02-02,41.49,42.7983,41.4,42.18,2687943.0
2026-02-03,42.24,42.34,39.18,40.69,3068006.0
2026-02-04,40.69,41.8,40.26,41.1,2544847.0
2026-02-05,40.455,41.1,40.0,40.97,3950888.0
2026-02-06,41.07,43.06,41.0,42.91,3352225.0
2026-02-09,42.91,43.67,42.615,43.525,3476271.0
2026-02-10,43.7,43.95,41.67,41.9,8093069.0
2026-02-11,43.685,48.88,43.2,48.74,7701319.0
2026-02-12,49.235,50.98,48.01,48.7,7396262.0
2026-02-13,47.96,49.99,47.755,48.99,3708370.0
2026-02-17,48.93,49.37,47.3101,48.22,3838742.0
2026-02-18,48.28,48.6899,46.0987,46.55,3017724.0
2026-02-19,46.33,46.87,45.3,45.44,2443806.0
2026-02-20,45.23,47.165,45.2,46.19,2504050.0
2026-02-23,45.78,46.6228,45.57,46.16,2202839.446388
2026-02-24,46.92,47.92,46.84,47.62,3104381.80854
2026-02-25,47.7,48.98,47.625,48.86,2809809.455437
2026-02-26,48.8,48.96,45.72,46.92,4284347.719787
2026-02-27,45.9,47.59,45.5,47.55,2837113.586673
2026-03-02,46.59,50.06,46.02,49.87,3854626.996007
2026-03-03,48.06,48.23,46.745,47.22,3089000.037441
2026-03-04,47.805,48.1999,46.5,47.57,2370694.483715
2026-03-05,47.63,50.15,46.83,48.33,3833574.447395
2026-03-06,47.35,47.87,46.28,46.88,2643538.408209
2026-03-09,45.85,47.42,44.52,47.38,4085588.327913
2026-03-10,47.24,48.25,46.54,46.63,2515508.709792
2026-03-11,47.1,47.55,42.82,44.09,3750794.080491
2026-03-12,42.37,43.24,40.995,41.59,16821768.183723
2026-03-13,41.85,42.255,41.21,41.86,4908506.260716
2026-03-16,42.98,44.16,42.4,43.77,5681112.463004
2026-03-17,43.58,44.7499,43.02,43.25,3631885.512817
2026-03-18,43.25,43.45,42.435,42.47,3450764.706214
2026-03-19,41.57,43.385,41.1,43.36,5059718.346447
2026-03-20,43.06,44.38,42.65,43.08,8014761.661585
2026-03-23,44.49,44.58,43.495,43.96,2442938.706828
2026-03-24,43.33,46.94,43.28,46.08,4041222.617101
2026-03-25,46.72,47.76,46.44,46.74,4000885.522658
2026-03-26,45.99,46.49,44.42,44.57,2360241.067617
2026-03-27,43.775,44.4269,42.62,42.94,2019082.882762
2026-03-30,43.485,44.01,40.54,41.38,4483683.715251
2026-03-31,42.07,44.71,41.89,44.48,3373108.644053
2026-04-01,45.04,45.745,43.87,44.24,3427288.691126
2026-04-02,42.96,44.52,42.6,43.75,2431072.793057
2026-04-06,43.81,44.84,42.78,43.61,1880478.271162
2026-04-07,43.51,44.0,42.41,43.93,1665091.067943
2026-04-08,46.13,47.96,45.69,47.8,3877980.561186
2026-04-09,47.6,49.25,47.12,48.7,2928006.327654
2026-04-10,49.33,50.105,48.75,48.93,2596447.473882
2026-04-13,48.59,49.575,48.11,49.03,1626280.098915
2026-04-14,49.35,49.37,48.25,48.41,2289179.873014
2026-04-15,48.31,48.85,47.37,48.31,2643679.438161
2026-04-16,48.71,51.01,48.5,50.39,3817261.439751
2026-04-17,52.06,54.98,52.0,54.75,5077777.127684
2026-04-20,58.44,60.07,56.65,58.76,8783080.786007
2026-04-21,59.67,60.98,58.4,59.245,5687053.306351
2026-04-22,60.26,60.54,58.75,60.39,3001014.170544
2026-04-23,59.635,63.68,59.2732,61.54,4659371.527831
2026-04-24,64.72,65.05,61.41,61.79,4134860.03318
2026-04-27,61.89,61.98,59.2,60.35,3575108.986503
2026-04-28,58.21,59.79,57.93,59.49,3230054.108978
2026-04-29,60.69,63.69,60.1,62.74,4584687.032157
2026-04-30,63.0,64.86,62.26,64.6,3909799.586419
2026-05-01,64.2,65.05,63.36,64.91,2033421.212066
2026-05-04,68.84,69.3,66.82,67.75,5842304.691499
2026-05-05,70.0,74.39,68.02,74.04,9139323.578189
2026-05-06,75.51,75.5299,69.83,72.3,8078901.366985
2026-05-07,72.145,76.3699,68.93,70.93,8995798.181802
2026-05-08,71.99,75.165,70.6001,74.12,6172384.276436
2026-05-11,75.3,76.98,73.56,74.99,3355534.213741
2026-05-12,72.9,73.37,69.7688,72.15,4238124.848907
2026-05-13,74.5,75.6499,73.37,74.99,3069435.564034
2026-05-14,74.97,75.3299,72.885,73.84,2325295.81586
2026-05-15,71.51,71.815,70.07,71.03,3285054.525404
2026-05-18,71.465,71.96,66.58,67.84,3757401.049335
2026-05-19,66.33,68.52,65.51,66.68,2881337.713923
2026-05-20,67.71,70.825,67.23,70.79,3340066.452602
2026-05-21,78.07,81.46,75.11,81.35,11010369.555075
2026-05-22,85.675,89.9,85.06,85.64,11819764.359793
2026-05-26,87.64,92.55,82.85,89.96,11488303.520368
2026-05-27,82.89,83.3,78.89,81.11,21664942.312028
2026-05-28,81.13,82.12,79.5,80.63,9601527.448123
2026-05-29,81.025,82.79,79.27,79.97,5892303.317962
2026-06-01,77.65,81.0,76.34,79.93,6510007.722209
2026-06-02,81.61,85.74,80.01,84.6,5781351.07704
2026-06-03,86.5,88.5,83.31,85.99,5398967.692771
2026-06-04,81.775,86.8456,81.3,84.7,3913624.817148
2026-06-05,82.0,82.535,75.22,75.53,7048614.821068
