date,open,high,low,close,volume
2026-02-02,47.14,47.31,46.31,46.54,49278.0
2026-02-03,47.1,47.89,46.54,47.54,26015.0
2026-02-04,47.84,48.09,47.25,47.7,25252.0
2026-02-05,47.44,47.44,45.83,47.28,44471.0
2026-02-06,47.5,47.75,46.69,46.94,46400.0
2026-02-09,46.01,47.42,45.85,46.32,74583.0
2026-02-10,46.98,47.5,46.59,47.23,43072.0
2026-02-11,47.5,48.5,47.39,48.44,89994.0
2026-02-12,48.83,48.84,47.85,48.4,85799.0
2026-02-13,48.47,49.16,47.87,48.75,70143.0
2026-02-17,48.75,48.75,47.44,47.74,23531.0
2026-02-18,47.89,48.71,47.75,48.44,28913.0
2026-02-19,48.5,48.5,47.7401,48.49,31826.0
2026-02-20,48.25,49.33,47.9,48.48,61766.0
2026-02-23,48.39,48.73,47.41,48.73,36859.400368
2026-02-24,48.49,49.1,48.0,48.19,58716.498375
2026-02-25,48.2,48.64,47.35,48.06,45926.08949
2026-02-26,47.47,48.5,47.3701,48.37,46307.514669
2026-02-27,48.5,48.74,46.375,46.98,71315.612996
2026-03-02,47.2,48.74,45.99,48.74,37924.687719
2026-03-03,48.75,49.17,47.17,49.04,63105.574608
2026-03-04,49.17,49.17,47.79,48.24,26137.1509
2026-03-05,47.76,48.91,47.76,48.5,68315.22873
2026-03-06,48.5,49.03,47.4101,47.61,32754.140122
2026-03-09,47.79,48.44,47.18,48.0,32847.679576
2026-03-10,47.75,48.83,47.61,47.62,39357.340115
2026-03-11,47.49,48.44,47.4101,47.66,29262.315017
2026-03-12,47.58,48.105,47.03,47.63,32146.675392
2026-03-13,47.03,47.935,45.56,46.48,57927.115577
2026-03-16,46.58,47.37,46.37,47.37,25768.509692
2026-03-17,47.45,48.24,46.55,47.47,38903.0255
2026-03-18,47.47,47.94,46.995,47.92,33612.761886
2026-03-19,48.0,48.5,47.615,48.49,30874.2883
2026-03-20,48.5,48.5,46.64,46.64,213849.134015
2026-03-23,46.81,47.29,46.26,46.42,45232.050692
2026-03-24,46.13,46.78,45.54,46.17,37055.812018
2026-03-25,46.59,46.59,44.01,45.11,39415.130641
2026-03-26,44.97,45.74,44.12,45.0,73801.090225
2026-03-27,44.46,44.84,44.0,44.37,34105.38368
2026-03-30,44.24,44.99,40.825,42.4,77720.655526
2026-03-31,42.9,44.66,41.98,42.1,70999.947949
2026-04-01,42.7,44.43,42.0,43.88,46961.33285
2026-04-02,43.89,45.27,43.89,45.0,79887.382701
2026-04-06,44.56,46.15,44.56,45.56,66532.766394
2026-04-07,45.7825,46.74,45.0318,46.44,21698.358921
2026-04-08,45.85,47.44,45.17,47.44,40770.130622
2026-04-09,47.02,47.9799,45.45,46.08,33976.737227
2026-04-10,45.66,46.435,45.66,45.96,14657.971692
2026-04-13,46.71,46.71,45.1701,45.86,17350.08795
2026-04-14,45.17,46.0,44.58,45.98,28694.517642
2026-04-15,44.96,46.35,44.96,45.44,20471.21471
2026-04-16,45.66,46.32,44.9201,45.26,26745.189314
2026-04-17,45.04,46.44,44.7301,45.74,56117.974186
2026-04-20,45.47,46.16,45.34,45.48,25296.449027
2026-04-21,45.5,46.723,45.2,46.02,15664.187566
2026-04-22,45.87,46.61,45.04,46.36,44835.452603
2026-04-23,46.11,47.47,46.0,47.17,82159.380317
2026-04-24,47.25,47.25,45.8,46.39,15535.6988
2026-04-27,46.45,46.83,46.02,46.14,18811.696692
2026-04-28,46.14,47.25,45.6001,47.23,34439.191853
2026-04-29,47.25,48.2499,46.5755,47.49,38817.082821
2026-04-30,47.5,48.78,45.81,48.24,44549.88492
2026-05-01,48.25,49.32,48.025,48.99,69985.581848
2026-05-04,49.0,49.33,47.81,47.85,23921.283877
2026-05-05,47.96,49.0,47.8,48.51,16940.7487
2026-05-06,48.48,48.95,46.66,47.84,55115.164017
2026-05-07,47.86,47.86,46.13,47.75,46986.04135
2026-05-08,47.75,49.57,47.34,48.75,117747.77834
2026-05-11,48.22,48.75,47.6501,47.81,78509.857106
2026-05-12,48.11,48.75,47.0001,48.74,28547.872429
2026-05-13,48.75,48.99,48.315,48.9,94882.0138
2026-05-14,49.0,50.3,48.3662,49.49,178761.090635
2026-05-15,49.7,50.05,48.755,49.22,138935.82269
2026-05-18,49.14,49.65,48.64,48.9,106945.314095
2026-05-19,48.9,50.24,48.0088,50.05,172848.258501
2026-05-20,49.89,52.0,49.4876,51.72,180780.349814
2026-05-21,51.83,52.0,49.95,50.26,71885.589654
2026-05-22,49.98,50.579,49.62,49.62,85202.332796
2026-05-26,49.31,49.6609,48.51,48.8,70996.679662
2026-05-27,49.03,49.25,47.17,47.17,67174.9496
2026-05-28,47.82,48.76,47.62,48.1,40695.947913
2026-05-29,47.72,48.035,46.48,47.34,61696.662317
2026-06-01,47.45,49.18,46.95,48.0,87714.556945
2026-06-02,47.64,49.5,47.64,49.26,56699.865301
2026-06-03,49.5,49.75,48.11,48.45,42661.19501
2026-06-04,48.07,49.94,48.07,49.52,62857.249887
2026-06-05,49.26,50.0,48.8399,49.11,50537.23561
2026-06-08,49.49,50.0,48.4401,48.84,41132.696407
2026-06-09,48.2,49.92,48.11,48.22,62344.355917
2026-06-10,48.76,50.58,48.76,48.93,82384.030556
2026-06-11,49.59,50.425,49.0,49.64,87717.181394
2026-06-12,47.92,49.4949,45.57,47.13,221223.81502
