date,open,high,low,close,volume
2026-02-02,26.91,27.91,26.4,26.44,10357201.0
2026-02-03,25.23,25.96,20.82,21.98,19278693.0
2026-02-04,21.51,21.745,19.72,20.16,12318503.0
2026-02-05,19.09,19.93,16.6701,16.84,15283427.0
2026-02-06,19.625,20.21,18.9,19.76,12671565.0
2026-02-09,19.345,21.54,19.18,21.15,9105596.0
2026-02-10,21.01,21.56,20.62,21.19,5499554.0
2026-02-11,21.07,21.58,19.98,20.4,7309555.0
2026-02-12,20.36,21.07,19.92,20.15,6188312.0
2026-02-13,20.51,21.72,20.2401,21.66,6672473.0
2026-02-17,21.34,21.7,20.67,21.3,5096764.0
2026-02-18,21.45,22.56,21.06,21.73,4571640.0
2026-02-19,21.37,21.7,20.88,21.63,2943454.0
2026-02-20,21.48,22.36,20.885,21.2,3930205.0
2026-02-23,20.63,20.79,20.035,20.34,4042878.911124
2026-02-24,19.95,21.5875,19.92,21.54,5350304.395736
2026-02-25,22.31,23.49,22.01,22.83,4949993.367624
2026-02-26,22.55,23.18,21.21,21.94,4057297.497567
2026-02-27,21.21,21.43,20.05,20.59,5212753.060455
2026-03-02,20.0,21.915,19.86,21.73,4864124.83483
2026-03-03,20.69,21.27,19.92,20.68,3612891.910451
2026-03-04,21.78,24.595,21.765,24.34,8559210.535905
2026-03-05,23.9,24.17,22.1,22.73,4853148.87108
2026-03-06,21.57,22.03,20.39,20.555,5746514.365452
2026-03-09,20.48,21.64,20.038,21.495,4554776.194954
2026-03-10,21.485,22.5,21.08,21.83,4323872.291542
2026-03-11,21.75,22.55,21.27,21.46,4105308.152348
2026-03-12,21.2,21.26,20.39,20.63,2837900.443446
2026-03-13,21.61,22.39,21.51,22.35,7055805.375604
2026-03-16,23.39,24.4,22.98,23.1,6803443.058691
2026-03-17,22.94,23.81,22.76,23.5,2979673.770614
2026-03-18,22.75,23.27,21.56,21.58,3772945.948331
2026-03-19,21.16,21.78,20.41,21.05,11288839.013848
2026-03-20,20.4,20.86,19.8,20.72,5585311.276504
2026-03-23,20.91,21.85,20.68,21.7,4927799.190819
2026-03-24,21.45,22.015,20.75,21.3,4612326.870643
2026-03-25,21.89,22.3,21.09,21.33,3565917.496467
2026-03-26,20.88,21.105,19.53,19.61,4776684.769389
2026-03-27,18.9,19.165,17.79,18.0,6684731.624324
2026-03-30,18.5,18.99,16.785,17.15,6081022.061214
2026-03-31,17.57,18.63,17.53,18.45,6847043.91583
2026-04-01,18.83,18.93,17.31,17.37,7738375.886241
2026-04-02,16.73,17.685,16.43,17.64,5334076.991975
2026-04-06,17.65,18.295,17.59,18.28,2778607.944685
2026-04-07,17.96,18.675,17.18,18.63,5313599.250434
2026-04-08,20.33,20.8,18.62,19.0,5340887.089815
2026-04-09,18.71,21.49,18.71,21.15,7710830.200496
2026-04-10,21.6,22.52,21.18,21.66,6403998.698254
2026-04-13,21.18,22.73,20.76,22.5,5829567.274882
2026-04-14,23.715,24.415,23.4601,23.72,6232361.787936
2026-04-15,23.23,24.45,23.038,24.04,4746632.956807
2026-04-16,24.89,24.89,23.54,24.43,3296909.778647
2026-04-17,25.0,27.1,24.915,25.84,9500252.134486
2026-04-20,25.04,27.125,24.96,26.8,6142016.560416
2026-04-21,26.71,26.9999,24.86,24.95,5408496.192596
2026-04-22,26.0,27.12,25.76,26.8,5007635.023253
2026-04-23,26.3,26.75,25.54,26.28,4150350.470151
2026-04-24,26.68,26.8,25.36,26.005,3407051.683593
2026-04-27,25.94,26.26,24.3,25.05,7213533.436159
2026-04-28,24.655,26.92,23.86,26.36,7437381.230973
2026-04-29,26.41,26.725,24.53,25.42,5771042.628849
2026-04-30,25.89,27.575,25.71,27.44,7669659.508203
2026-05-01,28.25,29.14,27.68,28.11,8026296.73692
2026-05-04,28.56,29.59,28.14,29.17,5249560.524108
2026-05-05,29.55,30.7,29.38,30.32,4749958.566372
2026-05-06,31.0,31.555,29.8244,31.12,5242640.911584
2026-05-07,30.495,30.495,28.51,29.3,4576429.799827
2026-05-08,29.82,30.28,28.2,30.23,4549251.638285
2026-05-11,29.77,32.28,29.1601,31.68,5452956.594913
2026-05-12,30.9,31.61,30.19,31.38,4427887.068001
2026-05-13,31.33,31.88,30.4001,30.81,4683082.345806
2026-05-14,30.81,33.0,30.05,32.04,5250178.578377
2026-05-15,30.45,30.66,29.38,29.61,4051016.134795
2026-05-18,28.57,28.65,27.07,27.87,5217949.61532
2026-05-19,27.51,28.08,26.245,27.55,3097255.893738
2026-05-20,27.86,28.61,27.62,27.77,2864133.738243
2026-05-21,28.08,29.64,27.9801,29.57,4186636.624939
2026-05-22,29.58,29.8,28.0801,28.65,4067976.112073
2026-05-26,29.305,30.82,29.17,29.62,4284874.609187
2026-05-27,29.56,30.15,28.66,29.97,3272702.065904
2026-05-28,29.0,30.4399,28.31,30.13,3984316.894743
2026-05-29,29.585,30.115,28.53,29.58,5588081.203635
2026-06-01,28.69,31.18,28.07,30.81,6468715.287774
2026-06-02,30.25,30.9399,28.595,29.06,5227882.733977
2026-06-03,28.305,30.04,27.8,28.49,7019165.510634
2026-06-04,27.515,30.23,26.9,28.41,8428094.809487
2026-06-05,27.16,27.31,24.05,25.14,12119273.083609
2026-06-08,26.275,31.8,26.2,30.51,19328340.682071
2026-06-09,30.75,32.85,29.7701,32.68,12874540.804519
2026-06-10,32.07,33.78,30.09,30.15,8653970.172003
2026-06-11,30.19,33.45,29.635,33.27,7782387.721475
