date,open,high,low,close,volume
2026-02-06,327.18,330.38,319.92,322.86,56380484.0
2026-02-09,320.93,327.7,317.26,324.32,39640055.0
2026-02-10,320.97,321.67,314.61,318.58,39170012.0
2026-02-11,318.97,321.06,309.66,310.96,45406405.0
2026-02-12,312.09,316.24,307.2,309.0,47761288.0
2026-02-13,307.725,308.63,303.71,305.72,38499701.0
2026-02-17,300.04,304.435,296.25,302.02,39247556.0
2026-02-18,302.09,305.38,301.25,303.33,28482075.0
2026-02-19,301.82,305.47,300.04,302.85,25834395.0
2026-02-20,304.32,316.5,303.9,314.98,53210820.0
2026-02-23,319.045,319.515,309.865,311.49,31422974.242785
2026-02-24,310.515,312.27,305.93,310.9,25615646.349696
2026-02-25,312.06,313.64,309.44,312.9,29963621.892688
2026-02-26,312.64,313.14,302.345,307.38,36431231.916257
2026-02-27,304.135,312.37,303.8,311.76,44640640.733187
2026-03-02,303.225,308.49,301.3,306.52,34790203.894337
2026-03-03,298.59,303.94,296.71,303.58,35496961.444411
2026-03-04,302.89,305.47,300.75,303.13,29536190.587003
2026-03-05,303.035,303.3,297.99,300.88,35752321.356244
2026-03-06,296.09,300.53,295.18,298.52,25576916.464331
2026-03-09,294.36,306.8,294.08,306.36,29312149.232291
2026-03-10,306.17,309.51,305.5704,307.04,23239684.617415
2026-03-11,306.75,311.42,305.92,308.7,24125714.162745
2026-03-12,306.82,308.94,301.03,303.55,24928347.720894
2026-03-13,307.01,307.69,300.44,302.28,23693092.095705
2026-03-16,304.35,306.4886,303.0201,305.56,23519709.663776
2026-03-17,305.86,311.42,305.5,310.92,21955171.147186
2026-03-18,309.27,312.47,306.932,307.69,20009815.852546
2026-03-19,304.005,308.06,302.35,307.13,25075831.032934
2026-03-20,305.46,306.0,298.27,301.0,44364079.99225
2026-03-23,302.11,305.98,300.93,302.06,29326946.346765
2026-03-24,299.2,299.92,290.33,290.44,36864278.442276
2026-03-25,293.44,296.0,289.24,290.93,29460669.502456
2026-03-26,287.91,287.95,278.5,280.92,39080578.803188
2026-03-27,277.275,279.37,273.95,274.34,35890612.090519
2026-03-30,276.42,277.09,272.11,273.5,35141244.03758
2026-03-31,278.04,288.08,277.09,287.56,43875400.938566
2026-04-01,290.835,300.52,290.41,297.39,37684462.326364
2026-04-02,290.69,298.08,289.45,295.77,21666465.003928
2026-04-06,295.87,300.62,295.18,299.99,16945494.891526
2026-04-07,302.725,305.63,297.72,305.46,23205361.66066
2026-04-08,320.445,322.08,315.02,317.32,33547140.176568
2026-04-09,315.905,319.54,311.06,318.49,23739173.387537
2026-04-10,320.015,321.83,316.32,317.24,19152630.443341
2026-04-13,317.135,321.63,315.47,321.31,18866424.352151
2026-04-14,324.785,333.29,323.75,332.91,27721351.564771
2026-04-15,332.89,337.48,330.9,337.12,24918842.04914
2026-04-16,338.75,339.88,334.52,336.02,20541487.619144
2026-04-17,337.65,342.32,336.24,341.68,25581881.330712
2026-04-20,340.755,341.4,336.61,337.42,18784226.435882
2026-04-21,337.685,339.34,331.35,332.29,23123795.929034
2026-04-22,337.02,339.82,335.17,339.32,20293014.988829
2026-04-23,341.18,341.96,336.18,338.89,18650256.807928
2026-04-24,338.725,345.27,335.39,344.4,26426061.780479
2026-04-27,345.98,353.18,342.73,350.34,28576887.100886
2026-04-28,348.55,352.42,346.12,349.78,27824052.575559
2026-04-29,347.565,355.79,344.21,349.94,35376328.172288
2026-04-30,374.07,385.84,365.82,384.8,72039993.633818
2026-05-01,381.63,386.76,379.05,385.69,30105226.990757
2026-05-04,385.63,387.38,379.79,383.25,26298574.753931
2026-05-05,386.23,392.8199,384.02,388.43,23878626.904313
2026-05-06,394.245,399.8499,392.76,398.04,31308476.219283
2026-05-07,399.92,400.1,392.68,397.99,24433490.335438
2026-05-08,397.0,402.0,396.36,400.8,21461849.84856
2026-05-11,393.645,397.44,388.47,388.64,30753738.319863
2026-05-12,387.34,388.52,382.77,387.35,26017488.172203
2026-05-13,385.595,403.7,385.0,402.62,28144555.31422
2026-05-14,397.28,402.93,395.84,401.07,21136716.138745
2026-05-15,396.315,399.5399,393.18,396.78,20309702.818813
2026-05-18,395.685,408.61,394.53,396.94,26837196.378217
2026-05-19,396.96,397.15,386.11,387.66,39545672.941587
2026-05-20,387.7,393.8599,382.9,388.91,31744404.183478
2026-05-21,385.7,392.5,383.02,387.66,24852843.499244
2026-05-22,387.345,388.74,381.7716,382.97,20442123.92761
