date,open,high,low,close,volume
2026-02-02,336.55,345.165,336.01,344.9,22775218.0
2026-02-03,348.515,350.15,338.59,340.7,25786533.0
2026-02-04,343.755,344.25,329.37,333.34,36991086.0
2026-02-05,313.2,332.644,306.92,331.33,51842004.0
2026-02-06,327.35,330.64,320.15,323.1,33877014.0
2026-02-09,321.24,327.74,317.7,324.4,26103255.0
2026-02-10,320.91,321.63,314.66,318.63,25281932.0
2026-02-11,318.96,321.045,310.13,311.33,24008065.0
2026-02-12,312.35,316.48,308.15,309.37,28193962.0
2026-02-13,307.985,308.89,303.9,306.02,20235950.0
2026-02-17,300.64,304.89,296.9,302.82,23750758.0
2026-02-18,302.432,305.91,301.98,303.94,15847701.0
2026-02-19,302.52,306.03,300.67,303.56,13448627.0
2026-02-20,304.8,316.76,304.42,314.9,33663143.0
2026-02-23,319.14,319.455,309.99,311.69,17641176.293455
2026-02-24,310.64,312.37,306.09,310.92,15040656.030442
2026-02-25,312.12,313.66,309.36,313.03,20209083.292571
2026-02-26,312.805,313.0,302.41,307.15,22379980.819486
2026-02-27,303.94,312.08,303.5905,311.43,33389206.650573
2026-03-02,302.965,308.14,301.06,306.36,21854368.268723
2026-03-03,298.42,303.94,296.6994,303.56,20361131.433377
2026-03-04,302.685,305.46,300.8,303.45,20015599.993144
2026-03-05,303.2,303.37,298.07,300.91,22643883.624868
2026-03-06,296.072,300.33,295.25,298.3,17598003.503522
2026-03-09,294.135,306.5,293.93,306.01,19632738.893139
2026-03-10,305.875,309.15,305.31,306.93,14386421.675674
2026-03-11,306.3,311.069,305.84,308.42,13376677.868735
2026-03-12,306.21,308.64,300.84,303.21,15610193.564125
2026-03-13,306.655,307.26,299.7801,301.46,16857533.765353
2026-03-16,303.6,305.57,301.81,304.42,14822047.492893
2026-03-17,304.67,310.05,304.35,309.41,14423553.311604
2026-03-18,307.905,310.75,305.545,306.3,13848428.363034
2026-03-19,303.21,306.68,301.0,305.73,15399724.357657
2026-03-20,304.07,304.37,296.75,298.79,34763531.357239
2026-03-23,300.53,303.37,298.03,299.02,22204112.904075
2026-03-24,296.21,297.1,288.855,289.2,27411194.587188
2026-03-25,292.15,294.66,287.37,289.59,22343018.174871
2026-03-26,286.19,286.515,279.05,280.74,29281207.789275
2026-03-27,277.4,279.09,273.48,273.76,25703300.264011
2026-03-30,275.44,276.26,271.535,273.14,22752315.571942
2026-03-31,277.54,287.05,276.76,286.86,31625057.787089
2026-04-01,289.98,297.985,289.47,294.9,24403551.240371
2026-04-02,288.99,295.9,287.57,294.46,13433366.112478
2026-04-06,294.7,298.425,293.79,297.66,10121741.592481
2026-04-07,300.14,304.1,295.425,303.93,17317708.956388
2026-04-08,317.83,319.39,312.705,314.74,20887530.441741
2026-04-09,313.19,317.43,309.47,316.37,14606751.562403
2026-04-10,318.225,319.5,314.54,315.72,11997647.498955
2026-04-13,315.42,319.43,313.6901,319.21,12212807.489441
2026-04-14,322.065,330.64,321.15,330.58,18557479.877956
2026-04-15,330.56,335.0,328.66,334.47,15104096.616796
2026-04-16,335.85,337.38,331.6501,332.77,13949592.487478
2026-04-17,334.43,339.985,333.29,339.4,19683848.837933
2026-04-20,338.56,339.16,334.63,335.4,12897265.313312
2026-04-21,335.585,337.17,329.63,330.47,14623836.498809
2026-04-22,334.885,338.03,332.96,337.73,12954245.520202
2026-04-23,339.575,340.16,335.06,337.75,13442135.583834
2026-04-24,337.72,343.69,334.05,342.32,18260862.840736
2026-04-27,343.88,350.9,340.81,348.52,17443019.327826
2026-04-28,346.92,349.9,344.28,347.5,18502342.103091
2026-04-29,345.48,353.4,342.43,347.31,22232155.408588
2026-04-30,371.255,382.63,363.09,381.94,44570523.739918
2026-05-01,377.98,383.39,375.26,383.22,28047873.188809
2026-05-04,382.32,384.18,376.77,379.64,18275044.426237
2026-05-05,381.87,388.96,380.35,384.27,15432467.867034
2026-05-06,389.59,396.38,387.1,395.14,23097346.076803
2026-05-07,397.06,397.355,390.31,395.3,15153626.608104
2026-05-08,394.27,398.37,393.67,397.05,13762461.3193
2026-05-11,390.69,394.33,386.23,386.77,16314946.768225
2026-05-12,385.0,386.44,379.72,383.82,17103932.414725
2026-05-13,381.905,399.93,381.58,399.04,18160118.060676
2026-05-14,393.79,399.104,392.728,397.17,13805371.475631
2026-05-15,393.215,395.88,389.76,393.32,15801942.903352
2026-05-18,392.125,404.47,390.9,393.11,18592786.914331
2026-05-19,393.3,393.3627,383.0,384.9,25559382.808432
2026-05-20,385.04,390.6999,380.0,384.9,16488132.298264
2026-05-21,382.01,388.68,379.48,383.47,16837601.260446
2026-05-22,383.26,384.87,378.26,379.38,13382786.606126
2026-05-26,380.995,385.39,379.14,384.84,16150933.85948
2026-05-27,382.765,389.725,382.0,384.83,16893148.813024
2026-05-28,383.86,390.0,381.25,386.12,20795414.124499
2026-05-29,381.225,381.65,374.3,376.43,48018562.712343
2026-06-01,372.575,374.6,369.71,372.58,19091887.185136
2026-06-02,363.16,369.7899,355.0,358.39,34648621.514859
2026-06-03,358.335,362.5,354.38,355.68,43031002.314888
2026-06-04,355.44,369.86,354.8,369.27,37746166.51513
2026-06-05,363.38,369.2,361.63,365.76,23411519.661029
2026-06-08,362.485,363.38,357.89,361.17,18738969.595752
2026-06-09,364.885,369.6922,354.72,362.29,19873595.180123
2026-06-10,361.05,366.31,352.81,353.32,19878635.772636
2026-06-11,353.05,358.01,343.63,356.56,28771804.070793
2026-06-12,361.1,364.7725,353.34,358.16,17657657.298682
