date,open,high,low,close,volume
2026-02-02,1.15,1.18,1.07,1.09,5061770.0
2026-02-03,1.1,1.175,1.085,1.16,4728050.0
2026-02-04,1.16,1.17,1.04,1.06,5417390.0
2026-02-05,1.05,1.07,0.9317,0.9879,9940660.0
2026-02-06,0.9855,1.03,0.95,1.0,3528670.0
2026-02-09,1.0,1.06,0.9811,1.02,4831155.0
2026-02-10,1.02,1.05,1.0,1.04,3434069.0
2026-02-11,1.04,1.05,0.9327,0.933,3327497.0
2026-02-12,0.9478,0.9562,0.8344,0.8584,3083947.0
2026-02-13,0.8695,0.955,0.8597,0.8597,3583925.0
2026-02-17,0.88,0.8871,0.8018,0.8066,3283046.0
2026-02-18,0.8098,0.885,0.784,0.8317,3014979.0
2026-02-19,0.8477,0.8477,0.7777,0.8075,2895315.0
2026-02-20,0.821,0.8498,0.785,0.805,1892200.0
2026-02-23,0.8,0.8378,0.7801,0.8,2184555.977463
2026-02-24,0.801,0.822,0.7825,0.7905,1818057.490848
2026-02-25,0.8078,0.8633,0.8001,0.84,1713449.321564
2026-02-26,0.8584,0.906,0.8447,0.8678,2077735.116057
2026-02-27,0.9382,0.9948,0.9005,0.9678,6845409.587751
2026-03-02,0.9268,0.9658,0.8811,0.8927,3612422.519245
2026-03-03,0.9,0.932,0.885,0.9028,1985056.500733
2026-03-04,0.9,1.1,0.9,1.08,5248953.446221
2026-03-05,1.14,1.17,1.0,1.0,9803624.988394
2026-03-06,0.88,0.935,0.76,0.76,26267996.193268
2026-03-09,0.7819,0.817,0.7001,0.8026,10922632.893623
2026-03-10,0.83,0.844,0.75,0.75,5159152.466935
2026-03-11,0.7721,0.82,0.7506,0.76,3099904.785637
2026-03-12,0.76,0.78,0.7272,0.7379,3189150.494815
2026-03-13,0.7443,0.7753,0.72,0.7242,3062574.580834
2026-03-16,0.746,0.746,0.71,0.71,2029412.234314
2026-03-17,0.712,0.729,0.7,0.7,2029203.639933
2026-03-18,0.718,0.718,0.69,0.7015,1905340.435472
2026-03-19,0.69,0.7,0.6654,0.6802,2062782.770351
2026-03-20,0.682,0.6935,0.59,0.6255,9599353.743505
2026-03-23,0.6271,0.7089,0.6271,0.6645,5336750.502765
2026-03-24,0.6692,0.6791,0.5896,0.6517,2599075.006345
2026-03-25,0.67,0.7,0.6652,0.6802,2395248.621569
2026-03-26,0.675,0.72,0.663,0.6712,1971985.490902
2026-03-27,0.67,0.672,0.64,0.64,2484979.157483
2026-03-30,0.6558,0.7188,0.6429,0.6705,3585409.006181
2026-03-31,0.68,0.773,0.6747,0.77,4102354.723519
2026-04-01,0.7906,0.7906,0.7103,0.7175,3093044.448991
2026-04-02,0.7226,0.77,0.7102,0.7684,1730027.784466
2026-04-06,0.77,0.7959,0.753,0.7811,2402015.609584
2026-04-07,0.7597,0.77,0.73,0.7404,1898323.625852
2026-04-08,0.78,0.8187,0.7548,0.7699,2968159.692955
2026-04-09,0.7634,0.7753,0.73,0.74,1760282.244023
2026-04-10,0.7458,0.81,0.7412,0.7677,2524998.312953
2026-04-13,0.8144,0.97,0.7843,0.9349,23025677.485032
2026-04-14,1.11,1.14,0.87,0.8795,40521992.722004
2026-04-15,0.9,1.15,0.8899,1.12,25726800.935034
2026-04-16,1.11,1.27,1.04,1.2,16457188.404421
2026-04-17,1.24,1.4,1.2,1.28,19583606.894546
2026-04-20,1.21,1.32,1.2,1.28,7471019.85654
2026-04-21,1.29,1.4799,1.24,1.4,11739145.282661
2026-04-22,1.42,1.46,1.3,1.33,9262021.097641
2026-04-23,1.31,1.3401,1.2,1.29,7697114.107613
2026-04-24,1.33,1.4275,1.3,1.33,8357408.563998
2026-04-27,1.33,1.43,1.25,1.38,8743347.737577
2026-04-28,1.38,1.55,1.35,1.52,9603335.282468
2026-04-29,1.54,1.57,1.44,1.49,7187229.475748
2026-04-30,1.5,1.695,1.46,1.65,11682271.008498
2026-05-01,1.65,1.83,1.585,1.73,10825022.481089
2026-05-04,1.75,1.75,1.41,1.44,11268152.050655
2026-05-05,1.47,1.48,1.32,1.46,9749495.701723
2026-05-06,1.47,1.48,1.38,1.4,5218072.349472
2026-05-07,1.395,1.465,1.3895,1.39,4399054.71067
2026-05-08,1.38,1.44,1.33,1.37,4566211.688239
2026-05-11,1.359,1.44,1.29,1.32,15099064.030615
2026-05-12,1.21,1.25,1.07,1.13,14073871.476041
2026-05-13,1.13,1.1587,1.04,1.095,9855484.378649
2026-05-14,1.08,1.2,1.07,1.11,8693273.551533
2026-05-15,1.09,1.17,1.09,1.11,5145313.117931
2026-05-18,1.12,1.175,1.07,1.07,5130910.136177
2026-05-19,1.05,1.07,1.0,1.0,9541079.126343
2026-05-20,1.015,1.02,0.9507,0.96,6462379.77316
2026-05-21,0.95,1.02,0.94,0.99,5611919.141191
2026-05-22,1.02,1.06,1.0,1.0,4761992.576555
2026-05-26,1.03,1.23,1.02,1.2,11469366.701525
2026-05-27,1.2,1.32,1.2,1.26,9059998.979117
2026-05-28,1.25,1.285,1.22,1.22,5240316.240636
2026-05-29,1.23,1.2898,1.21,1.25,6223445.892171
2026-06-01,1.19,1.2,1.07,1.1,11736877.56696
2026-06-02,1.07,1.18,1.04,1.145,6856098.910192
2026-06-03,1.13,1.145,1.03,1.045,7650912.435277
2026-06-04,1.02,1.0572,1.0,1.0,5905799.374366
2026-06-05,0.99,0.995,0.8772,0.9001,11937694.803769
