date,open,high,low,close,volume
2026-02-06,12.78,13.41,12.68,13.29,1094495.0
2026-02-09,13.35,13.42,12.84,13.01,738178.0
2026-02-10,12.9,13.15,12.52,12.57,777319.0
2026-02-11,12.63,12.63,11.87,12.01,799602.0
2026-02-12,12.2,12.41,11.89,11.92,1239112.0
2026-02-13,12.05,12.56,11.94,12.48,963875.0
2026-02-17,12.49,12.6,12.035,12.4,817309.0
2026-02-18,12.49,13.8,12.38,13.49,1489629.0
2026-02-19,13.49,13.49,12.575,12.96,1046115.0
2026-02-20,12.65,13.55,12.65,13.06,807389.0
2026-02-23,12.91,13.0019,11.845,12.16,966747.202176
2026-02-24,12.07,12.32,11.95,12.26,793880.338379
2026-02-25,12.29,12.534,12.135,12.35,511075.789118
2026-02-26,12.55,13.0,12.51,12.85,1013640.583677
2026-02-27,12.8,12.8,12.43,12.62,1140000.144634
2026-03-02,12.18,12.81,12.18,12.48,898463.293577
2026-03-03,12.17,12.4949,11.73,12.27,679846.483692
2026-03-04,12.34,12.58,12.11,12.49,866015.480164
2026-03-05,12.47,13.085,11.98,12.39,1036890.393497
2026-03-06,12.23,12.4013,11.97,12.2,955135.197867
2026-03-09,12.2,12.2,11.63,12.07,1598010.067721
2026-03-10,12.53,12.795,11.35,11.58,3109315.878309
2026-03-11,10.99,12.59,10.4505,11.08,3859547.889528
2026-03-12,10.75,10.8,9.625,9.66,2700380.488975
2026-03-13,9.71,9.75,9.17,9.64,1756747.811681
2026-03-16,9.55,10.49,9.39,10.29,2246722.256796
2026-03-17,10.91,11.62,10.7,10.8,2909924.623399
2026-03-18,10.5,10.935,10.5,10.73,1533823.879582
2026-03-19,10.57,11.27,10.57,10.98,1567403.878063
2026-03-20,10.91,11.63,10.78,11.43,2308818.250101
2026-03-23,11.51,11.73,11.2,11.45,1720442.025957
2026-03-24,11.21,11.41,10.555,10.6,1558193.679839
2026-03-25,10.79,11.47,10.27,11.28,1735595.232281
2026-03-26,11.19,11.59,11.1,11.14,1361514.121686
2026-03-27,11.12,11.21,10.47,10.47,1256857.287228
2026-03-30,10.53,11.2267,10.405,10.97,1331921.62755
2026-03-31,11.11,12.045,11.0,11.9,1596144.516979
2026-04-01,12.07,12.27,11.18,11.19,1131265.948062
2026-04-02,10.81,11.6,10.76,11.5,1074081.467508
2026-04-06,11.58,12.22,11.51,12.06,1105203.561729
2026-04-07,11.91,12.275,11.91,12.03,1103820.594061
2026-04-08,12.5,12.99,11.9,11.97,1114264.495716
2026-04-09,11.97,12.1801,11.3,11.47,1175182.439026
2026-04-10,11.52,11.88,11.405,11.86,1074413.334148
2026-04-13,11.77,12.27,11.675,12.04,900152.891102
2026-04-14,12.2,12.68,12.08,12.59,1543244.529509
2026-04-15,12.82,13.93,12.67,12.92,2004357.972724
2026-04-16,13.22,15.55,13.01,15.52,3697775.884946
2026-04-17,15.57,15.82,13.995,14.21,4047849.833791
2026-04-20,14.04,15.08,13.95,14.95,1770828.82531
2026-04-21,17.48,18.69,15.71,16.66,8797295.841056
2026-04-22,16.97,17.88,15.475,15.93,3492611.660288
2026-04-23,15.875,15.93,13.35,14.62,3363028.720274
2026-04-24,14.83,15.01,14.25,14.67,1273554.611672
2026-04-27,14.3,15.49,14.3,14.96,1505087.212717
2026-04-28,14.91,15.205,14.25,14.29,1282299.522182
2026-04-29,14.24,14.35,13.55,14.24,1379115.330059
2026-04-30,14.14,14.5157,13.45,14.21,1572259.054929
2026-05-01,14.34,15.06,14.23,14.89,1400255.605039
2026-05-04,14.96,16.49,14.925,15.51,2246793.625845
2026-05-05,15.87,16.1049,15.045,15.08,1382351.483487
2026-05-06,15.19,16.05,14.9509,15.85,1597081.327716
2026-05-07,15.61,16.075,15.1,15.46,2918415.737445
2026-05-08,16.0,19.0,15.8609,17.78,6213045.455637
2026-05-11,17.69,17.7742,15.7614,16.87,3211514.045762
2026-05-12,16.66,17.61,16.2702,17.42,1882476.449783
2026-05-13,17.35,18.915,16.78,18.38,2491795.504226
2026-05-14,18.34,18.34,16.9,17.16,1793072.509554
2026-05-15,16.91,17.785,16.91,17.46,1653895.631721
2026-05-18,17.39,18.555,16.92,16.93,1826863.474587
2026-05-19,17.18,17.72,16.5893,17.41,2001276.219768
2026-05-20,17.3,17.53,16.54,17.32,1337655.166932
2026-05-21,17.05,18.48,16.64,18.22,1572447.795725
2026-05-22,18.09,19.66,17.9175,18.93,1695798.043857
