date,open,high,low,close,volume
2026-02-12,31.87,31.87,31.2,31.38,8349.0
2026-02-13,31.29,31.4099,31.211,31.28,15037.0
2026-02-17,31.24,31.5199,31.24,31.48,11394.0
2026-02-18,31.93,34.72,30.94,32.1,15260.0
2026-02-19,32.19,32.5,32.19,32.5,9832.0
2026-02-20,32.465,32.48,32.15,32.34,20529.0
2026-02-23,32.48,32.66,32.2901,32.47,13769.377983
2026-02-24,32.55,32.59,32.34,32.59,16038.467251
2026-02-25,32.53,36.03,32.38,32.68,12609.9845
2026-02-26,32.37,32.7,32.31,32.51,20824.100763
2026-02-27,32.82,32.92,32.69,32.879,11588.949877
2026-03-02,33.25,33.53,32.99,33.39,28145.50655
2026-03-03,33.71,33.71,32.985,33.12,25484.9265
2026-03-04,33.68,33.76,33.36,33.72,27516.954814
2026-03-05,33.95,34.44,33.77,34.022,227475.0935
2026-03-06,34.82,34.945,34.6,34.7891,30830.099081
2026-03-09,34.99,35.875,34.13,34.25,65979.13341
2026-03-10,34.63,34.63,34.1,34.5231,16702.1068
2026-03-11,35.27,35.27,34.8007,35.0,23742.0828
2026-03-12,35.23,35.73,35.23,35.73,62528.5078
2026-03-13,35.03,35.48,34.98,35.4,65175.044451
2026-03-16,34.9,34.99,34.07,34.23,49848.815268
2026-03-17,34.75,35.88,34.7,35.14,308031.20386
2026-03-18,35.66,35.88,35.2856,35.772,20797.7188
2026-03-19,35.505,35.71,34.69,35.1,35828.2277
2026-03-20,35.27,35.82,35.205,35.62,36762.4748
2026-03-23,33.69,33.9533,32.23,33.1,111746.890585
2026-03-24,33.81,34.19,33.6261,33.917,29634.07443
2026-03-25,32.94,33.72,32.94,33.6091,18194.2288
2026-03-26,33.95,34.215,33.84,34.07,7408.1558
2026-03-27,34.92,35.34,34.345,35.19,137886.296644
2026-03-30,35.775,36.16,35.5401,35.87,186901.093391
2026-03-31,35.715,35.88,34.97,35.37,98737.567016
2026-04-01,34.8,34.8,34.105,34.45,57380.685065
2026-04-02,35.92,36.1299,35.36,35.989,36477.8688
2026-04-06,34.97,36.66,34.97,36.334,20126.507324
2026-04-07,36.4499,36.595,35.65,35.76,48365.732177
2026-04-08,31.2,33.3099,30.93,33.05,356647.870812
2026-04-09,33.25,33.87,32.85,33.561,18998.516142
2026-04-10,33.3,33.5875,32.85,33.002,15787.2392
2026-04-13,34.05,34.44,33.685,33.7166,30581.815753
2026-04-14,33.78,33.78,33.1105,33.28,14852.835416
2026-04-15,33.3,33.6099,33.2,33.2,17669.217
2026-04-16,33.8,34.0344,33.7052,33.7052,9076.425633
2026-04-17,32.28,32.3699,31.375,32.16,23043.427721
2026-04-20,32.44,32.98,32.24,32.75,160643.904714
2026-04-21,32.68,33.455,32.68,33.455,67559.920459
2026-04-22,33.5,33.66,33.39,33.59,18221.63185
2026-04-23,33.54,34.221,33.505,34.1831,85288.4795
2026-04-24,34.03,34.43,33.9302,34.2879,12210.3015
2026-04-27,34.68,35.179,34.67,34.9241,15753.2595
2026-04-28,35.26,35.67,35.1,35.6439,39569.308498
2026-04-29,36.33,36.869,36.33,36.851,34679.465673
2026-04-30,36.46,37.63,36.44,37.63,26267.694785
2026-05-01,36.62,36.68,36.25,36.37,127709.935711
2026-05-04,36.55,37.12,36.4495,37.0664,78380.375002
2026-05-05,36.31,36.725,36.31,36.65,12488.83764
2026-05-06,35.56,36.935,35.08,35.2596,34940.45771
2026-05-07,34.28,35.025,33.6385,34.9611,34960.62134
2026-05-08,34.9,36.84,34.6755,34.8457,14876.126413
2026-05-11,35.45,35.83,35.405,35.77,48800.78297
2026-05-12,36.73,36.7594,36.38,36.6068,43336.31244
2026-05-13,36.69,36.78,36.3987,36.3987,9405.21711
2026-05-14,36.14,36.14,35.78,36.0,11044.424485
2026-05-15,37.24,37.24,35.76,36.085,21661.1017
2026-05-18,36.24,37.11,36.24,36.84,70046.03305
2026-05-19,36.84,36.86,36.4367,36.835,34668.576544
2026-05-20,36.44,36.44,35.365,35.65,33055.08594
2026-05-21,36.14,36.14,34.53,35.05,31757.11437
2026-05-22,34.92,35.045,34.52,34.71,216325.311736
2026-05-26,34.07,34.31,33.86,33.92,141290.6865
2026-05-27,33.19,33.5999,33.17,33.2815,42041.613358
2026-05-28,33.49,33.51,33.11,33.32,11905.130547
2026-05-29,33.09,33.17,32.77,32.97,34709.530297
2026-06-01,33.7768,34.13,33.5211,33.86,142844.219499
2026-06-02,33.74,33.8699,33.61,33.8053,18187.709469
2026-06-03,34.1,34.1,33.71,33.725,21704.398963
2026-06-04,33.64,33.64,33.27,33.35,30349.34725
2026-06-05,33.19,33.19,32.57,32.57,18448.9141
2026-06-08,32.8474,32.9699,32.6501,32.69,20117.30588
2026-06-09,32.3788,32.62,32.03,32.435,20839.559457
2026-06-10,32.78,32.84,32.51,32.63,12737.73628
