date,open,high,low,close,volume
2026-02-18,101.69,102.85,100.8341,101.17,1595368.0
2026-02-19,100.94,101.58,99.77,101.0,1490178.0
2026-02-20,101.0,102.68,99.695,101.46,2012096.0
2026-02-23,100.66,101.17,96.89,98.27,2037091.782058
2026-02-24,98.98,100.47,98.805,99.8,1153490.211393
2026-02-25,100.65,100.69,98.61,99.75,1577580.67433
2026-02-26,100.07,101.59,99.6888,100.36,1496240.580359
2026-02-27,99.34,100.25,98.8,99.59,2106191.57257
2026-03-02,97.7,99.14,95.88,99.05,1782956.343943
2026-03-03,96.26,98.18,94.92,97.63,1307725.178182
2026-03-04,98.13,98.75,96.34,97.13,1608600.845103
2026-03-05,96.5,96.72,94.7,95.37,1123569.894902
2026-03-06,94.12,94.8,92.215,94.49,1489273.830983
2026-03-09,92.77,96.05,91.34,95.78,1417556.559284
2026-03-10,95.8,96.59,94.46,95.07,935373.639941
2026-03-11,94.06,95.185,93.56,94.27,1177619.693207
2026-03-12,97.62,98.07,94.31,95.11,2939861.446941
2026-03-13,95.48,96.0475,93.265,93.4,1351967.101154
2026-03-16,93.55,94.22,92.8,92.85,1292439.128075
2026-03-17,93.52,94.51,93.15,93.28,1761205.048959
2026-03-18,92.73,93.28,91.05,91.63,1240338.886027
2026-03-19,91.31,91.9,90.48,91.36,1698393.421164
2026-03-20,91.03,91.785,90.24,91.11,2715865.643075
2026-03-23,92.77,94.56,91.97,92.99,1837814.767297
2026-03-24,91.93,93.608,91.625,92.6,887526.367168
2026-03-25,92.71,93.67,91.35,92.19,971868.769107
2026-03-26,91.18,92.6,90.79,91.16,1079562.02049
2026-03-27,90.6,91.23,87.99,88.59,1822154.980374
2026-03-30,89.79,90.75,88.83,89.39,2014239.596173
2026-03-31,90.46,94.13,90.43,93.6,2067259.132972
2026-04-01,91.6,92.59,88.42,89.38,3441245.674671
2026-04-02,88.2,90.46,87.3001,90.16,1729127.866949
2026-04-06,89.92,90.47,89.1,90.42,1773236.504883
2026-04-07,89.905,90.53,88.775,89.4,1472147.743171
2026-04-08,91.95,93.94,91.95,93.85,1500971.439354
2026-04-09,93.5,94.075,92.63,93.06,1792344.521954
2026-04-10,92.95,93.4549,90.62,91.73,1663705.255799
2026-04-13,91.73,92.86,91.4348,92.49,1352094.132611
2026-04-14,92.35,93.93,92.12,92.75,1493092.143152
2026-04-15,92.47,94.19,91.8,93.93,3036227.027862
2026-04-16,93.15,94.615,92.12,93.35,1479355.652939
2026-04-17,94.3,98.0,94.3,97.15,1483553.976691
2026-04-20,96.8,97.15,94.935,95.38,1179020.120603
2026-04-21,95.77,96.045,87.82,91.07,4190167.487434
2026-04-22,91.61,93.2,89.51,90.61,1987596.460671
2026-04-23,95.175,99.2,94.33,96.58,2864752.179354
2026-04-24,97.41,97.72,94.83,95.08,1699833.7223
2026-04-27,95.64,96.69,94.48,94.69,1480528.62377
2026-04-28,95.49,96.53,94.79,95.54,1629636.486131
2026-04-29,95.74,95.74,92.755,94.02,1274339.357768
2026-04-30,93.94,96.14,93.34,95.84,1345175.856645
2026-05-01,96.11,96.31,94.6001,95.27,1228130.823018
2026-05-04,94.84,95.8,93.45,93.97,889092.53132
2026-05-05,94.48,95.24,93.94,94.76,902758.734868
2026-05-06,96.09,97.7,95.83,97.48,1457343.104639
2026-05-07,97.7,98.825,96.99,97.39,2553250.893349
2026-05-08,97.99,98.2,96.34,97.78,1129153.357518
2026-05-11,98.1,98.4,94.59,95.19,1468728.381694
2026-05-12,95.17,95.51,93.93,94.5,2882662.649025
2026-05-13,94.78,95.41,93.48,94.01,1243128.849099
2026-05-14,97.48,97.48,95.17,95.65,2665513.328655
2026-05-15,95.65,96.3514,93.905,95.25,1577133.273267
2026-05-18,95.9,96.71,93.38,93.72,2119705.7796
2026-05-19,93.72,97.46,92.11,97.18,3036797.081466
2026-05-20,89.01,92.21,87.135,88.6,5639801.136459
2026-05-21,88.425,91.08,87.0,90.08,2503431.853337
2026-05-22,90.08,90.36,87.85,88.1,2234962.969065
2026-05-26,88.52,89.9699,87.5,87.99,2027509.73933
2026-05-27,88.86,89.79,87.81,87.99,2424793.539352
2026-05-28,88.04,88.05,85.905,86.38,2515636.328199
2026-05-29,86.0,87.135,85.83,86.17,2002934.526416
2026-06-01,84.63,85.16,82.62,85.07,2403502.658609
2026-06-02,85.61,85.94,83.14,83.88,1744381.025632
2026-06-03,84.35,85.3943,83.925,84.13,1644358.998404
2026-06-04,85.0,85.44,83.69,84.47,2497416.987834
2026-06-05,84.36,84.98,83.8,84.18,1510752.923152
2026-06-08,84.6,84.79,83.28,83.54,1343022.706274
2026-06-09,83.54,84.62,83.04,84.26,1441774.701289
2026-06-10,83.79,84.2,82.16,82.29,1672891.02452
2026-06-11,82.9,84.19,82.16,83.77,1662626.471773
