date,open,high,low,close,volume
2026-02-06,87.86,90.37,87.435,89.05,1474393.0
2026-02-09,89.64,94.25,88.409,94.0,870117.0
2026-02-10,93.79,94.01,89.51,90.31,1091799.0
2026-02-11,91.82,93.11,87.7852,90.64,949775.0
2026-02-12,91.43,91.43,85.54,86.09,1213677.0
2026-02-13,85.07,86.98,81.4501,86.28,1544684.0
2026-02-17,85.86,87.91,84.14,84.92,993381.0
2026-02-18,86.18,88.2,85.32,87.08,638967.0
2026-02-19,85.65,86.3261,83.5277,85.51,1185270.0
2026-02-20,85.04,86.64,83.41,85.01,1344573.0
2026-02-23,85.0,87.28,84.9,87.05,745675.116644
2026-02-24,86.7,91.5,86.525,90.56,1104903.902431
2026-02-25,91.55,91.69,87.13,87.75,510002.332102
2026-02-26,86.89,87.335,83.53,84.68,777214.652817
2026-02-27,83.17,83.91,81.685,83.24,1876503.020673
2026-03-02,82.7,82.7,79.3,81.13,1394882.832195
2026-03-03,78.88,83.31,77.42,81.94,1451663.075143
2026-03-04,83.06,84.77,80.64,84.1,896057.181051
2026-03-05,82.97,83.6676,77.77,79.33,1032814.154188
2026-03-06,78.0,79.13,76.76,77.36,525060.054891
2026-03-09,76.36,80.0,75.78,78.94,777131.420528
2026-03-10,78.92,82.84,78.26,80.6,824784.605831
2026-03-11,79.9,84.86,79.5,84.69,660148.263454
2026-03-12,83.6,86.34,82.28,85.34,911303.190656
2026-03-13,85.85,86.03,82.44,85.12,782775.350148
2026-03-16,86.0,86.5448,83.325,84.72,477002.104126
2026-03-17,85.53,86.33,84.38,86.2,715238.974628
2026-03-18,85.41,87.95,84.23,87.63,680188.162574
2026-03-19,86.69,93.4,86.69,90.62,909359.40462
2026-03-20,91.65,91.86,87.15,88.54,1770243.14816
2026-03-23,88.5,91.32,86.36,86.49,953339.299455
2026-03-24,87.0,96.34,86.83,95.58,1259475.867042
2026-03-25,95.2,97.22,94.6,96.83,701707.665434
2026-03-26,96.2,98.0899,95.05,95.62,605306.427622
2026-03-27,95.7,99.85,95.6,99.16,668645.046413
2026-03-30,100.73,100.73,93.895,94.22,954662.177076
2026-03-31,93.98,96.215,91.74,93.15,880771.398838
2026-04-01,92.83,94.88,91.42,91.9,670987.393465
2026-04-02,91.6,95.025,91.6,94.89,480518.662377
2026-04-06,95.3,96.47,92.79,94.6,547751.25038
2026-04-07,94.38,96.0,92.06,93.01,404841.294223
2026-04-08,93.11,94.85,86.945,89.36,1075134.675138
2026-04-09,89.01,89.97,82.17,85.7,1222371.437967
2026-04-10,86.39,90.2,85.77,88.35,696839.954408
2026-04-13,88.75,90.2,86.83,87.79,568339.561315
2026-04-14,88.09,88.215,84.8,85.77,783269.220418
2026-04-15,85.07,89.79,84.7901,88.81,689408.29084
2026-04-16,89.11,90.35,85.2,85.82,1078248.70149
2026-04-17,85.29,87.06,84.64,86.37,880103.727763
2026-04-20,86.33,88.04,85.61,87.81,781208.736463
2026-04-21,88.13,92.8,88.13,90.59,802984.27536
2026-04-22,91.71,91.7699,88.15,88.74,1095548.460525
2026-04-23,88.78,90.11,86.085,88.62,685377.614809
2026-04-24,86.76,88.77,85.69,86.66,836691.020956
2026-04-27,87.0,88.58,86.35,87.47,692869.303952
2026-04-28,88.03,89.72,87.4,89.54,621267.815004
2026-04-29,89.96,91.57,89.95,90.03,610082.206878
2026-04-30,89.62,91.445,88.72,89.85,893569.473341
2026-05-01,83.13,89.0,79.01,86.2,2600416.413327
2026-05-04,85.86,88.025,83.645,84.02,1631131.789539
2026-05-05,84.0,88.93,84.0,86.6,811521.708082
2026-05-06,86.1,88.62,85.2028,87.54,766894.545363
2026-05-07,87.12,89.265,85.96,87.84,697171.995823
2026-05-08,87.56,90.0,85.385,85.87,686891.381164
2026-05-11,86.25,89.59,86.25,87.18,837571.991158
2026-05-12,86.9,88.97,86.76,88.28,573994.858355
2026-05-13,88.51,89.0,84.59,85.08,743502.532514
2026-05-14,84.98,88.0,83.35,85.87,918784.408024
2026-05-15,84.33,85.65,84.065,85.14,699192.038444
2026-05-18,84.94,86.43,81.21,85.6,771972.722569
2026-05-19,85.2,86.0,84.0153,85.01,867833.394631
2026-05-20,86.29,86.29,83.92,84.66,845561.877411
2026-05-21,84.0,86.51,84.0,85.45,630397.46641
2026-05-22,85.81,87.1593,83.79,83.93,632086.426104
2026-05-26,87.21,93.955,87.19,93.08,1033717.509249
2026-05-27,92.05,97.86,90.9001,96.97,1296648.557535
2026-05-28,96.13,104.74,96.1,104.58,1107602.977648
2026-05-29,104.04,104.47,94.14,94.54,1664308.898048
2026-06-01,98.51,106.8099,98.5,106.25,1451402.407956
2026-06-02,105.78,110.39,105.77,110.28,1793101.144475
2026-06-03,107.46,108.47,103.49,105.88,1087026.522545
2026-06-04,106.12,109.71,104.3,105.93,857554.174123
2026-06-05,104.69,104.69,98.173,99.92,737690.905676
