date,open,high,low,close,volume
2026-02-02,4.89,4.94,4.8,4.87,90127.0
2026-02-03,4.87,4.88,4.75,4.8,77614.0
2026-02-04,4.8,4.9,4.69,4.72,130040.0
2026-02-05,4.72,4.72,4.56,4.57,113109.0
2026-02-06,4.65,4.8,4.59,4.68,52386.0
2026-02-09,4.64,4.72,4.58,4.65,83280.0
2026-02-10,4.65,4.685,4.305,4.31,185816.0
2026-02-11,4.35,4.41,3.82,3.94,363420.0
2026-02-12,3.985,4.1,3.8501,4.05,97419.0
2026-02-13,4.0,4.1,3.94,4.05,71858.0
2026-02-17,4.08,4.08,3.93,4.05,35924.0
2026-02-18,3.98,4.13,3.98,4.11,63128.0
2026-02-19,4.02,4.11,4.0,4.1,26049.0
2026-02-20,4.12,4.335,3.98,4.2,79938.0
2026-02-23,4.22,4.25,4.06,4.18,81728.266689
2026-02-24,4.18,4.6,4.18,4.56,187286.224
2026-02-25,4.55,4.83,4.55,4.82,75836.826087
2026-02-26,4.7,4.77,4.53,4.72,39970.574
2026-02-27,4.64,4.7,4.58,4.67,88049.449315
2026-03-02,4.56,4.68,4.43,4.65,66516.223
2026-03-03,4.55,4.65,4.28,4.3,232169.92314
2026-03-04,4.29,4.47,4.29,4.35,19261.002267
2026-03-05,4.29,4.355,4.17,4.24,52706.59
2026-03-06,4.21,4.54,4.2,4.51,81702.130822
2026-03-09,4.39,4.45,4.27,4.41,35904.479735
2026-03-10,4.41,4.55,4.41,4.48,106404.1927
2026-03-11,4.45,4.58,4.36,4.46,63182.618683
2026-03-12,4.36,4.4,3.73,3.735,343283.081783
2026-03-13,3.81,3.97,3.74,3.91,173720.0169
2026-03-16,3.885,4.0,3.8,3.85,156853.877
2026-03-17,3.8,3.92,3.73,3.84,121577.725618
2026-03-18,3.8,3.9,3.72,3.72,114901.4225
2026-03-19,3.72,3.7227,3.42,3.45,248383.4566
2026-03-20,3.451,3.46,3.15,3.19,237916.671
2026-03-23,3.16,3.2,2.95,3.08,1074858.342535
2026-03-24,3.06,3.085,3.0,3.04,132071.060894
2026-03-25,3.05,3.12,2.8899,3.1,317470.830113
2026-03-26,3.03,3.19,3.03,3.11,147450.62
2026-03-27,3.06,3.115,2.91,2.91,117204.424
2026-03-30,2.9,3.31,2.895,3.31,173367.285641
2026-03-31,3.26,3.67,3.25,3.54,236147.749
2026-04-01,3.51,3.69,3.31,3.51,101320.279
2026-04-02,3.365,3.55,3.29,3.4,141756.5009
2026-04-06,3.39,3.58,3.39,3.52,82149.823264
2026-04-07,3.51,3.59,3.43,3.56,82796.962
2026-04-08,3.56,3.75,3.5,3.55,198555.259543
2026-04-09,3.49,3.49,3.0,3.01,251482.354
2026-04-10,3.1,3.14,3.0116,3.1,46002.8414
2026-04-13,3.13,3.27,3.06,3.23,162667.188576
2026-04-14,3.23,3.42,3.23,3.37,79708.0
2026-04-15,3.37,3.53,3.37,3.48,61318.740785
2026-04-16,3.51,3.52,3.46,3.48,21654.866941
2026-04-17,3.5,3.7,3.49,3.59,95687.126
2026-04-20,3.575,3.62,3.525,3.6,26351.28
2026-04-21,3.6,3.63,3.49,3.5,59668.0
2026-04-22,3.56,3.63,3.56,3.61,22780.2869
2026-04-23,3.63,3.63,3.46,3.5,47995.42
2026-04-24,3.46,3.7,3.46,3.69,88709.369733
2026-04-27,3.74,3.74,3.6,3.64,29297.005
2026-04-28,3.67,3.68,3.4901,3.55,62101.0011
2026-04-29,3.58,3.62,3.5001,3.57,13997.6337
2026-04-30,3.64,3.64,3.55,3.58,21953.84
2026-05-01,3.64,3.64,3.43,3.61,130767.0
2026-05-04,3.59,3.62,3.37,3.48,98649.196676
2026-05-05,3.49,3.5,3.26,3.3,52164.216138
2026-05-06,3.35,3.4,3.21,3.27,97234.0
2026-05-07,3.22,3.3,3.19,3.27,54635.099668
2026-05-08,3.21,3.34,3.21,3.3,81766.0
2026-05-11,3.25,3.345,3.19,3.24,84548.126587
2026-05-12,3.24,3.24,3.06,3.18,85309.0
2026-05-13,3.18,3.25,3.12,3.19,142437.338
2026-05-14,3.15,3.17,3.06,3.07,60212.239513
2026-05-15,3.05,3.0589,2.96,2.96,70776.09
2026-05-18,2.95,2.95,2.7,2.75,151653.1
2026-05-19,2.74,2.74,2.49,2.5,130630.429062
2026-05-20,2.5,2.52,2.33,2.47,127257.1
2026-05-21,2.45,2.45,2.32,2.4,88927.040816
2026-05-22,2.16,2.58,2.13,2.35,276679.158055
2026-05-26,2.35,2.41,2.03,2.29,465538.63
2026-05-27,2.15,2.23,2.15,2.16,52616.821106
2026-05-28,2.17,2.22,2.0706,2.08,66227.501004
2026-05-29,2.12,2.12,2.05,2.11,107681.0
2026-06-01,2.1,2.24,2.08,2.19,121554.541
2026-06-02,2.19,2.43,2.19,2.32,109704.35654
2026-06-03,2.32,2.32,2.16,2.19,53504.044766
2026-06-04,2.2,2.5,2.2,2.37,168946.720974
2026-06-05,2.27,2.32,1.71,1.78,431878.364765
2026-06-08,1.78,1.79,1.5,1.53,397964.178574
2026-06-09,1.53,1.7897,1.53,1.78,260975.779257
2026-06-10,1.72,1.95,1.71,1.92,177261.905242
2026-06-11,1.88,2.08,1.88,2.05,127340.919
2026-06-12,2.03,2.23,2.0,2.22,91482.430197
