date,open,high,low,close,volume
2026-05-19,24.98,24.98,24.79,24.83,422993.587951
2026-05-20,24.87,25.17,24.85,25.1487,191045.646902
2026-05-21,25.03,25.33,24.99,25.25,121612.7546
2026-05-22,25.41,25.47,25.31,25.3506,79168.1403
2026-05-26,25.48,25.48,25.335,25.422,77245.875466
2026-05-27,25.33,25.425,25.32,25.38,48775.5832
2026-05-28,25.3964,25.75,25.3964,25.7207,36958.5592
2026-05-29,25.8,25.93,25.79,25.9213,30757.776529
2026-06-01,25.93,26.1992,25.875,26.1223,54158.7675
2026-06-02,25.98,26.05,25.93,26.0109,59337.6182
2026-06-03,25.88,25.9399,25.655,25.6976,49517.79945
2026-06-04,25.67,25.875,25.67,25.8604,39176.1303
2026-06-05,25.76,25.76,25.13,25.225,48272.2235
2026-06-08,25.26,25.38,25.19,25.192,56035.5631
2026-06-09,25.3344,25.4,24.6,25.0346,62572.4781
2026-06-10,24.8632,25.01,24.655,24.6722,76038.0251
2026-06-11,24.6,24.96,24.49,24.9285,52724.1072
