date,open,high,low,close,volume
2026-02-18,1.08,1.13,1.08,1.1,19525.0
2026-02-19,1.1,1.11,1.035,1.0723,84638.0
2026-02-20,1.06,1.25,1.06,1.19,273590.0
2026-02-23,1.18,1.26,1.14,1.18,152317.108413
2026-02-24,1.19,1.2,1.1401,1.2,21922.733815
2026-02-25,1.21,1.22,1.1803,1.22,24957.366
2026-02-26,1.25,1.37,1.223,1.35,147499.470095
2026-02-27,1.35,1.42,1.31,1.41,97413.339855
2026-03-02,1.38,1.41,1.33,1.38,178446.783261
2026-03-03,1.34,1.43,1.2001,1.42,166201.608041
2026-03-04,1.43,1.62,1.43,1.62,329904.3139
2026-03-05,1.57,1.79,1.57,1.68,278495.818551
2026-03-06,1.68,1.935,1.6019,1.86,382062.890684
2026-03-09,1.81,2.0899,1.72,2.03,393166.17779
2026-03-10,2.03,2.1,1.81,1.9,206001.57834
2026-03-11,1.89,1.99,1.81,1.98,79606.164194
2026-03-12,1.98,2.08,1.8742,1.94,101977.182476
2026-03-13,1.95,1.9699,1.6936,1.8,149969.141859
2026-03-16,1.76,1.8,1.71,1.71,68481.810481
2026-03-17,1.6925,1.76,1.65,1.7,5121373.498056
2026-03-18,1.98,2.09,1.72,1.83,4463636.424453
2026-03-19,1.73,2.04,1.6705,2.0,597341.301417
2026-03-20,1.86,2.0,1.755,1.8,366556.082
2026-03-23,1.84,1.88,1.71,1.77,164623.934109
2026-03-24,1.77,1.86,1.6417,1.82,154669.294562
2026-03-25,1.87,2.0,1.765,1.81,513012.245651
2026-03-26,1.54,1.9,1.44,1.61,520218.511434
2026-03-27,1.52,1.58,1.22,1.39,639744.070702
2026-03-30,1.4,1.4012,1.295,1.3,149588.456538
2026-03-31,1.29,1.47,1.29,1.45,96232.934646
2026-04-01,1.46,1.4692,1.38,1.42,87831.472222
2026-04-02,1.39,1.57,1.39,1.44,130543.326
2026-04-06,1.43,1.5087,1.41,1.41,33273.9637
2026-04-07,1.41,1.43,1.31,1.32,87016.119988
2026-04-08,1.4,1.48,1.36,1.36,98580.614141
2026-04-09,1.345,1.44,1.345,1.4,51360.953127
2026-04-10,1.4,1.4835,1.295,1.34,252570.962963
2026-04-13,1.36,1.47,1.34,1.37,312525.041413
2026-04-14,1.35,1.47,1.33,1.38,115635.401355
2026-04-15,1.42,1.53,1.38,1.5,111779.038258
2026-04-16,1.5,1.55,1.35,1.44,175485.964857
2026-04-17,1.47,1.55,1.45,1.5,127272.727836
2026-04-20,1.51,1.54,1.39,1.5,235331.422603
2026-04-21,1.52,1.78,1.485,1.72,331833.674519
2026-04-22,1.72,1.72,1.6104,1.65,120064.476918
2026-04-23,1.64,1.713,1.5,1.51,52372.655738
2026-04-24,1.5,1.58,1.48,1.51,101159.568007
2026-04-27,1.5,1.56,1.46,1.5,61819.978159
2026-04-28,1.47,1.5,1.42,1.49,165047.261838
2026-04-29,1.41,1.505,1.41,1.45,67137.385686
2026-04-30,1.44,1.5,1.44,1.45,60224.126777
2026-05-01,1.45,1.56,1.45,1.55,54939.029169
2026-05-04,1.59,1.6216,1.52,1.52,66499.371411
2026-05-05,1.51,1.58,1.51,1.54,104790.830618
2026-05-06,1.54,1.6385,1.5,1.52,105460.606407
2026-05-07,1.53,1.63,1.53,1.57,47392.507967
2026-05-08,1.57,1.59,1.5,1.56,50805.51875
2026-05-11,1.53,1.55,1.48,1.48,55328.058718
2026-05-12,1.46,1.54,1.4209,1.52,37221.220736
2026-05-13,1.5,1.565,1.4839,1.54,153148.807439
2026-05-14,1.43,1.45,1.08,1.23,709776.773232
2026-05-15,1.14,1.17,1.04,1.06,905152.34889
2026-05-18,1.06,1.12,0.97,1.05,435836.834437
2026-05-19,1.02,1.03,0.99,1.01,238763.738805
2026-05-20,0.99,1.17,0.95,1.01,525715.077365
2026-05-21,1.01,1.01,0.9,0.9225,627308.996692
2026-05-22,0.94,0.94,0.8501,0.8985,559518.386452
2026-05-26,0.9015,0.9303,0.86,0.8664,279119.405476
2026-05-27,0.8601,0.9949,0.8601,0.9347,538485.257362
2026-05-28,0.9211,1.02,0.9051,0.9775,270279.322903
2026-05-29,1.0,1.02,0.9726,0.9921,202824.762092
2026-06-01,0.99,1.1,0.99,1.03,627274.335344
2026-06-02,1.03,1.15,1.02,1.07,317931.556451
2026-06-03,1.08,1.11,0.965,0.965,344215.994722
2026-06-04,0.978,1.05,0.969,1.0,189878.80954
2026-06-05,1.0,1.05,0.95,0.987,139432.473458
2026-06-08,0.9701,1.045,0.9701,1.0,91262.070661
2026-06-09,1.01,1.06,1.01,1.05,210363.6679
2026-06-10,1.06,1.09,1.0201,1.08,195052.9219
2026-06-11,1.0622,1.12,1.02,1.06,80301.8219
