date,open,high,low,close,volume
2026-02-02,95.88,95.885,88.67,89.91,59741795.0
2026-02-03,90.1,90.35,84.93,87.07,36550000.0
2026-02-04,84.77,85.3,77.62,80.62,62547862.0
2026-02-05,77.67,79.41,71.87,72.68,56483080.0
2026-02-06,77.86,84.3,77.12,82.82,54593875.0
2026-02-09,84.88,88.6,82.83,86.56,41278076.0
2026-02-10,85.315,88.22,85.21,85.6,41823769.0
2026-02-11,77.875,79.9,74.25,77.97,68727554.0
2026-02-12,78.87,79.0,70.43,71.12,57569308.0
2026-02-13,72.465,77.0752,71.52,75.97,43506942.0
2026-02-17,74.34,76.72,72.87,75.44,31818504.0
2026-02-18,74.79,78.265,74.06,75.21,25655440.0
2026-02-19,74.39,76.14,73.53,75.65,20780449.0
2026-02-20,75.2,78.08,75.13,76.11,30283907.0
2026-02-23,74.595,74.95,71.42,71.78,30422710.364693
2026-02-24,70.912,73.88,69.22,73.39,23571757.195223
2026-02-25,76.91,78.1132,74.64,77.53,32366170.89647
2026-02-26,76.93,79.5686,76.45,79.45,22685799.019009
2026-02-27,76.8,77.79,74.82,75.85,23485290.480316
2026-03-02,73.485,79.54,73.0,78.78,26904707.732743
2026-03-03,74.04,77.3999,72.25,76.07,26929171.835287
2026-03-04,79.6,83.85,79.58,82.21,38493837.973396
2026-03-05,82.12,84.75,78.55,80.56,39868312.372044
2026-03-06,77.91,79.0,76.38,77.09,28734366.231469
2026-03-09,75.92,79.65,75.55,79.35,25186610.805697
2026-03-10,80.205,80.7499,77.66,78.53,22663591.25499
2026-03-11,78.11,79.77,76.735,78.69,22677210.132032
2026-03-12,77.335,77.82,75.07,76.12,22668272.284806
2026-03-13,76.75,77.63,72.795,73.39,33417524.611744
2026-03-16,75.1,75.805,74.11,75.31,22783397.532339
2026-03-17,75.4,77.7,75.39,77.35,20210220.092413
2026-03-18,76.13,77.25,74.8301,74.9,21937559.683193
2026-03-19,72.28,75.16,71.7,74.16,21552531.150276
2026-03-20,73.1,73.41,69.9,70.89,34441126.115852
2026-03-23,71.846,73.6,70.9201,72.49,26070187.070578
2026-03-24,71.51,71.84,68.5755,69.08,29317572.435433
2026-03-25,71.825,74.5898,71.75,72.54,27500064.534927
2026-03-26,71.15,73.24,69.7,70.35,21327043.446494
2026-03-27,68.54,68.89,65.872,66.02,30547031.505833
2026-03-30,66.859,67.89,63.515,65.16,26512250.218182
2026-03-31,65.82,69.4127,65.18,69.3,35925102.638102
2026-04-01,71.13,71.5512,69.14,70.11,24130357.110799
2026-04-02,67.2,70.15,65.57,68.9,23381347.078417
2026-04-06,69.31,70.82,68.71,69.78,24334458.28595
2026-04-07,68.3,69.66,66.62,69.65,24967432.398702
2026-04-08,76.8,77.87,71.31,71.83,32953378.232206
2026-04-09,71.59,72.46,68.78,70.12,25973774.318421
2026-04-10,70.11,70.87,68.2801,69.19,23163806.766765
2026-04-13,68.205,71.7,67.8,71.67,21181719.047825
2026-04-14,75.13,79.28,75.05,79.09,43587324.990991
2026-04-15,83.55,87.55,81.5,87.32,72707192.322036
2026-04-16,89.19,89.3799,83.87,86.85,51788108.022905
2026-04-17,90.06,93.32,89.57,90.75,49795273.66902
2026-04-20,89.7,92.38,88.21,91.275,35942426.754979
2026-04-21,91.08,91.45,86.19,86.43,36873045.958426
2026-04-22,89.35,90.135,87.48,88.43,27468392.435401
2026-04-23,86.695,87.61,81.745,83.54,33497616.469594
2026-04-24,84.9,85.06,82.82,84.71,20873084.141934
2026-04-27,84.28,85.7,83.115,83.95,20100433.999321
2026-04-28,81.46,83.14,80.82,82.07,31324157.609501
2026-04-29,72.3,73.59,69.93,71.2,79797564.251914
2026-04-30,71.18,73.8746,70.76,72.89,31187273.827113
2026-05-01,73.775,75.28,73.06,73.66,25254844.450472
2026-05-04,74.7,78.29,74.63,76.55,29377477.40164
2026-05-05,77.615,78.75,76.49,77.03,24754631.45698
2026-05-06,77.8,79.49,76.19,79.05,24673111.298304
2026-05-07,78.955,79.23,75.46,76.28,21873214.201004
2026-05-08,76.24,77.065,74.25,77.03,18141883.293418
2026-05-11,76.79,81.14,74.8,80.78,26357900.508458
2026-05-12,79.08,80.18,76.48,78.27,17097115.616869
2026-05-13,77.07,77.62,75.34,76.75,14805876.38522
2026-05-14,76.05,81.93,75.11,80.7,27967581.555617
2026-05-15,78.54,78.582,76.41,77.14,19662351.359582
2026-05-18,76.0,79.92,75.47,77.15,20209438.325597
2026-05-19,76.15,76.37,73.18,74.16,20490415.522234
2026-05-20,74.75,76.35,73.75,75.76,17178283.830611
2026-05-21,74.945,76.7594,74.65,75.92,16266441.828747
2026-05-22,76.32,77.11,73.26,73.64,20817545.724021
2026-05-26,74.495,76.04,73.455,74.09,20130150.158107
2026-05-27,73.915,76.635,73.45,76.23,25413139.798772
2026-05-28,74.845,84.92,73.53,84.84,44052422.82663
2026-05-29,85.66,94.4,84.235,94.3,64410960.159881
2026-06-01,89.94,92.4,85.5599,90.73,42590760.391937
2026-06-02,88.67,89.43,86.13,88.16,26630608.723974
2026-06-03,86.445,86.815,82.41,82.85,24090317.344615
2026-06-04,83.255,88.62,82.8,88.33,31788590.714756
2026-06-05,86.57,87.3299,79.49,82.47,35905094.764663
