date,open,high,low,close,volume
2026-02-04,21.78,23.29,21.73,23.24,29903043.0
2026-02-05,22.92,23.1,22.165,22.71,23404294.0
2026-02-06,23.08,23.8,22.98,23.61,15011907.0
2026-02-09,23.41,24.07,23.3,23.91,14121990.0
2026-02-10,24.01,24.25,23.905,23.97,12868834.0
2026-02-11,24.23,24.38,23.29,23.81,15773053.0
2026-02-12,23.165,23.33,21.85,22.2,30321327.0
2026-02-13,22.23,23.0,22.035,22.69,16791381.0
2026-02-17,22.28,22.6,21.905,21.97,13720862.0
2026-02-18,21.78,22.02,21.465,21.55,17105029.0
2026-02-19,21.59,21.825,21.105,21.39,12195212.0
2026-02-20,21.28,21.935,21.265,21.37,12602568.0
2026-02-23,21.23,21.31,19.965,20.0,14414665.238367
2026-02-24,20.03,20.39,19.84,20.25,12215106.684941
2026-02-25,20.28,20.755,20.24,20.63,13677707.336637
2026-02-26,20.87,21.025,20.43,20.84,16599123.880491
2026-02-27,21.04,21.8,20.96,21.47,30874077.019833
2026-03-02,21.19,22.16,21.076,22.13,15744486.963805
2026-03-03,21.7,21.84,20.855,21.64,18494515.000814
2026-03-04,21.8,21.99,21.53,21.55,10253028.026929
2026-03-05,21.5,21.89,21.205,21.47,12826509.753223
2026-03-06,21.08,21.51,20.845,21.13,16611811.960266
2026-03-09,20.64,21.85,20.6,21.81,34704428.919632
2026-03-10,22.02,22.14,21.025,21.1,36131413.362589
2026-03-11,21.27,21.91,21.19,21.43,23245182.715666
2026-03-12,21.15,21.74,21.15,21.58,21180611.842388
2026-03-13,21.88,21.98,21.36,21.58,14179100.299285
2026-03-16,21.9,22.11,21.65,21.85,16518812.482089
2026-03-17,21.94,22.275,21.62,21.67,16696688.179422
2026-03-18,21.71,21.995,21.44,21.53,10572745.641083
2026-03-19,21.23,22.175,21.16,22.12,10302252.52621
2026-03-20,22.43,22.57,21.465,21.69,24417881.604168
2026-03-23,22.05,22.525,21.81,22.32,16638758.214568
2026-03-24,22.18,23.91,22.02,23.9,28241813.245955
2026-03-25,24.39,26.425,24.09,25.78,51915696.644224
2026-03-26,25.58,25.975,24.9214,25.07,24536646.642536
2026-03-27,24.87,24.92,23.865,23.94,23974374.493379
2026-03-30,23.88,24.18,22.295,22.61,24829575.830865
2026-03-31,23.075,23.85,22.62,23.81,20443076.550636
2026-04-01,24.15,24.435,23.7701,23.98,12283510.727691
2026-04-02,23.58,24.77,23.54,24.61,11102591.061173
2026-04-06,24.74,25.16,24.265,24.58,10819198.349826
2026-04-07,24.47,24.715,24.175,24.63,10196027.96271
2026-04-08,25.35,25.7,24.575,24.98,19230941.491103
2026-04-09,24.95,25.11,24.505,24.83,13260352.182569
2026-04-10,25.01,25.29,24.31,24.89,12573654.026086
2026-04-13,24.49,25.25,23.86,24.81,19954417.621302
2026-04-14,24.76,24.79,24.015,24.47,13036827.368262
2026-04-15,24.42,24.72,24.255,24.62,9348506.463552
2026-04-16,24.9,25.91,24.68,25.89,15605908.913869
2026-04-17,26.1,26.56,25.895,26.44,17927054.47057
2026-04-20,26.45,27.91,26.34,27.81,20616498.27664
2026-04-21,27.97,29.63,27.96,28.76,22871764.22464
2026-04-22,28.88,29.09,28.42,28.51,12695095.989591
2026-04-23,28.525,28.525,27.405,27.93,11628389.46742
2026-04-24,28.28,28.37,27.48,28.16,11110908.902593
2026-04-27,28.46,28.9,28.31,28.62,8439203.438795
2026-04-28,28.045,28.23,27.345,27.95,11453049.701523
2026-04-29,27.97,28.47,27.68,28.3,13271721.132222
2026-04-30,28.35,28.79,27.99,28.77,17192249.021746
2026-05-01,28.87,28.97,28.35,28.57,11032478.535952
2026-05-04,28.93,29.3,28.38,28.71,12078190.7836
2026-05-05,29.0,30.15,28.955,30.04,11580004.766508
2026-05-06,30.14,30.42,29.525,30.37,12871923.445434
2026-05-07,30.03,30.05,29.31,29.7,15708626.05962
2026-05-08,30.0,31.35,29.8318,31.35,17520993.030437
2026-05-11,31.19,31.64,30.67,30.87,14198327.771112
2026-05-12,30.41,30.58,29.49,30.21,11200145.371745
2026-05-13,30.65,32.53,30.17,32.07,27523481.21571
2026-05-14,33.7,34.695,33.24,34.13,34638274.11265
2026-05-15,33.66,33.66,32.7206,33.1,16381214.406537
2026-05-18,33.58,33.83,32.32,33.0,16653117.911753
2026-05-19,32.45,33.0399,31.88,32.62,10241045.837064
2026-05-20,32.82,34.0,32.69,33.8,11467601.766022
2026-05-21,33.395,33.99,33.115,33.97,11649827.537204
2026-05-22,34.65,37.745,34.5,37.58,30722422.968958
2026-05-26,37.92,38.58,37.33,38.06,16808247.591084
2026-05-27,37.81,37.9,36.71,37.2,17674628.883646
2026-05-28,37.47,38.355,36.575,38.21,23279930.651951
2026-05-29,42.78,44.575,41.52,43.04,86121424.353114
2026-06-01,44.18,47.97,43.4,47.0,115597824.694605
2026-06-02,63.06,64.25,53.47,56.15,153197465.350896
