date,open,high,low,close,volume
2026-02-02,34.24,34.9299,34.23,34.85,2214.0
2026-02-03,35.28,35.55,34.87,35.55,2491.0
2026-02-04,35.61,35.61,33.39,34.0,15158.0
2026-02-05,33.4953,33.97,33.4953,33.7236,13912.0
2026-02-06,34.41,35.51,34.41,35.5,7353.0
2026-02-09,35.86,36.48,35.83,36.2,20246.0
2026-02-10,36.255,36.6,36.0,36.16,9419.0
2026-02-11,37.07,37.52,36.48,37.1514,4795.0
2026-02-12,37.74,37.88,36.3365,36.3365,13374.0
2026-02-13,36.57,37.18,36.48,36.85,9048.0
2026-02-17,36.68,37.29,36.485,37.04,13970.0
2026-02-18,37.48,37.6299,36.9,37.02,16952.0
2026-02-19,37.1085,37.44,37.0855,37.44,8648.0
2026-02-20,37.26,38.23,37.26,37.84,24668.0
2026-02-23,37.83,37.83,37.0,37.17,11990.9942
2026-02-24,37.35,38.17,37.135,38.17,32716.506
2026-02-25,38.62,38.62,38.0,38.1985,14792.631667
2026-02-26,38.26,38.26,37.03,38.12,8151.383623
2026-02-27,37.02,37.51,36.82,37.19,23455.229718
2026-03-02,36.44,37.32,36.31,37.25,7413.7633
2026-03-03,35.61,36.12,35.095,35.82,10198.8574
2026-03-04,35.97,36.18,35.62,36.15,6432.6413
2026-03-05,35.71,35.71,34.5696,35.21,13950.524287
2026-03-06,34.1758,34.556,33.969,34.0553,10729.605958
2026-03-09,33.74,35.31,33.06,34.69,18663.348
2026-03-10,35.15,35.48,34.91,34.91,11981.760556
2026-03-11,34.97,34.98,34.725,34.87,2221.5502
2026-03-12,34.56,34.56,33.94,33.94,4234.0997
2026-03-13,34.4,34.4,33.7045,33.7045,3579.347345
2026-03-16,34.54,34.5599,34.1,34.2538,6494.7715
2026-03-17,34.24,34.62,34.24,34.5329,1319.7455
2026-03-18,34.5,34.7399,34.26,34.26,1906.9715
2026-03-19,33.695,34.62,33.695,34.53,3887.5163
2026-03-20,34.66,34.66,33.17,33.34,8769.4523
2026-03-23,34.0,34.99,33.45,34.21,26785.8313
2026-03-24,34.69,35.0819,34.69,35.0819,1862.6442
2026-03-25,35.24,35.65,35.24,35.5335,5013.4743
2026-03-26,34.985,35.18,33.87,33.87,4692.434649
2026-03-27,33.87,33.87,33.66,33.783,1645.8341
2026-03-30,33.97,33.97,32.44,32.5326,1768.6363
2026-03-31,33.18,34.16,33.18,34.1492,3468.759259
2026-04-01,34.735,35.42,34.735,35.0069,4536.0965
2026-04-02,34.65,35.15,34.59,34.8756,2095.4754
2026-04-06,35.15,35.15,34.59,34.7173,2620.0333
2026-04-07,34.495,34.8439,34.495,34.77,3692.8669
2026-04-08,36.26,37.03,36.26,36.82,7352.092322
2026-04-09,37.2,37.899,37.19,37.58,14116.8608
2026-04-10,37.87,38.1,37.85,37.86,9616.5696
2026-04-13,37.57,38.51,37.57,38.5,15255.5235
2026-04-14,38.95,39.12,38.58,38.94,9897.1465
2026-04-15,39.01,39.01,37.915,38.31,8031.5881
2026-04-16,38.37,38.42,37.79,37.89,5040.78683
2026-04-17,38.64,39.27,38.625,39.0587,9186.7246
2026-04-20,38.95,39.4,38.85,39.4,5685.110436
2026-04-21,39.62,39.76,38.8701,39.0354,4888.951064
2026-04-22,39.745,39.745,39.015,39.4987,6949.2426
2026-04-23,39.72,40.41,39.505,40.0303,12987.3171
2026-04-24,40.03,40.29,39.82,39.9577,5451.3216
2026-04-27,39.68,40.0304,39.68,40.0304,5492.1449
2026-04-28,39.57,39.57,38.64,39.01,7617.8196
2026-04-29,39.67,39.67,39.01,39.25,3128.6236
2026-04-30,39.44,39.85,39.44,39.8472,3809.5106
2026-05-01,40.01,40.01,39.535,39.9,7368.4136
2026-05-04,39.95,40.035,39.4675,39.76,8043.008148
2026-05-05,41.16,41.78,40.82,41.7,12699.0805
2026-05-06,41.9,42.4943,41.5199,42.4943,12922.807633
2026-05-07,42.56,42.56,40.606,40.72,16825.355937
2026-05-08,41.38,41.38,40.62,40.79,7661.800542
2026-05-11,40.96,41.84,40.96,41.6364,14560.1222
2026-05-12,41.32,41.36,40.14,41.36,21041.34537
2026-05-13,41.61,41.68,40.88,41.4778,5514.0749
2026-05-14,41.68,41.97,41.4401,41.97,10783.631816
2026-05-15,40.89,40.89,40.4959,40.4959,9424.241111
2026-05-18,40.13,40.13,38.39,38.8,14989.038944
2026-05-19,38.21,38.615,37.1301,38.04,10711.262229
2026-05-20,38.61,39.2,38.525,38.8923,2951.8327
2026-05-21,39.235,39.4025,38.955,39.19,9157.840205
2026-05-22,39.22,39.85,39.095,39.6178,14966.67051
2026-05-26,40.79,41.33,40.79,40.88,11369.154857
2026-05-27,41.1,41.1,40.3775,40.3775,7136.332359
2026-05-28,40.25,40.5389,39.61,40.27,7482.996907
2026-05-29,40.35,40.39,39.75,40.3045,7031.857786
2026-06-01,39.9,40.36,39.5,40.08,13350.025399
2026-06-02,40.3,41.46,40.3,41.45,18839.155177
2026-06-03,41.54,42.4489,41.31,42.24,25768.8696
2026-06-04,40.96,41.95,40.6101,41.73,6446.912559
2026-06-05,40.92,40.945,39.0701,39.5476,13662.096149
2026-06-08,40.23,40.23,39.55,39.6911,7748.821431
2026-06-09,39.99,39.99,38.2,39.51,18202.70005
2026-06-10,39.17,39.52,37.44,37.5929,3212.3487
2026-06-11,38.19,39.446,38.19,39.446,13006.115
2026-06-12,39.65,40.13,39.65,40.0366,4725.072837
