date,open,high,low,close,volume
2026-02-02,15.13,15.2,15.0908,15.175,15626.0
2026-02-03,15.2,15.24,15.11,15.15,7382.0
2026-02-04,15.14,15.199,15.1,15.15,20295.0
2026-02-05,15.08,15.1599,15.0698,15.11,9087.0
2026-02-06,15.07,15.1599,15.07,15.15,4079.0
2026-02-09,15.2,15.27,15.1475,15.18,11335.0
2026-02-10,15.26,15.26,15.15,15.2,7218.0
2026-02-11,15.21,15.21,15.1538,15.19,12969.0
2026-02-12,15.2,15.2,15.05,15.08,47039.0
2026-02-13,15.1805,15.1805,15.11,15.1513,11815.0
2026-02-17,15.15,15.15,15.09,15.115,11987.0
2026-02-18,15.21,15.21,15.12,15.131,18656.0
2026-02-19,15.13,15.15,15.1,15.1,15193.0
2026-02-20,15.08,15.1795,15.08,15.155,5871.0
2026-02-23,15.17,15.17,15.11,15.13,13555.115056
2026-02-24,15.1,15.185,15.1,15.18,18968.8047
2026-02-25,15.21,15.21,15.15,15.206,14076.11013
2026-02-26,15.2,15.2,15.15,15.19,18285.299993
2026-02-27,15.15,15.25,15.15,15.25,51733.369214
2026-03-02,15.14,15.14,15.0201,15.054,40707.793527
2026-03-03,15.02,15.05,14.98,15.03,19839.436486
2026-03-04,15.08,15.09,15.045,15.09,5096.125859
2026-03-05,15.06,15.08,15.01,15.01,13024.307762
2026-03-06,14.96,15.0,14.93,14.93,21058.666467
2026-03-09,14.83,14.95,14.83,14.91,29899.31409
2026-03-10,15.03,15.03,14.94,14.98,13298.604385
2026-03-11,14.96,14.9689,14.8,14.89,8459.129077
2026-03-12,14.94,14.95,14.84,14.84,16796.491003
2026-03-13,14.83,14.9004,14.77,14.77,14683.777856
2026-03-16,14.78,14.86,14.78,14.82,16542.282632
2026-03-17,14.81,14.9129,14.81,14.87,7804.8182
2026-03-18,14.89,14.905,14.84,14.844,15861.8342
2026-03-19,14.84,14.87,14.83,14.87,7349.539182
2026-03-20,14.93,14.93,14.79,14.79,6992.318366
2026-03-23,14.87,14.88,14.8,14.846,10492.796781
2026-03-24,14.8,14.83,14.78,14.805,8674.682297
2026-03-25,14.9,14.9,14.8301,14.86,4111.778196
2026-03-26,14.91,14.91,14.71,14.734,14590.582873
2026-03-27,14.7,14.72,14.66,14.7,14625.050232
2026-03-30,14.79,14.79,14.6801,14.71,35432.569162
2026-03-31,14.81,14.85,14.745,14.85,13551.523463
2026-04-01,14.77,14.9,14.77,14.82,10439.37916
2026-04-02,14.7982,14.9,14.7607,14.825,32895.61426
2026-04-06,14.85,14.98,14.85,14.92,27573.322528
2026-04-07,14.77,14.9,14.77,14.873,14473.462019
2026-04-08,15.05,15.05,14.93,14.9775,19102.401688
2026-04-09,14.95,14.96,14.89,14.95,16707.134509
2026-04-10,14.9,14.98,14.89,14.97,9194.240742
2026-04-13,14.9,14.95,14.89,14.93,12232.497057
2026-04-14,15.05,15.05,14.95,14.98,13569.852557
2026-04-15,15.02,15.03,14.98,15.0051,4519.083988
2026-04-16,15.05,15.05,14.98,15.02,30509.48205
2026-04-17,15.03,15.09,15.0,15.07,19834.607317
2026-04-20,14.96,15.0299,14.96,14.995,3335.264693
2026-04-21,15.02,15.06,15.01,15.01,19111.259163
2026-04-22,15.0,15.05,15.0,15.04,14296.319911
2026-04-23,15.05,15.05,14.9966,15.015,3111.324081
2026-04-24,15.09,15.09,14.98,15.03,8258.1244
2026-04-27,15.1,15.1,14.99,15.02,15032.31565
2026-04-28,15.01,15.05,15.01,15.025,8067.850271
2026-04-29,15.0,15.027,14.985,14.985,6649.921677
2026-04-30,14.99,15.03,14.9,15.0297,28404.452726
2026-05-01,15.03,15.03,14.91,14.985,24310.04787
2026-05-04,15.0,15.0,14.84,14.925,16209.348188
2026-05-05,14.95,14.95,14.87,14.94,20458.643826
2026-05-06,14.9139,14.97,14.89,14.9672,10152.494084
2026-05-07,14.96,14.98,14.8218,14.91,7005.845147
2026-05-08,14.94,14.97,14.88,14.965,20718.215699
2026-05-11,14.96,14.9651,14.88,14.915,25245.548435
2026-05-12,14.89,14.92,14.86,14.88,14081.403295
2026-05-13,14.88,14.88,14.8501,14.875,8467.602695
2026-05-14,14.86,14.94,14.86,14.9,17158.354725
2026-05-15,14.8799,14.88,14.8599,14.87,34929.507608
2026-05-18,14.85,14.88,14.85,14.8653,28911.280071
2026-05-19,14.85,14.85,14.8101,14.815,9088.7188
2026-05-20,14.86,14.92,14.82,14.8985,30591.72853
2026-05-21,14.92,14.92,14.8509,14.92,40962.5236
2026-05-22,14.88,14.95,14.88,14.93,27195.660908
2026-05-26,14.95,14.97,14.95,14.965,33748.684668
2026-05-27,15.0,15.0,14.9101,14.95,26345.292929
2026-05-28,14.98,15.07,14.94,15.02,48889.473876
2026-05-29,15.0,15.035,15.0,15.005,23755.087962
2026-06-01,15.01,15.01,14.8808,14.9422,44065.504102
2026-06-02,14.87,14.97,14.83,14.96,132531.420353
2026-06-03,14.89,14.95,14.88,14.8924,204449.255752
2026-06-04,14.92,14.94,14.84,14.92,45177.405215
2026-06-05,14.91,14.91,14.87,14.9,145599.335964
