date,open,high,low,close,volume
2026-02-02,156.75,157.27,154.2,154.9,840522.0
2026-02-03,154.35,156.53,153.24,156.12,718159.0
2026-02-04,158.43,163.87,157.38,161.15,1184128.0
2026-02-05,160.57,161.6725,157.39,159.74,736931.0
2026-02-06,158.12,165.61,158.12,162.87,1193706.0
2026-02-09,159.61,162.27,157.505,159.63,789557.0
2026-02-10,161.97,170.82,161.97,169.05,1390862.0
2026-02-11,169.99,171.3,167.2,168.63,1760850.0
2026-02-12,170.95,180.53,168.84,169.07,1964378.0
2026-02-13,170.47,172.02,164.98,165.39,968243.0
2026-02-17,163.43,170.695,161.31,169.59,1097713.0
2026-02-18,168.54,172.64,167.3273,167.94,970487.0
2026-02-19,166.61,169.777,166.07,167.96,1164463.0
2026-02-20,168.85,173.29,166.46,171.84,845058.0
2026-02-23,170.07,170.08,159.02,159.65,1143874.859115
2026-02-24,160.12,164.82,159.77,164.02,927119.364463
2026-02-25,166.07,168.41,163.2325,168.1,1051016.193111
2026-02-26,170.27,173.38,169.21,171.21,601461.091477
2026-02-27,167.53,167.53,161.0,161.5,1904025.596732
2026-03-02,155.27,161.31,152.21,159.81,1035899.837387
2026-03-03,155.51,164.04,153.295,163.62,1163707.002479
2026-03-04,163.91,165.185,160.11,162.0,705363.026243
2026-03-05,160.18,162.02,156.0,158.26,924465.578874
2026-03-06,155.41,155.84,148.34,149.62,837044.87903
2026-03-09,148.11,157.18,141.65,155.72,1860758.356823
2026-03-10,153.19,157.355,151.75,151.99,1131741.960723
2026-03-11,151.29,152.77,149.645,151.46,630548.721003
2026-03-12,148.14,148.14,143.19,143.54,932424.602452
2026-03-13,144.03,145.01,139.23,139.3,792943.531242
2026-03-16,142.3,145.0799,140.905,141.33,802420.484863
2026-03-17,144.76,148.98,144.76,147.49,611024.762437
2026-03-18,146.64,147.68,145.0,145.38,649967.049544
2026-03-19,143.19,146.31,142.575,144.34,742024.916843
2026-03-20,143.2,144.165,140.8,142.11,901224.329839
2026-03-23,146.88,150.62,145.49,145.54,631248.24595
2026-03-24,143.67,146.8,143.29,145.68,580332.317895
2026-03-25,147.62,148.945,144.26,147.57,504293.292217
2026-03-26,147.4,149.9,144.88,145.96,678773.09668
2026-03-27,147.7,147.7,141.0734,142.31,577699.947703
2026-03-30,141.47,144.315,139.39,139.95,521670.700307
2026-03-31,142.26,144.48,137.53,143.79,1050321.89152
2026-04-01,143.82,145.28,141.81,143.88,648322.872025
2026-04-02,141.05,145.45,139.624,143.47,563212.179859
2026-04-06,142.81,146.02,140.6,145.99,450880.375838
2026-04-07,145.12,146.285,141.49,144.9,547263.59485
2026-04-08,152.5,160.0,151.305,151.68,1002547.486162
2026-04-09,151.06,157.01,149.47,155.69,897236.645181
2026-04-10,158.03,158.275,154.19,155.25,516684.359774
2026-04-13,153.63,159.53,152.92,159.2,665029.816633
2026-04-14,160.02,164.76,159.985,162.98,822902.183996
2026-04-15,164.75,164.84,161.03,163.46,673265.17962
2026-04-16,163.92,165.75,161.68,164.08,849164.947375
2026-04-17,167.99,175.54,166.94,172.48,1125451.574162
2026-04-20,171.07,173.75,170.76,172.68,903276.835178
2026-04-21,172.31,174.17,169.31,170.74,767241.71156
2026-04-22,171.39,171.88,164.8,165.44,624843.499209
2026-04-23,166.99,167.955,162.0,164.46,827537.465876
2026-04-24,163.64,164.92,162.03,164.26,643213.215184
2026-04-27,163.07,165.69,162.22,163.96,656940.360965
2026-04-28,161.54,165.31,161.12,162.36,716199.192283
2026-04-29,161.23,162.38,156.855,158.91,1047933.831718
2026-04-30,166.24,173.09,162.05,167.57,1505510.976326
2026-05-01,168.24,170.21,162.51,163.73,1025966.479282
2026-05-04,161.02,163.23,158.62,159.12,687657.283206
2026-05-05,160.27,164.15,160.27,161.98,689591.187839
2026-05-06,166.42,170.3,166.42,169.37,697198.429039
2026-05-07,169.37,171.325,168.16,170.47,1478722.771863
2026-05-08,170.5,171.96,166.63,167.6,1064823.635351
2026-05-11,169.76,169.76,163.2,165.15,514823.91221
2026-05-12,166.53,169.14,164.29,166.47,596137.470823
2026-05-13,166.0,167.9699,164.18,167.26,597069.081981
2026-05-14,169.63,171.29,166.89,169.98,768191.335024
2026-05-15,169.37,170.67,167.245,168.78,1070117.853393
2026-05-18,166.75,172.94,166.68,169.4,590986.733805
2026-05-19,168.41,168.79,164.34,164.4,1001253.549221
2026-05-20,165.3,173.7509,163.04,173.19,852269.504424
2026-05-21,170.14,177.15,169.5,175.52,619677.709655
2026-05-22,177.1,177.67,174.005,174.15,779154.730925
2026-05-26,177.66,180.08,174.91,179.52,1030986.58225
2026-05-27,181.8,183.71,179.08,183.15,945636.988568
2026-05-28,186.49,188.5,181.61,185.46,1363850.379117
2026-05-29,186.39,186.97,180.74,181.36,1228812.259404
2026-06-01,181.4,186.22,180.705,183.65,877491.279923
2026-06-02,182.45,190.0,182.0101,185.21,1089248.752711
2026-06-03,182.43,187.24,182.43,185.92,614890.068719
2026-06-04,188.05,189.64,185.1292,189.13,766199.805433
2026-06-05,190.14,195.04,190.14,193.06,832949.275376
2026-06-08,191.93,196.075,191.3,193.72,1382606.830503
2026-06-09,195.67,199.87,193.06,194.08,1133087.636543
2026-06-10,194.08,198.575,189.81,190.63,1193347.457491
2026-06-11,193.12,197.99,191.275,197.86,791321.987911
2026-06-12,198.41,200.47,197.0,199.36,698245.095054
