date,open,high,low,close,volume
2026-02-02,25.85,25.96,25.835,25.955,40321.0
2026-02-03,26.19,26.265,26.09,26.1966,276218.0
2026-02-04,26.135,26.2299,25.91,26.005,66337.0
2026-02-05,25.9,25.98,25.81,25.86,23415.0
2026-02-06,26.16,26.2264,26.07,26.21,26588.0
2026-02-09,26.11,26.25,26.0585,26.206,13195.0
2026-02-10,26.31,26.31,26.2,26.2492,9848.0
2026-02-11,26.3,26.3,26.19,26.245,29448.0
2026-02-12,26.25,26.36,26.08,26.1046,10166.0
2026-02-13,26.09,26.15,25.985,26.0903,21196.0
2026-02-17,26.6,26.6,25.92,26.05,231318.0
2026-02-18,26.05,26.18,26.025,26.1196,77835.0
2026-02-19,26.09,26.26,26.08,26.15,49196.0
2026-02-20,26.13,26.34,26.09,26.29,31018.0
2026-02-23,26.23,26.26,26.1,26.2049,58176.871009
2026-02-24,26.29,26.41,26.2706,26.38,43687.9518
2026-02-25,26.4,26.48,26.4,26.457,86279.0648
2026-02-26,26.44,26.44,26.3,26.408,15985.3958
2026-02-27,26.19,26.38,26.19,26.3561,52069.878
2026-03-02,26.36,26.6648,26.32,26.605,90398.172
2026-03-03,26.34,26.51,26.2,26.4423,48637.015
2026-03-04,26.54,26.72,26.495,26.625,48416.327
2026-03-05,26.48,26.52,26.34,26.5194,49399.078
2026-03-06,26.35,26.77,26.32,26.695,73607.275706
2026-03-09,26.59,26.78,26.57,26.7692,25075.916794
2026-03-10,26.94,27.14,26.71,26.885,272010.341
2026-03-11,26.74,26.74,26.565,26.6447,50122.235625
2026-03-12,26.64,26.7,26.52,26.615,23551.7548
2026-03-13,26.68,26.72,26.52,26.585,61389.926647
2026-03-16,26.75,26.7875,26.67,26.73,65141.052
2026-03-17,26.89,26.9201,26.78,26.8915,29171.3529
2026-03-18,26.54,26.82,26.54,26.815,122624.809779
2026-03-19,26.58,26.99,26.58,26.93,88876.669067
2026-03-20,26.89,27.01,26.8,26.9762,89870.1739
2026-03-23,27.09,27.18,26.93,26.9971,129134.896819
2026-03-24,26.86,27.25,26.825,27.155,60338.346728
2026-03-25,27.33,27.33,27.15,27.2087,48867.6047
2026-03-26,27.31,27.37,27.04,27.0692,206868.379861
2026-03-27,27.01,27.1281,27.008,27.0964,47737.512715
2026-03-30,27.185,27.19,27.0001,27.045,100928.5329
2026-03-31,27.085,27.3287,27.04,27.2663,83224.3609
2026-04-01,27.46,27.5,27.26,27.42,225333.6339
2026-04-02,27.25,27.45,27.22,27.4415,64522.5162
2026-04-06,27.54,27.54,27.3,27.3803,132477.535043
2026-04-07,27.39,27.4,27.27,27.3755,44175.008565
2026-04-08,27.78,27.78,27.3517,27.44,147422.6579
2026-04-09,27.45,27.64,27.41,27.5772,84213.8287
2026-04-10,27.59,27.984,27.54,27.95,216903.524992
2026-04-13,27.68,27.74,27.53,27.6925,473205.5442
2026-04-14,27.42,27.69,27.41,27.5386,400999.866799
2026-04-15,27.6,27.61,27.52,27.5812,153275.153369
2026-04-16,27.62,27.62,27.53,27.5598,48525.694289
2026-04-17,27.54,27.75,27.53,27.66,92162.438
2026-04-20,27.62,27.63,27.58,27.63,73858.384685
2026-04-21,27.62,27.62,27.54,27.545,60424.5981
2026-04-22,27.7,27.82,27.59,27.82,163090.808389
2026-04-23,27.78,27.86,27.6,27.7148,157294.817103
2026-04-24,27.88,28.01,27.63,28.005,206773.731437
2026-04-27,27.99,28.4478,27.78,28.03,421450.518952
2026-04-28,27.84,28.04,27.7501,27.8691,534318.1479
2026-04-29,27.84,27.92,27.785,27.92,352953.858605
2026-04-30,28.03,28.13,27.92,28.12,712840.517724
2026-05-01,28.16,28.225,27.99,28.13,475013.344867
2026-05-04,28.1,28.1,27.93,28.0,247245.426154
2026-05-05,28.11,28.11,27.975,28.06,326205.531873
2026-05-06,28.17,28.17,27.975,28.0809,219969.127602
2026-05-07,28.04,28.08,27.97,28.0434,328097.600448
2026-05-08,28.07,28.11,27.9901,28.0302,195853.214911
2026-05-11,28.3,28.3,28.05,28.18,207576.475484
2026-05-12,28.1,28.28,28.08,28.2678,240844.473414
2026-05-13,28.37,28.4198,28.27,28.305,373327.866858
2026-05-14,28.31,28.3433,28.18,28.2321,250877.561512
2026-05-15,28.05,28.19,27.99,28.1321,409522.2245
2026-05-18,28.28,28.45,28.25,28.375,195664.1126
2026-05-19,28.39,28.4099,28.2001,28.22,459187.077228
2026-05-20,28.35,28.41,28.21,28.2974,367925.430588
2026-05-21,28.25,28.3075,28.11,28.1582,409362.415402
2026-05-22,28.29,28.29,28.0901,28.175,290097.065804
2026-05-26,28.24,28.3,28.22,28.255,270051.480618
2026-05-27,28.28,28.28,27.97,28.15,198669.96314
2026-05-28,28.25,28.35,28.16,28.3,116564826.0836
2026-05-29,28.38,28.3899,28.11,28.19,22017989.14526
2026-06-01,28.35,28.74,28.21,28.4562,19284137.07077
2026-06-02,28.71,28.96,28.5,28.65,5175652.97814
2026-06-03,28.74,28.75,28.58,28.63,6919338.872176
2026-06-04,28.55,28.74,28.55,28.64,7389531.126893
2026-06-05,28.76,28.76,28.275,28.3,2368665.60489
