date,open,high,low,close,volume
2026-02-02,24.24,24.24,24.07,24.09,60951.0
2026-02-03,24.0,24.1499,24.0,24.04,110736.0
2026-02-04,24.29,24.29,24.047,24.0802,81187.0
2026-02-05,24.07,24.1991,24.07,24.13,30235.0
2026-02-06,24.19,24.25,24.1101,24.25,50156.0
2026-02-09,24.23,24.23,24.15,24.18,54950.0
2026-02-10,24.19,24.28,24.1711,24.25,36828.0
2026-02-11,24.13,24.2564,24.1201,24.19,33846.0
2026-02-12,24.18,24.2999,24.18,24.29,33898.0
2026-02-13,24.2704,24.32,24.2,24.29,91197.0
2026-02-17,24.29,24.34,24.24,24.31,68610.0
2026-02-18,24.33,24.34,24.161,24.26,76989.0
2026-02-19,24.23,24.26,24.21,24.26,39822.0
2026-02-20,24.29,24.3,24.2,24.22,44292.0
2026-02-23,24.2778,24.35,24.2402,24.35,52001.578315
2026-02-24,24.32,24.32,24.1701,24.21,64841.546169
2026-02-25,24.17,24.277,24.17,24.19,51496.615282
2026-02-26,24.18,24.24,24.1729,24.24,29477.347244
2026-02-27,24.1,24.27,24.1,24.235,23522.250321
2026-03-02,24.33,24.33,24.11,24.16,139479.942253
2026-03-03,24.15,24.28,24.0475,24.18,97589.465216
2026-03-04,24.18,24.23,24.16,24.17,69328.791719
2026-03-05,24.07,24.16,24.07,24.16,164613.152733
2026-03-06,24.12,24.1599,24.05,24.0921,151779.1396
2026-03-09,24.0,24.179,24.0,24.1399,78107.201279
2026-03-10,24.17,24.2735,24.0501,24.08,47811.423676
2026-03-11,24.09,24.11,23.945,24.01,41158.189188
2026-03-12,24.02,24.02,23.8101,23.94,55582.875425
2026-03-13,23.985,23.985,23.83,23.8547,33988.372747
2026-03-16,23.91,23.95,23.88,23.91,69573.645465
2026-03-17,23.95,24.0675,23.94,24.01,62087.305277
2026-03-18,24.04,24.04,23.8763,23.8763,39958.809561
2026-03-19,23.87,23.95,23.824,23.94,78439.535246
2026-03-20,23.76,24.0299,23.7503,23.78,581842.641417
2026-03-23,23.8,23.9499,23.7558,23.8504,605910.249172
2026-03-24,23.94,23.94,23.78,23.83,77935.1034
2026-03-25,23.86,23.89,23.82,23.82,16032.6728
2026-03-26,23.8699,23.8699,23.7,23.75,84356.841776
2026-03-27,23.62,23.68,23.51,23.68,44192.864419
2026-03-30,23.56,23.82,23.56,23.77,916251.880971
2026-03-31,23.79,23.9299,23.7801,23.857,63381.4607
2026-04-01,23.86,23.89,23.7901,23.87,204718.158233
2026-04-02,23.79,23.93,23.79,23.93,60787.713138
2026-04-06,23.88,23.89,23.83,23.83,61823.4532
2026-04-07,23.83,23.89,23.755,23.89,77990.388079
2026-04-08,24.02,24.02,23.8006,23.93,485977.207207
2026-04-09,23.93,23.9699,23.9009,23.935,33220.961354
2026-04-10,23.94,23.98,23.8622,23.94,95428.347913
2026-04-13,23.88,23.972,23.875,23.91,1179218.962987
2026-04-14,23.89,24.0874,23.87,23.98,187938.414995
2026-04-15,24.02,24.09,23.9568,23.97,75314.651207
2026-04-16,24.02,24.02,23.92,23.94,56361.34072
2026-04-17,24.11,24.11,23.9676,24.0188,26993.440424
2026-04-20,24.08,24.78,23.97,23.99,82317.263087
2026-04-21,23.98,24.13,23.9,23.99,36806.416937
2026-04-22,24.0239,24.09,23.95,23.985,77174.774756
2026-04-23,23.97,24.11,23.89,23.98,85114.914402
2026-04-24,23.84,23.94,23.82,23.9,131315.570613
2026-04-27,23.88,24.145,23.82,23.89,57158.337923
2026-04-28,23.84,24.0299,23.82,23.9,31857.467998
2026-04-29,23.87,23.8844,23.76,23.8,139861.266136
2026-04-30,23.93,23.93,23.755,23.86,70649.128354
2026-05-01,23.86,23.9819,23.8401,23.86,31702.35868
2026-05-04,23.86,23.94,23.69,23.85,77944.505458
2026-05-05,23.89,23.97,23.8,23.825,49409.675913
2026-05-06,23.97,23.97,23.7301,23.92,76196.45988
2026-05-07,24.0,24.0,23.81,23.86,95166.171803
2026-05-08,23.88,23.9922,23.75,23.84,69724.150601
2026-05-11,23.82,23.92,23.76,23.87,54480.49615
2026-05-12,23.88,23.9599,23.79,23.83,79389.768568
2026-05-13,23.89,23.9699,23.79,23.82,60440.659514
2026-05-14,23.85,23.9079,23.8001,23.85,73501.40857
2026-05-15,23.74,23.854,23.73,23.76,37863.405366
2026-05-18,23.76,23.9399,23.7101,23.76,73304.5534
2026-05-19,23.68,23.715,23.63,23.6717,69875.26311
2026-05-20,23.67,23.845,23.64,23.785,54417.457042
2026-05-21,23.73,23.81,23.6926,23.81,38292.58898
2026-05-22,23.78,23.8799,23.64,23.706,55756.67579
2026-05-26,23.77,23.899,23.73,23.765,58267.341714
2026-05-27,23.86,23.8676,23.73,23.8,74340.174672
2026-05-28,23.73,23.8882,23.73,23.84,64409.048682
2026-05-29,23.82,23.895,23.8,23.84,35056.974447
2026-06-01,23.77,23.869,23.751,23.8,42202.236835
2026-06-02,23.82,23.8955,23.765,23.815,65763.166683
2026-06-03,23.815,23.9199,23.77,23.77,32850.397146
2026-06-04,23.8,23.86,23.8,23.86,38976.188624
2026-06-05,23.85,23.85,23.65,23.73,36056.256813
2026-06-08,23.79,23.89,23.72,23.79,45665.528318
2026-06-09,23.79,23.88,23.675,23.76,139268.459746
2026-06-10,23.77,23.87,23.6764,23.71,52314.07921
2026-06-11,23.76,23.85,23.6841,23.85,54058.426399
2026-06-12,23.78,23.865,23.75,23.75,43807.515232
