date,open,high,low,close,volume
2026-02-02,44.25,45.01,43.975,44.22,106528050.0
2026-02-03,44.455,44.46,41.295,43.3,125821773.0
2026-02-04,42.635,42.89,40.8,41.57,110932693.0
2026-02-05,39.7,40.145,35.3,36.1,284371536.0
2026-02-06,38.05,40.57,38.01,39.68,163384166.0
2026-02-09,39.12,40.35,38.81,40.11,77526130.0
2026-02-10,39.225,39.7,38.49,38.97,61505442.0
2026-02-11,38.56,38.6919,37.245,38.29,71103805.0
2026-02-12,38.52,38.72,36.875,37.05,62511886.0
2026-02-13,38.16,39.38,37.89,38.97,65553147.0
2026-02-17,38.545,38.6901,37.735,38.39,54882693.0
2026-02-18,38.0,38.75,37.3,37.54,50091290.0
2026-02-19,37.385,38.1,37.2,38.07,44587859.0
2026-02-20,37.99,38.61,37.72,38.42,62397068.0
2026-02-23,37.465,37.56,36.2,36.55,61935348.040571
2026-02-24,35.72,36.71,35.6,36.53,47064695.079934
2026-02-25,37.75,39.46,37.5301,39.23,79921085.316294
2026-02-26,38.62,38.72,37.71,38.26,51941114.862506
2026-02-27,37.5,37.63,36.91,37.19,48597843.396298
2026-03-02,37.19,39.78,37.17,39.195,101283184.459213
2026-03-03,38.03,39.14,37.5,38.7,70667454.70303
2026-03-04,40.7,42.02,40.44,41.44,115483485.509047
2026-03-05,41.14,41.31,40.035,40.39,61402208.685252
2026-03-06,39.11,39.19,38.375,38.6,57220292.935079
2026-03-09,38.99,39.445,38.69,39.13,73613456.42064
2026-03-10,40.185,40.725,39.29,39.71,62965482.968084
2026-03-11,39.83,40.47,39.52,40.07,46499474.756899
2026-03-12,39.76,40.08,39.31,39.95,42455316.920567
2026-03-13,41.43,41.965,40.17,40.37,83099428.605718
2026-03-16,41.92,42.28,41.385,41.94,61056332.68429
2026-03-17,41.795,42.5,41.61,42.27,41259440.536119
2026-03-18,41.09,41.135,40.17,40.26,64030028.087359
2026-03-19,39.29,40.025,39.0,39.82,58778566.335061
2026-03-20,39.975,40.0,39.325,39.77,50329639.377937
2026-03-23,40.135,40.7199,39.72,40.05,49007873.069501
2026-03-24,40.0,40.12,39.045,39.28,54901259.005821
2026-03-25,40.6,40.8,39.98,40.17,41787932.986054
2026-03-26,39.305,39.58,38.59,38.82,43649070.514873
2026-03-27,37.795,37.82,37.13,37.4,66924537.218063
2026-03-30,38.45,38.55,37.5,37.68,41352858.71233
2026-03-31,37.82,38.85,37.62,38.42,51580695.722426
2026-04-01,38.85,39.21,38.475,38.64,34296510.06162
2026-04-02,37.49,38.235,37.235,37.97,34264359.240689
2026-04-06,39.385,39.9,39.21,39.52,40428415.808564
2026-04-07,38.805,39.16,38.37,39.1,30501950.713284
2026-04-08,41.08,41.15,40.04,40.42,60582593.666704
2026-04-09,40.32,41.15,39.96,40.91,33030949.524702
2026-04-10,41.0,41.59,40.765,41.56,34798006.437864
2026-04-13,40.35,41.675,40.1393,41.59,42988954.620085
2026-04-14,42.25,43.185,41.87,42.13,68489767.756897
2026-04-15,42.19,42.695,41.72,42.56,35561303.088882
2026-04-16,42.495,42.77,41.515,42.73,37189237.767052
2026-04-17,43.45,44.46,43.215,43.94,80357538.130765
2026-04-20,42.65,43.3765,42.345,43.25,37820890.663307
2026-04-21,43.11,43.42,42.4,42.51,30898345.726252
2026-04-22,44.5,45.075,44.38,44.75,51415280.694798
2026-04-23,43.99,44.61,43.62,44.05,40169242.007923
2026-04-24,44.32,44.41,43.85,44.02,28637104.865948
2026-04-27,44.035,44.37,43.325,43.56,31999810.411806
2026-04-28,43.17,43.32,42.85,43.27,23774361.687249
2026-04-29,43.56,43.59,42.44,42.75,33991109.974419
2026-04-30,43.145,43.465,43.1,43.32,22965165.46734
2026-05-01,44.405,44.79,44.245,44.47,46151430.358692
2026-05-04,44.75,45.79,44.47,45.4,62909398.960302
2026-05-05,46.18,46.33,45.88,46.28,43996203.958314
2026-05-06,46.41,46.51,45.9611,46.19,36051337.238026
2026-05-07,45.87,45.88,45.02,45.4,31868169.041075
2026-05-08,45.085,45.58,45.03,45.45,24590810.796155
2026-05-11,45.96,46.56,45.55,46.47,31097050.56663
2026-05-12,45.68,45.8307,45.205,45.8,27407820.144695
2026-05-13,45.39,45.435,44.58,45.12,32419902.5211
2026-05-14,45.275,46.525,45.07,46.17,44670273.394699
2026-05-15,45.32,45.33,44.5,44.82,39817920.682531
2026-05-18,43.74,43.76,43.025,43.53,55893811.16516
2026-05-19,43.34,43.63,43.075,43.5,25399861.495959
2026-05-20,43.75,44.08,43.5101,43.99,21838291.969382
2026-05-21,43.75,44.215,43.4,44.0,25781219.741865
2026-05-22,43.745,43.79,42.81,42.96,30065950.506652
2026-05-26,43.45,44.24,42.835,42.99,84084862.511527
2026-05-27,42.51,42.7,42.2191,42.45,35159181.885616
2026-05-28,41.37,41.72,41.035,41.56,42607570.875802
2026-05-29,41.33,42.08,41.0142,41.63,40077712.088189
2026-06-01,40.615,40.75,39.955,40.49,54539174.60947
2026-06-02,39.02,39.09,37.5735,38.05,76815235.258309
2026-06-03,37.79,38.02,36.92,37.0,53124102.383021
2026-06-04,35.78,36.53,35.615,36.02,73453912.936889
2026-06-05,35.16,35.29,33.48,34.14,111720843.74319
