date,open,high,low,close,volume
2026-02-17,14.0501,17.51,13.01,15.59,6358527.0
2026-02-18,16.2,16.49,14.02,14.71,4442422.0
2026-02-19,15.06,15.09,12.99,13.68,4827112.0
2026-02-20,13.55,13.66,12.49,13.29,4033726.0
2026-02-23,12.8,12.9186,11.86,12.49,3134155.36897
2026-02-24,12.28,12.3399,11.4,12.03,4424068.063433
2026-02-25,11.98,13.19,11.92,13.09,3912532.354276
2026-02-26,13.36,14.0,12.68,12.89,3892578.554794
2026-02-27,12.17,12.4,11.265,11.64,3735299.056977
2026-03-02,11.3,12.19,11.29,11.92,2583179.298344
2026-03-03,11.3,11.89,11.03,11.81,2626430.691353
2026-03-04,11.71,11.95,11.36,11.8,2163784.30003
2026-03-05,11.59,12.0389,10.921,11.21,3033109.599839
2026-03-06,10.85,11.21,10.62,10.67,2544829.547468
2026-03-09,10.52,11.66,10.3805,11.66,3259916.359086
2026-03-10,11.65,12.66,11.65,12.15,3387799.945438
2026-03-11,12.16,12.3,11.31,11.43,2697480.83843
2026-03-12,11.32,11.53,10.61,10.68,2772869.914398
2026-03-13,10.84,11.19,10.01,10.08,3074444.667396
2026-03-16,10.29,10.65,10.135,10.55,2400716.460327
2026-03-17,10.77,11.1,10.5475,10.78,2023700.509113
2026-03-18,10.6,10.62,9.77,9.8,2854991.28435
2026-03-19,9.44,9.79,9.01,9.62,2546193.494645
2026-03-20,9.5,9.547,8.56,8.81,3557502.193079
2026-03-23,9.03,9.69,8.8,9.58,2201149.956475
2026-03-24,9.4,10.36,9.21,10.25,2476777.30658
2026-03-25,10.85,11.55,10.5,11.33,4000089.609799
2026-03-26,11.28,11.7701,10.6,10.65,3071582.084623
2026-03-27,10.4,10.4,9.66,9.85,2864193.189868
2026-03-30,9.85,9.9,8.52,8.92,3074215.957284
2026-03-31,9.13,9.8199,9.11,9.81,2043096.091661
2026-04-01,9.92,10.09,9.33,9.41,2218430.675215
2026-04-02,9.03,10.6,9.0,10.57,2539511.613678
2026-04-06,10.64,11.12,10.42,10.45,1660682.95109
2026-04-07,10.27,10.33,9.79,10.04,1938753.53321
2026-04-08,10.89,11.48,10.675,11.32,2691495.6191
2026-04-09,11.3,12.67,11.3,11.89,5115313.567189
2026-04-10,12.45,12.71,11.5,12.59,5104509.271728
2026-04-13,12.36,12.87,11.938,12.59,3121364.647188
2026-04-14,13.26,14.23,12.62,14.12,9589819.427612
2026-04-15,15.0,15.1,13.862,15.0,12688110.604579
2026-04-16,15.695,15.8,14.0,15.57,13464703.119602
2026-04-17,16.2,21.28,15.87,17.42,34659622.688404
2026-04-20,16.9,19.16,15.7,16.0,29797662.842285
2026-04-21,15.68,15.8,14.68,15.01,15184621.245397
2026-04-22,15.07,15.7,14.37,14.85,13848460.382154
2026-04-23,14.62,15.88,13.18,13.96,14816960.180321
2026-04-24,14.01,14.28,13.05,13.27,10195257.235641
2026-04-27,13.05,13.83,12.76,13.3,8279444.739982
2026-04-28,12.78,13.0,12.3,12.62,7646726.092534
2026-04-29,12.41,12.48,11.75,12.06,6384336.156706
2026-04-30,12.005,12.48,11.6101,11.89,7004183.993004
2026-05-01,11.99,12.41,11.3497,12.41,7529350.633214
2026-05-04,12.43,12.83,12.02,12.28,8800365.77896
2026-05-05,12.41,12.59,11.48,12.1,6635824.403398
2026-05-06,12.4,13.74,12.3311,13.55,9500133.389212
2026-05-07,13.25,13.3,12.045,12.11,7090618.075404
2026-05-08,12.26,12.4481,11.57,12.12,5864090.088851
2026-05-11,11.87,13.18,11.6,12.84,7544149.65516
2026-05-12,12.99,13.63,12.49,13.1,10659723.515115
2026-05-13,13.31,13.75,13.015,13.29,9067686.961971
2026-05-14,13.33,14.3282,12.76,13.97,12353332.230182
2026-05-15,12.88,13.16,12.11,12.44,11697379.065253
2026-05-18,12.65,12.753,10.9492,11.37,12068957.6743
2026-05-19,11.07,11.34,10.32,10.63,7308881.727468
2026-05-20,10.65,11.29,10.45,11.18,6638189.405456
2026-05-21,13.5,16.09,13.39,14.7,78638214.874513
2026-05-22,15.9,18.2,15.71,16.35,65623640.945645
