date,open,high,low,close,volume
2026-02-18,26.17,27.37,25.8,26.93,5989011.0
2026-02-19,26.69,27.59,26.67,26.8,6292596.0
2026-02-20,26.26,27.83,26.2,26.79,4250422.0
2026-02-23,26.3,26.3,24.13,24.72,6875519.441085
2026-02-24,24.64,26.54,24.32,26.07,6092406.512194
2026-02-25,26.25,27.645,25.97,27.44,6431681.518347
2026-02-26,27.78,29.125,27.51,28.96,8686605.047089
2026-02-27,27.85,28.97,27.68,28.9,7966357.28595
2026-03-02,28.0,29.38,27.8766,29.11,6751634.750597
2026-03-03,28.41,29.625,27.93,28.94,7308496.168535
2026-03-04,28.85,29.38,28.44,28.69,4456431.072394
2026-03-05,29.05,30.46,28.78,29.58,19648617.295225
2026-03-06,32.19,35.555,31.42,35.36,33401752.667953
2026-03-09,35.2,35.55,33.65,34.16,15507352.754684
2026-03-10,34.11,34.5,32.53,32.9,11300355.959069
2026-03-11,33.39,33.53,31.22,32.08,7814584.183539
2026-03-12,32.27,32.67,31.37,31.86,7896270.25852
2026-03-13,31.9,32.285,31.17,31.72,7980373.292719
2026-03-16,31.85,32.635,31.57,32.57,8494925.562772
2026-03-17,32.61,34.272,32.4001,33.71,7244047.724488
2026-03-18,33.33,34.5,33.0,33.68,5315329.089047
2026-03-19,33.68,34.695,33.595,33.66,6269070.344382
2026-03-20,33.21,34.03,32.48,33.13,8293810.454794
2026-03-23,33.43,33.73,32.45,33.2,5625778.088137
2026-03-24,32.74,32.965,31.36,32.09,5474337.943275
2026-03-25,32.5,33.14,31.3204,31.85,4719047.470276
2026-03-26,31.6,32.99,31.36,31.89,4758406.824383
2026-03-27,31.44,31.44,29.64,29.75,5377399.137689
2026-03-30,29.99,31.35,29.88,30.64,4953815.55786
2026-03-31,31.03,31.93,30.44,31.69,5187985.19852
2026-04-01,32.17,32.29,31.17,31.84,4680231.810858
2026-04-02,31.63,32.745,30.55,32.26,3902193.439398
2026-04-06,32.26,32.51,31.395,31.45,5389090.419205
2026-04-07,31.23,31.54,29.97,30.47,3539275.575932
2026-04-08,32.04,32.49,29.23,29.3,6392840.624302
2026-04-09,28.92,29.08,26.4,26.85,8148274.049375
2026-04-10,26.81,26.9,25.1,25.85,8267674.294849
2026-04-13,26.02,26.735,25.67,26.59,6508265.325313
2026-04-14,27.12,27.42,26.27,26.51,5871691.616203
2026-04-15,27.42,28.87,26.78,28.85,9531469.517103
2026-04-16,29.87,30.27,29.09,29.63,9741308.085974
2026-04-17,30.2,30.8,29.57,30.62,9119718.043946
2026-04-20,30.425,31.235,29.95,30.81,5432912.612151
2026-04-21,30.89,32.59,30.51,31.43,4261353.769774
2026-04-22,31.66,32.41,31.375,32.04,5440280.700823
2026-04-23,30.81,30.81,28.61,29.28,6673746.451694
2026-04-24,29.43,29.96,28.78,29.96,3677340.020001
2026-04-27,29.7,30.595,29.45,29.47,4884440.401529
2026-04-28,29.59,30.4,29.175,29.33,3114279.086062
2026-04-29,29.04,29.425,28.52,29.37,3126020.497798
2026-04-30,29.13,29.13,28.04,28.74,8557546.769259
2026-05-01,29.77,30.87,29.105,30.49,3883047.672409
2026-05-04,30.73,31.61,30.45,30.6,3833008.569924
2026-05-05,30.84,30.94,29.45,30.45,3998348.746879
2026-05-06,30.06,30.5777,28.635,28.92,5357500.140214
2026-05-07,29.65,30.81,29.35,30.11,5532891.952785
2026-05-08,29.53,29.93,28.68,29.74,4048847.271179
2026-05-11,29.28,29.8899,28.57,29.07,4614669.198678
2026-05-12,29.45,29.45,28.09,28.1,5780766.896274
2026-05-13,27.7,27.88,26.78,27.52,4533143.232835
2026-05-14,27.5,28.24,26.92,27.99,4504614.868227
2026-05-15,28.32,30.04,27.57,29.56,5149082.65897
2026-05-18,29.3,30.74,29.11,30.61,5775419.610992
2026-05-19,31.46,32.32,30.47,30.79,7113624.067968
2026-05-20,30.14,30.68,28.8,30.63,5892487.446847
2026-05-21,30.09,30.44,29.481,30.15,3164574.533952
2026-05-22,30.45,31.63,30.45,31.15,3354145.540524
2026-05-26,30.73,31.565,29.93,31.16,3134761.898022
2026-05-27,30.51,31.12,29.25,29.47,5124332.162899
2026-05-28,29.99,32.45,29.7023,31.57,5103559.530749
2026-05-29,32.04,35.195,31.94,34.99,8863288.954649
2026-06-01,36.06,38.77,35.6253,38.55,10327118.132156
2026-06-02,37.04,37.68,36.59,37.36,10725537.037507
2026-06-03,36.85,36.91,35.395,36.34,7978289.15514
2026-06-04,36.905,37.99,35.12,35.21,11124066.69558
2026-06-05,36.63,38.24,34.615,34.8,17547466.949625
2026-06-08,34.92,35.5,33.464,34.06,8360806.884604
2026-06-09,33.95,35.37,32.625,33.62,6736730.165235
2026-06-10,32.74,34.37,32.35,32.64,5977918.259875
2026-06-11,31.8,32.81,31.31,32.26,7384690.585746
