date,open,high,low,close,volume
2026-02-06,39.955,44.2199,36.52,41.83,75224194.0
2026-02-09,40.835,47.19,40.58,46.15,48851029.0
2026-02-10,45.33,47.16,42.91,42.93,35751777.0
2026-02-11,43.78,43.9,40.0863,42.67,37394852.0
2026-02-12,42.52,42.83,39.51,40.03,30323033.0
2026-02-13,40.85,43.47,39.52,42.22,31579644.0
2026-02-17,41.0,42.23,39.7,40.97,23513851.0
2026-02-18,40.855,43.73,40.4,42.08,28281671.0
2026-02-19,41.0,43.61,40.12,43.29,26594259.0
2026-02-20,42.76,44.32,39.5299,39.98,41943998.0
2026-02-23,39.19,42.5599,38.94,42.36,30811442.244242
2026-02-24,41.57,45.68,40.83,45.45,37593194.054874
2026-02-25,46.62,47.25,43.63,44.03,32306311.990635
2026-02-26,43.95,45.23,42.62,44.24,26661456.006672
2026-02-27,42.505,43.0852,39.54,40.95,52659329.657775
2026-03-02,39.07,42.24,38.829,41.39,27535218.10503
2026-03-03,39.79,40.4,37.55,38.85,31251334.189863
2026-03-04,40.555,44.195,40.52,43.84,39073922.049794
2026-03-05,41.19,41.88,38.76,40.125,45269290.076308
2026-03-06,38.91,39.8701,36.67,36.7,34750189.568908
2026-03-09,36.46,39.17,35.63,38.84,31856478.039178
2026-03-10,39.04,40.36,37.89,38.12,28138182.488733
2026-03-11,39.25,42.61,39.05,41.98,39131186.476037
2026-03-12,40.76,41.74,39.27,41.37,29491864.781653
2026-03-13,42.625,44.15,41.0,41.58,34432232.641204
2026-03-16,44.03,45.35,43.37,44.94,40308371.99629
2026-03-17,43.8,44.29,42.5713,42.96,27945777.299511
2026-03-18,42.7,42.895,41.59,42.21,23967299.616779
2026-03-19,40.96,41.95,39.83,41.66,23952686.073536
2026-03-20,41.66,42.57,38.935,41.29,34840874.063524
2026-03-23,41.4,44.75,41.215,42.16,40609231.30404
2026-03-24,41.88,42.639,40.22,41.12,29775791.563089
2026-03-25,42.39,43.18,40.645,41.43,29776684.739012
2026-03-26,40.675,40.7,37.25,37.45,36651279.353579
2026-03-27,36.995,37.44,34.56,35.09,28954876.977242
2026-03-30,35.89,35.9,30.76,31.62,41738953.220767
2026-03-31,32.97,34.29,31.65,34.28,32709526.340679
2026-04-01,35.07,35.37,33.61,34.09,27730935.684174
2026-04-02,32.35,35.03,31.35,34.77,30118142.683094
2026-04-06,34.72,35.67,34.39,35.13,21654594.502559
2026-04-07,34.48,35.77,33.19,35.74,23915544.301221
2026-04-08,38.7,38.9,35.87,36.83,35485743.482358
2026-04-09,36.43,38.1,35.25,37.06,27723428.892889
2026-04-10,37.72,40.74,37.7,39.32,35297462.670346
2026-04-13,38.46,43.53,38.31,43.07,39511457.154153
2026-04-14,45.245,47.65,44.5,47.37,46944122.365421
2026-04-15,47.25,48.86,46.22,48.82,32206709.866955
2026-04-16,49.695,49.8,45.07,47.7,36818036.180332
2026-04-17,48.98,49.84,47.1701,48.12,30817727.130511
2026-04-20,48.105,49.99,47.41,48.72,35972987.86623
2026-04-21,48.68,48.733,44.94,45.17,35271305.976492
2026-04-22,46.8,48.83,46.745,48.39,33306624.359878
2026-04-23,48.35,53.3698,47.94,52.02,57871775.304461
2026-04-24,53.24,54.14,50.13,50.64,41941322.092161
2026-04-27,50.22,50.37,47.66,48.36,33168645.59605
2026-04-28,45.87,46.74,43.53,44.44,39925241.902169
2026-04-29,44.69,44.7,42.21,42.86,25357030.620681
2026-04-30,44.04,45.58,42.6,45.51,29279645.747767
2026-05-01,46.17,47.4,45.15,45.66,26149773.009165
2026-05-04,46.24,51.29,46.12,49.48,42428790.675099
2026-05-05,50.02,56.135,49.07,54.74,48226592.369812
2026-05-06,56.245,61.5,56.102,60.98,62384688.773624
2026-05-07,59.395,62.43,55.41,56.85,81891800.869215
2026-05-08,63.845,65.61,57.91,61.2,110542100.088835
2026-05-11,54.97,61.72,52.36,55.15,112561479.590154
2026-05-12,55.4,57.218,53.0,56.56,76104727.390267
2026-05-13,57.44,57.59,53.7,55.17,49514592.702799
2026-05-14,54.465,60.18,54.0,58.4,58403028.050636
2026-05-15,56.74,56.79,52.86,52.94,48691571.383435
2026-05-18,53.085,53.11,48.48,50.46,43039757.360485
2026-05-19,48.62,49.27,46.0,47.74,37577515.910679
2026-05-20,49.12,53.12,48.55,52.71,44421022.730534
2026-05-21,53.99,58.1,53.2,58.06,50294808.735427
2026-05-22,57.935,58.815,55.555,56.83,36358440.60735
2026-05-26,59.68,61.49,58.61,59.78,41948964.294897
2026-05-27,61.83,68.1258,59.83,67.84,85377490.642729
2026-05-28,66.54,66.75,63.55,64.05,46938604.359288
2026-05-29,64.7,64.745,60.73,63.54,50313604.620237
2026-06-01,62.2,66.5,60.26,65.33,56409453.813548
2026-06-02,64.58,69.57,64.26,66.6,51689978.668399
2026-06-03,68.815,70.7066,64.46,65.48,59382877.820382
2026-06-04,62.13,62.91,59.68,61.86,47120814.228315
