date,open,high,low,close,volume
2026-02-02,17.19,17.7534,16.805,17.1,163911.0
2026-02-03,17.11,17.52,16.3279,16.75,241470.0
2026-02-04,16.9,16.91,15.76,16.38,210037.0
2026-02-05,15.96,16.2986,15.68,15.85,199886.0
2026-02-06,16.09,16.36,15.785,16.14,179771.0
2026-02-09,16.0,16.4705,15.7019,15.9,261969.0
2026-02-10,15.98,16.195,15.52,15.94,266690.0
2026-02-11,16.01,16.2498,15.67,15.72,108131.0
2026-02-12,15.7,16.2857,14.95,15.05,194563.0
2026-02-13,15.13,15.395,14.93,15.21,144906.0
2026-02-17,15.26,15.4,14.62,14.86,170916.0
2026-02-18,14.94,15.18,14.69,14.8,123691.0
2026-02-19,14.78,15.4499,14.646,15.44,146042.0
2026-02-20,15.44,16.33,15.4,16.14,172309.0
2026-02-23,16.26,16.26,15.5,15.66,233191.375727
2026-02-24,15.62,16.24,15.5,16.06,160804.646101
2026-02-25,16.07,16.24,15.6101,16.1,121987.876966
2026-02-26,16.01,16.33,15.61,16.03,156019.359118
2026-02-27,15.88,16.24,15.341,15.94,218947.981269
2026-03-02,15.67,16.0749,15.4037,15.88,145505.703988
2026-03-03,15.05,15.38,14.38,14.86,256796.40137
2026-03-04,14.99,15.315,14.695,15.1,191320.824307
2026-03-05,15.06,15.15,14.34,14.61,151317.701523
2026-03-06,14.26,14.844,14.12,14.4,123443.735501
2026-03-09,14.1,14.9399,14.1,14.89,234336.204733
2026-03-10,14.94,15.91,14.825,15.18,219216.671387
2026-03-11,15.23,15.6979,15.0,15.29,237291.082967
2026-03-12,15.01,15.27,14.85,14.9,126461.832203
2026-03-13,15.0,15.27,14.405,14.52,100482.574267
2026-03-16,14.71,14.8875,14.2521,14.7,239594.712222
2026-03-17,14.97,15.18,14.49,14.59,302839.119267
2026-03-18,14.56,14.8,14.23,14.32,121944.133487
2026-03-19,14.12,14.613,13.87,14.43,270978.412122
2026-03-20,14.35,14.43,13.51,13.62,161223.900833
2026-03-23,13.71,14.8,13.51,14.55,420526.057312
2026-03-24,14.39,15.2999,14.06,15.02,286369.390645
2026-03-25,15.46,15.69,15.11,15.58,271730.767516
2026-03-26,15.27,15.795,15.2,15.35,262931.562505
2026-03-27,15.21,15.31,14.7,15.14,261412.149075
2026-03-30,15.24,15.61,14.65,15.5,184074.875327
2026-03-31,15.68,16.26,15.55,16.21,262424.908584
2026-04-01,16.28,16.65,15.99,16.54,207244.875824
2026-04-02,16.39,16.7799,15.81,16.65,150195.02699
2026-04-06,16.65,16.8238,16.425,16.76,118649.374239
2026-04-07,16.81,17.25,16.12,16.36,203490.523137
2026-04-08,17.1,17.3,16.46,16.9,176647.102824
2026-04-09,16.77,16.925,16.2921,16.65,123411.641862
2026-04-10,16.67,16.8599,15.98,15.99,94857.574613
2026-04-13,15.94,16.28,15.62,15.99,156519.878243
2026-04-14,16.08,16.3999,15.71,16.22,167878.731516
2026-04-15,16.2,16.355,15.9,16.02,204627.612261
2026-04-16,16.15,16.3441,16.0166,16.15,99030.834793
2026-04-17,16.14,16.5,15.93,15.98,119372.386054
2026-04-20,15.9,16.1916,15.61,15.7,169037.296019
2026-04-21,15.67,15.86,15.335,15.37,129790.204278
2026-04-22,15.47,15.59,15.09,15.14,151760.603546
2026-04-23,15.11,15.28,14.57,14.67,151217.459856
2026-04-24,14.71,15.065,14.39,14.5,136785.863932
2026-04-27,14.55,14.9699,14.5,14.55,97989.610069
2026-04-28,14.51,14.71,14.17,14.52,312852.764843
2026-04-29,14.45,14.605,14.155,14.17,95753.82337
2026-04-30,14.23,14.43,13.82,13.97,267040.622282
2026-05-01,13.99,14.05,13.46,13.59,246599.405768
2026-05-04,13.58,14.13,13.55,14.06,263757.598032
2026-05-05,14.14,14.6299,14.06,14.5,199826.473131
2026-05-06,14.72,15.24,14.5,15.03,168668.942297
2026-05-07,14.9,15.08,14.65,14.7,104658.409831
2026-05-08,14.8,14.89,13.82,13.94,539943.49629
2026-05-11,13.82,14.2094,13.645,13.98,192657.912262
2026-05-12,13.81,14.02,13.62,13.74,182211.481423
2026-05-13,13.81,13.935,13.32,13.49,165123.508116
2026-05-14,13.49,13.79,13.4101,13.69,89941.029994
2026-05-15,13.38,13.65,13.265,13.37,137992.01195
2026-05-18,13.35,14.05,13.2726,13.95,99178.169049
2026-05-19,13.76,13.9,13.33,13.41,77542.254903
2026-05-20,13.44,13.74,13.4,13.74,122269.154453
2026-05-21,13.7,14.38,13.66,14.14,184153.258232
2026-05-22,14.13,14.435,13.93,14.02,95748.491874
2026-05-26,14.21,14.75,14.11,14.62,141331.8139
2026-05-27,14.385,15.165,14.385,15.03,108821.237236
2026-05-28,15.0,15.15,14.7905,14.81,122764.97741
2026-05-29,14.85,15.74,14.509,15.44,560431.004691
2026-06-01,15.38,16.25,15.13,15.61,198521.325189
2026-06-02,15.56,15.72,15.0131,15.14,87128.161517
2026-06-03,15.05,15.19,14.56,14.84,166261.692413
2026-06-04,14.83,15.55,14.83,15.3,278916.028559
2026-06-05,15.23,15.47,15.05,15.14,220311.539819
2026-06-08,15.21,15.67,14.94,15.41,360292.422694
2026-06-09,15.5,15.8,14.9201,15.58,178670.668126
2026-06-10,15.48,15.61,15.0,15.13,134937.424501
2026-06-11,15.34,17.0,15.34,16.9,382453.886024
2026-06-12,16.99,17.0,16.2916,16.69,97901.748703
