date,open,high,low,close,volume
2026-02-02,8.69,8.91,8.57,8.89,3290806.0
2026-02-03,8.88,9.01,8.69,8.88,2980623.0
2026-02-04,8.9,8.9,8.74,8.89,2214804.0
2026-02-05,8.9,8.93,8.74,8.78,2446635.0
2026-02-06,8.69,8.82,8.69,8.82,3080506.0
2026-02-09,8.75,8.83,8.57,8.82,2266901.0
2026-02-10,8.82,8.855,8.735,8.81,1675271.0
2026-02-11,8.85,9.005,8.85,8.92,2593280.0
2026-02-12,8.99,9.17,8.965,8.99,2719533.0
2026-02-13,8.91,8.955,8.71,8.71,3251077.0
2026-02-17,8.72,8.75,8.58,8.69,2053547.0
2026-02-18,8.7,8.785,8.67,8.75,1736598.0
2026-02-19,8.75,8.75,8.58,8.61,3743049.0
2026-02-20,8.61,8.69,8.54,8.66,2345541.0
2026-02-23,8.68,8.78,8.46,8.52,3650610.753582
2026-02-24,8.34,8.43,8.275,8.38,3088867.955147
2026-02-25,8.4,8.42,8.2,8.39,2477137.155771
2026-02-26,8.39,8.5499,8.31,8.49,2686882.241731
2026-02-27,8.43,8.515,8.3614,8.43,2182985.870428
2026-03-02,8.29,8.475,8.17,8.36,2693818.036584
2026-03-03,8.2,8.485,8.185,8.36,2917986.965026
2026-03-04,8.43,8.48,8.285,8.34,3394482.484207
2026-03-05,8.29,8.41,8.25,8.3,2003999.643129
2026-03-06,8.22,8.25,8.11,8.16,2217745.979704
2026-03-09,8.05,8.2,7.825,8.18,3174715.595536
2026-03-10,8.18,8.46,8.18,8.38,2189393.611981
2026-03-11,8.36,8.41,8.27,8.31,1213941.790241
2026-03-12,8.25,8.33,8.18,8.19,1420845.387041
2026-03-13,8.23,8.32,8.045,8.08,1563107.802927
2026-03-16,8.27,8.35,8.125,8.15,1322745.598582
2026-03-17,8.22,8.3,8.1713,8.26,1943513.417089
2026-03-18,8.22,8.23,8.07,8.1,2130961.694031
2026-03-19,8.09,8.1858,8.05,8.08,2157222.454469
2026-03-20,8.05,8.1,7.6016,7.64,4877239.990769
2026-03-23,7.79,7.945,7.72,7.83,3351400.473838
2026-03-24,7.65,7.855,7.56,7.79,1687457.858998
2026-03-25,7.9,8.08,7.87,8.05,1748778.608642
2026-03-26,7.88,7.98,7.801,7.81,1890750.634919
2026-03-27,7.74,7.78,7.64,7.71,1435948.101822
2026-03-30,7.68,7.905,7.63,7.82,1436937.335788
2026-03-31,7.89,8.095,7.85,8.08,1821623.135291
2026-04-01,8.1,8.14,7.97,7.99,1728648.578439
2026-04-02,7.87,8.125,7.84,8.1,1428996.038143
2026-04-06,8.09,8.24,8.07,8.15,1736986.190397
2026-04-07,8.13,8.16,8.0,8.03,1823930.719039
2026-04-08,8.24,8.255,8.07,8.13,1897441.795965
2026-04-09,8.1,8.41,8.1,8.37,1543510.850022
2026-04-10,8.4,8.42,8.315,8.42,1420030.481254
2026-04-13,8.35,8.39,8.25,8.39,1175037.969845
2026-04-14,8.41,8.48,8.29,8.38,1752894.854887
2026-04-15,8.3,8.415,8.19,8.4,1834329.384323
2026-04-16,8.35,8.39,8.205,8.25,2202842.093856
2026-04-17,8.33,8.405,8.32,8.36,1954493.965076
2026-04-20,8.3,8.34,8.19,8.31,2330476.493418
2026-04-21,8.32,8.445,8.255,8.27,2457208.840177
2026-04-22,8.35,8.39,8.27,8.35,2322971.011413
2026-04-23,8.35,8.36,8.23,8.24,2462462.391163
2026-04-24,8.25,8.4,8.21,8.36,4155344.373937
2026-04-27,8.23,8.315,8.23,8.29,2254377.289397
2026-04-28,8.3,8.3,8.235,8.28,2054989.150349
2026-04-29,8.25,8.2568,8.055,8.09,1695488.201816
2026-04-30,8.08,8.195,8.03,8.13,2742119.876399
2026-05-01,8.13,8.375,8.105,8.33,3298257.331042
2026-05-04,8.26,8.26,8.03,8.06,2850943.680485
2026-05-05,8.05,8.11,7.95,8.03,3468238.531052
2026-05-06,8.09,8.1,7.96,8.02,2554324.392514
2026-05-07,8.02,8.08,7.98,8.03,2808705.972935
2026-05-08,8.06,8.25,8.04,8.23,2103189.900906
2026-05-11,8.24,8.27,8.13,8.19,1984474.709376
2026-05-12,8.18,8.23,8.13,8.17,1441979.597859
2026-05-13,8.15,8.21,8.1,8.18,1583392.422087
2026-05-14,8.24,8.25,8.08,8.08,1633215.338061
2026-05-15,8.05,8.09,7.965,7.98,2716904.194676
2026-05-18,8.04,8.125,7.98,8.04,2015639.079809
2026-05-19,8.0,8.0,7.865,7.91,2657727.142843
2026-05-20,7.97,7.988,7.824,7.9,3264408.309574
2026-05-21,7.89,7.9699,7.775,7.91,2931027.251441
2026-05-22,7.94,7.99,7.85,7.87,3389769.049236
2026-05-26,7.77,7.92,7.7124,7.92,2676894.693664
2026-05-27,7.9,8.0,7.88,7.89,3539806.830153
2026-05-28,7.88,7.91,7.83,7.87,2209117.763122
2026-05-29,7.85,7.91,7.83,7.87,1628820.272939
2026-06-01,7.8,7.925,7.77,7.87,2716938.668836
2026-06-02,7.85,7.92,7.82,7.83,2148816.402392
2026-06-03,7.8,7.86,7.76,7.8,2207379.412756
2026-06-04,7.83,7.93,7.83,7.87,1338366.336837
2026-06-05,7.83,7.86,7.785,7.81,2081838.819327
2026-06-08,7.86,7.91,7.764,7.79,1381650.101738
2026-06-09,7.84,7.97,7.84,7.96,1848603.377819
2026-06-10,7.98,7.99,7.89,7.9,1463541.011946
2026-06-11,7.99,8.03,7.92,8.0,1626775.763643
