date,open,high,low,close,volume
2026-02-02,692.65,700.06,692.53,698.54,8246408.0
2026-02-03,699.3,700.08,687.1,692.57,7309617.0
2026-02-04,693.47,694.52,684.79,689.29,15289234.0
2026-02-05,683.93,686.71,678.81,680.52,8108870.0
2026-02-06,684.49,695.4,683.91,693.78,7928129.0
2026-02-09,692.49,698.98,691.4,697.09,5078591.0
2026-02-10,698.05,699.66,694.76,695.15,5057135.0
2026-02-11,699.51,700.27,692.28,695.05,7277884.0
2026-02-12,697.36,698.46,683.44,684.33,7399980.0
2026-02-13,684.73,689.35,680.54,684.76,5509512.0
2026-02-17,683.17,688.0,678.8,685.84,7334689.0
2026-02-18,687.09,692.22,685.91,689.35,7366827.0
2026-02-19,686.93,689.26,684.62,687.68,4774321.0
2026-02-20,685.32,693.08,684.9,692.5,6459154.0
2026-02-23,690.94,693.1,683.43,685.49,5701882.985402
2026-02-24,684.96,691.4382,683.05,690.51,4646209.289028
2026-02-25,693.26,696.83,693.24,696.25,7411771.607518
2026-02-26,696.43,696.43,687.46,692.41,6298727.840003
2026-02-27,686.13,689.93,684.72,689.38,7614234.83821
2026-03-02,681.76,691.74,681.06,689.45,6344465.732285
2026-03-03,678.08,685.67,672.65,683.37,8231250.687226
2026-03-04,684.71,690.19,682.67,688.28,7473578.348492
2026-03-05,685.1,688.62,678.64,684.46,7006450.541502
2026-03-06,676.43,679.14,672.75,675.4,5369122.658334
2026-03-09,669.36,682.99,665.35,681.35,8305544.271022
2026-03-10,680.85,686.44,677.825,680.12,13577202.904932
2026-03-11,680.62,683.14,676.38,679.39,8208080.134817
2026-03-12,674.16,674.64,668.84,668.95,28564598.916645
2026-03-13,672.24,675.2477,664.31,665.2,24744011.248216
2026-03-16,671.34,675.05,670.14,671.91,8237267.434972
2026-03-17,673.61,675.67,671.33,671.99,23215606.411454
2026-03-18,669.58,670.9,662.45,662.85,17019863.446739
2026-03-19,658.07,664.1,656.37,660.93,10220636.226006
2026-03-20,659.49,659.65,647.7,651.3,12760165.922511
2026-03-23,660.97,665.605,656.94,658.34,18623438.064924
2026-03-24,654.25,660.0,652.84,656.23,14784044.610527
2026-03-25,661.63,663.87,657.2,659.74,19644567.016878
2026-03-26,654.98,657.8,647.69,648.01,5846553.752342
2026-03-27,645.47,645.57,636.0,636.99,7237050.135703
2026-03-30,642.98,643.28,632.14,634.93,11817859.089667
2026-03-31,641.855,654.5,640.89,653.21,10621737.645369
2026-04-01,656.83,661.52,655.985,658.06,13123027.992807
2026-04-02,649.35,660.95,648.08,658.96,10369342.968936
2026-04-06,658.85,662.675,658.57,661.86,3242011.139766
2026-04-07,659.61,662.55,654.06,662.38,4140427.934349
2026-04-08,679.47,680.19,674.55,678.99,7110333.018724
2026-04-09,677.93,684.26,676.9,683.01,4793752.083357
2026-04-10,684.42,685.17,681.56,682.62,3043834.596172
2026-04-13,680.52,689.83,679.73,689.54,10447608.437907
2026-04-14,690.86,697.77,690.85,697.69,3816927.979634
2026-04-15,698.47,703.61,697.49,703.19,4336982.717868
2026-04-16,704.32,706.0,701.77,704.74,4760096.083396
2026-04-17,709.39,715.6599,709.0401,713.36,4914737.868778
2026-04-20,712.06,713.17,709.39,712.09,5023117.24712
2026-04-21,713.52,714.545,705.9,707.23,4309246.588158
2026-04-22,712.37,714.89,711.5,714.56,4128396.559524
2026-04-23,712.74,715.64,705.5701,711.74,5708131.102865
2026-04-24,714.06,717.77,712.3204,717.28,4460457.122711
2026-04-27,716.5,718.95,715.6107,718.5,2977352.668375
2026-04-28,715.08,716.17,712.5575,714.96,3505707.296931
2026-04-29,714.25,715.48,711.66,714.89,4270231.565464
2026-04-30,717.95,723.15,713.76,722.07,7612595.769498
2026-05-01,724.55,728.25,723.8,724.01,4448836.544293
2026-05-04,723.41,725.45,718.34,721.39,3569635.746058
2026-05-05,725.13,728.385,724.87,726.98,8410272.100988
2026-05-06,731.58,738.04,731.19,737.41,11582673.828473
2026-05-07,738.54,739.535,733.15,734.96,4094692.852508
2026-05-08,738.39,741.5,738.02,740.97,3490135.796822
2026-05-11,739.92,744.22,739.91,742.75,5321949.702568
2026-05-12,740.3,742.29,735.22,741.61,4540998.840262
2026-05-13,741.89,747.38,738.925,745.74,4149478.597346
2026-05-14,747.15,753.02,747.07,751.56,5099530.383874
2026-05-15,745.27,746.95,741.4,742.45,4880752.954482
2026-05-18,743.32,744.88,736.8,741.91,4998763.800253
2026-05-19,738.23,741.06,734.97,737.19,4362356.922454
2026-05-20,739.07,745.28,737.32,744.79,3864154.502396
2026-05-21,742.08,748.3,740.62,746.18,5419649.367687
2026-05-22,749.59,752.5,747.9524,749.14,2500075.806367
2026-05-26,753.59,755.68,751.88,754.03,3357782.593381
2026-05-27,754.41,754.88,751.78,754.17,5323844.592575
2026-05-28,753.77,758.72,752.77,758.17,22775803.411586
2026-05-29,759.47,761.65,758.29,760.05,10825396.730521
2026-06-01,758.99,763.93,758.3468,762.02,5879627.230026
2026-06-02,760.59,764.0,760.3601,763.06,3527753.441221
2026-06-03,761.74,762.36,757.13,757.25,10080620.372402
2026-06-04,755.67,761.905,755.0,760.83,4659786.187014
2026-06-05,755.9,756.38,738.98,740.91,9660792.995268
2026-06-08,746.87,748.85,741.69,742.66,7668097.880751
2026-06-09,747.14,750.42,725.95,740.75,19904546.280933
2026-06-10,736.89,741.83,728.74,728.92,20063775.842547
2026-06-11,732.2,743.47,727.81,741.05,25291418.834752
