date,open,high,low,close,volume
2026-02-18,257.08,265.0,255.38,260.54,889437.0
2026-02-19,259.16,263.555,256.79,262.44,1457126.0
2026-02-20,260.43,277.87,260.43,271.09,1663883.0
2026-02-23,267.59,270.13,259.82,261.28,1218999.502045
2026-02-24,264.37,272.785,262.97,266.26,690142.793671
2026-02-25,268.25,281.22,267.5,277.57,1367975.286784
2026-02-26,279.17,281.37,266.08,271.91,909739.822756
2026-02-27,269.13,269.45,261.66,264.99,1834343.238363
2026-03-02,257.9,263.37,255.0,261.18,1338483.967195
2026-03-03,251.11,256.08,243.49,254.24,1055108.531833
2026-03-04,257.52,258.0,252.86,255.18,725758.312523
2026-03-05,252.32,257.47,245.75,252.21,1450724.328223
2026-03-06,245.0,250.22,240.33,241.09,1123813.717218
2026-03-09,234.96,248.02,234.96,247.46,1429560.925283
2026-03-10,249.13,255.35,247.4,251.15,1131113.999988
2026-03-11,249.69,255.62,248.91,255.46,1052497.925705
2026-03-12,249.43,255.25,248.7601,252.14,1313183.683372
2026-03-13,254.63,254.64,248.55,250.65,951046.329489
2026-03-16,254.88,260.355,253.14,258.0,1438773.182204
2026-03-17,258.14,262.95,254.17,262.35,1933701.969523
2026-03-18,247.7,262.25,239.19,258.67,2967417.031528
2026-03-19,253.21,267.633,253.02,265.31,1734185.186377
2026-03-20,265.78,269.12,250.02,253.63,2156877.92674
2026-03-23,257.29,268.6893,254.345,266.26,1344449.307139
2026-03-24,264.32,278.505,263.0,277.38,1078106.166266
2026-03-25,279.38,283.76,274.9401,283.24,1101043.991363
2026-03-26,277.07,278.35,263.59,264.15,1037700.675674
2026-03-27,260.0,267.77,258.81,261.1,891767.95691
2026-03-30,266.56,268.7264,245.195,247.48,1051604.519725
2026-03-31,253.29,265.66,252.01,265.63,1137727.389491
2026-04-01,270.0,275.58,269.635,271.96,738380.853534
2026-04-02,266.41,275.56,261.15,268.55,795213.6662
2026-04-06,270.76,273.0,265.001,267.47,729056.778125
2026-04-07,266.05,274.0,265.95,272.85,812205.229522
2026-04-08,282.0,291.435,281.705,287.14,1210310.86129
2026-04-09,287.14,295.22,286.8845,293.02,1017593.80548
2026-04-10,296.9,303.74,294.61,299.5,1155863.259828
2026-04-13,297.74,305.945,297.74,305.37,1011137.306709
2026-04-14,307.87,310.7,303.05,305.97,958786.593666
2026-04-15,304.12,306.43,298.64,304.95,1047659.397377
2026-04-16,298.9,310.76,296.0,310.1,780158.802412
2026-04-17,313.68,323.55,312.845,321.69,1318045.94319
2026-04-20,322.61,331.82,321.34,330.28,861308.730551
2026-04-21,333.45,338.48,330.81,333.68,1028420.643416
2026-04-22,334.95,336.81,328.95,336.4,945886.266358
2026-04-23,337.08,344.5,332.5,338.53,1186324.197775
2026-04-24,342.52,346.22,340.01,341.65,1224718.377036
2026-04-27,343.45,343.45,330.25,340.8,740518.564247
2026-04-28,330.0,339.345,325.4125,330.83,1323497.327695
2026-04-29,334.09,335.0,327.4,333.86,701796.286516
2026-04-30,338.49,341.05,332.27,337.49,1836688.306618
2026-05-01,337.0,349.62,336.98,342.47,1258054.562572
2026-05-04,345.0,347.83,337.01,340.8,770169.235766
2026-05-05,341.77,352.6732,335.15,337.26,1849128.386226
2026-05-06,354.885,372.37,351.48,372.34,2582825.150393
2026-05-07,367.7315,367.7315,344.37,349.6,1753465.761062
2026-05-08,355.83,362.31,353.325,355.15,1300720.093554
2026-05-11,355.2,368.63,355.15,365.24,949254.139334
2026-05-12,359.99,359.99,343.9941,350.8,1435869.990732
2026-05-13,358.6,360.73,352.14,355.43,990456.050527
2026-05-14,356.64,361.3,346.89,354.34,986096.501969
2026-05-15,343.32,346.22,339.0,339.82,1226091.721217
2026-05-18,340.29,342.86,332.5209,338.73,1445523.688051
2026-05-19,334.115,336.82,321.92,332.88,1357596.953238
2026-05-20,337.45,349.52,334.94,345.15,1106569.768955
2026-05-21,348.0,356.59,341.47,356.41,1023991.231462
2026-05-22,360.45,365.09,354.0,364.35,800227.791088
2026-05-26,372.71,381.38,370.97,380.25,1240424.755812
2026-05-27,381.09,381.94,363.29,371.38,754489.123918
2026-05-28,370.9,371.0,359.13,363.65,626199.676126
2026-05-29,368.31,369.99,359.4,364.56,1968138.576437
2026-06-01,355.0,364.63,353.7479,359.97,1454308.440464
2026-06-02,368.21,374.17,366.43,373.16,1647609.565891
2026-06-03,375.75,384.7,374.0,379.04,1293384.54616
2026-06-04,368.58,378.74,359.54,373.82,1035160.642543
2026-06-05,369.32,369.32,350.205,353.24,1011448.785405
2026-06-08,362.035,366.34,353.49,363.95,895237.165651
2026-06-09,374.64,376.58,341.47,362.38,1194407.92506
2026-06-10,364.87,372.79,351.1525,352.36,988979.163295
2026-06-11,360.0,377.57,359.28,376.89,998354.620451
