date,open,high,low,close,volume
2026-02-06,11.45,11.9991,11.11,11.91,3292529.0
2026-02-09,11.95,12.37,11.77,12.27,2712696.0
2026-02-10,10.4,10.91,10.06,10.33,9266704.0
2026-02-11,10.35,10.35,9.6,9.79,3984856.0
2026-02-12,9.81,10.04,9.3,9.36,4254963.0
2026-02-13,9.34,9.44,9.1304,9.32,2470757.0
2026-02-17,9.2,9.37,9.01,9.21,1592176.0
2026-02-18,9.23,9.71,9.19,9.42,1710091.0
2026-02-19,9.22,9.4,9.19,9.31,847893.0
2026-02-20,9.17,9.48,9.16,9.26,1161565.0
2026-02-23,9.09,9.125,8.26,8.39,2544119.593449
2026-02-24,8.28,8.52,8.2501,8.45,2045397.986532
2026-02-25,8.6,8.6,8.37,8.39,1232296.666978
2026-02-26,8.42,8.8,8.4,8.62,1245243.432663
2026-02-27,8.32,8.47,8.1087,8.23,1606596.000804
2026-03-02,7.66,7.99,7.65,7.89,2026141.114963
2026-03-03,7.48,7.64,7.16,7.57,2291579.026594
2026-03-04,7.75,8.1956,7.68,7.95,1403324.068647
2026-03-05,7.85,8.23,7.74,7.91,1252495.116946
2026-03-06,7.63,7.78,7.47,7.6,1117089.763389
2026-03-09,7.41,7.69,7.15,7.67,1968806.756958
2026-03-10,7.82,8.1399,7.75,7.93,1752814.640776
2026-03-11,7.9,8.14,7.695,7.82,1686393.410728
2026-03-12,7.71,7.745,7.36,7.39,1029008.05035
2026-03-13,7.5,7.58,7.12,7.22,1324220.255637
2026-03-16,7.41,7.4499,7.072,7.14,1505364.481524
2026-03-17,7.2,7.5,7.1702,7.36,1657514.380165
2026-03-18,7.27,7.3174,6.9,6.91,1215908.257509
2026-03-19,6.73,7.1,6.59,7.06,1786766.659364
2026-03-20,7.02,7.04,6.67,6.83,1351969.673985
2026-03-23,7.08,7.2,6.95,7.08,1226986.66073
2026-03-24,6.92,7.03,6.82,6.93,747534.565874
2026-03-25,7.11,7.21,7.02,7.1,863711.676602
2026-03-26,6.91,7.11,6.74,6.79,1050672.637004
2026-03-27,6.7,6.76,6.5302,6.67,1369568.163377
2026-03-30,6.63,6.73,6.29,6.42,1703217.730293
2026-03-31,6.62,6.93,6.55,6.9,1346349.015771
2026-04-01,7.085,7.11,6.82,6.95,1229684.623107
2026-04-02,6.68,6.98,6.6,6.88,927086.058691
2026-04-06,6.88,7.17,6.77,6.84,905077.962419
2026-04-07,6.73,6.76,6.565,6.67,1007575.788142
2026-04-08,7.32,7.4894,6.94,6.96,1899686.466112
2026-04-09,6.9,7.0856,6.86,6.95,732472.114784
2026-04-10,7.04,7.1334,6.865,6.92,1146244.411519
2026-04-13,6.79,7.5,6.68,7.12,4057835.731616
2026-04-14,7.35,7.5,7.22,7.29,1895659.449884
2026-04-15,7.4,7.44,7.12,7.29,2639842.926554
2026-04-16,7.5,8.09,7.43,7.71,3354259.665404
2026-04-17,7.97,8.4299,7.91,8.16,4219564.75493
2026-04-20,8.02,8.3,7.77,8.02,4914473.150149
2026-04-21,8.095,8.14,7.51,7.55,3008528.056203
2026-04-22,7.7,8.12,7.42,7.45,4964319.550708
2026-04-23,7.39,7.42,7.03,7.13,1613215.910454
2026-04-24,7.32,7.32,6.84,7.14,3298034.016135
2026-04-27,7.17,7.2327,6.955,7.03,963191.906574
2026-04-28,6.95,7.0288,6.83,6.84,1744727.09282
2026-04-29,6.8,6.97,6.72,6.89,1128862.421177
2026-04-30,6.93,7.13,6.85,7.09,1095370.763139
2026-05-01,7.03,7.13,6.92,7.03,1453042.089573
2026-05-04,7.03,7.05,6.62,6.71,2149755.569662
2026-05-05,6.77,6.91,6.72,6.72,1909099.368473
2026-05-06,6.85,7.52,6.79,7.46,3382967.305709
2026-05-07,9.1348,9.62,8.53,8.71,11242100.14917
2026-05-08,8.7,8.7682,7.66,7.77,4664645.494086
2026-05-11,7.55,7.741,7.245,7.51,3269303.094801
2026-05-12,7.37,8.05,7.29,7.98,4993055.234857
2026-05-13,7.9,8.36,7.67,7.69,3546764.974215
2026-05-14,7.59,7.67,7.31,7.33,1939868.934992
2026-05-15,7.15,7.295,7.0,7.0,1759145.212892
2026-05-18,6.99,7.11,6.68,6.92,2584057.338545
2026-05-19,6.94,7.06,6.73,6.89,1698302.642167
2026-05-20,6.92,7.06,6.7055,6.91,2531598.927628
2026-05-21,6.81,7.1,6.55,7.1,2457681.512611
2026-05-22,7.0,7.21,6.922,6.97,1881108.631803
