date,open,high,low,close,volume
2026-02-06,42.77,43.74,42.69,43.09,312754.0
2026-02-09,43.15,44.43,42.0,44.35,403782.0
2026-02-10,44.22,45.01,43.945,44.71,386653.0
2026-02-11,44.44,44.98,43.11,44.98,350532.0
2026-02-12,45.0,45.5,43.5,44.71,312323.0
2026-02-13,44.74,46.65,44.3,45.37,510532.0
2026-02-17,44.97,45.58,43.55,45.38,552464.0
2026-02-18,45.36,45.812,44.89,45.39,255782.0
2026-02-19,46.25,47.51,45.495,47.17,631937.0
2026-02-20,47.46,47.855,46.75,47.77,468598.0
2026-02-23,47.78,49.12,47.275,47.39,846655.890063
2026-02-24,42.75,46.33,41.12,43.5,1215987.006776
2026-02-25,43.5,43.5,41.695,42.76,1108327.183768
2026-02-26,42.73,44.3,42.425,43.49,814342.512797
2026-02-27,43.86,44.56,43.03,44.49,569056.289286
2026-03-02,44.13,46.17,43.51,46.0,803283.69053
2026-03-03,45.83,46.25,44.94,45.37,842969.560665
2026-03-04,44.67,47.46,43.3337,47.27,836292.466216
2026-03-05,46.68,46.72,44.83,46.02,729627.392471
2026-03-06,46.02,47.41,44.9411,46.16,1257718.305373
2026-03-09,45.87,46.86,44.45,46.74,484406.809365
2026-03-10,47.2,47.41,45.66,47.02,441194.833489
2026-03-11,46.92,47.0,45.66,46.31,257679.225911
2026-03-12,46.2,46.6615,44.87,46.07,976011.562994
2026-03-13,46.49,46.54,45.295,45.78,852872.434778
2026-03-16,45.75,47.83,45.75,46.5,770652.882088
2026-03-17,46.73,47.1,46.41,47.02,518203.126106
2026-03-18,47.02,47.02,45.04,45.15,630141.852516
2026-03-19,45.21,45.93,44.36,45.63,789008.226952
2026-03-20,45.64,46.34,44.6201,46.08,852482.03781
2026-03-23,46.36,47.165,45.71,46.04,679443.989889
2026-03-24,45.75,45.75,44.43,44.94,439332.096581
2026-03-25,45.0,46.7,45.0,45.84,381033.3027
2026-03-26,45.75,47.13,45.24,46.78,405483.828045
2026-03-27,46.6,46.9084,45.44,45.75,974269.465479
2026-03-30,45.59,45.95,44.76,45.7,325149.242573
2026-03-31,46.66,48.56,45.9902,48.15,604129.58226
2026-04-01,48.87,49.3294,47.71,48.13,494017.873717
2026-04-02,47.75,48.85,46.82,48.82,436345.458278
2026-04-06,48.58,50.03,48.58,49.55,791726.612012
2026-04-07,49.6,50.01,48.67,48.94,414236.780471
2026-04-08,49.23,49.87,46.46,47.03,651112.122078
2026-04-09,46.69,47.55,44.4,47.33,666516.967725
2026-04-10,47.21,47.74,46.78,47.08,481154.225709
2026-04-13,47.35,48.455,46.604,47.3,350988.379689
2026-04-14,47.13,47.78,45.6027,46.92,727254.885315
2026-04-15,47.0,47.555,45.21,45.89,718289.99428
2026-04-16,46.44,46.62,44.9,45.32,623199.742834
2026-04-17,45.4,45.91,44.74,44.9,1013427.009609
2026-04-20,44.77,44.86,42.46,42.46,1209422.714557
2026-04-21,42.46,43.46,41.49,42.45,1081566.910533
2026-04-22,42.84,43.69,42.67,43.04,703453.234952
2026-04-23,43.3,43.84,42.51,43.05,567623.303461
2026-04-24,43.0,43.0,41.945,42.79,645696.699621
2026-04-27,42.67,44.23,42.61,43.61,1294317.245057
2026-04-28,47.2,54.23,45.01,53.85,3030904.688148
2026-04-29,53.91,54.305,52.29,52.99,1276092.665288
2026-04-30,53.57,54.07,52.55,53.78,861411.875791
2026-05-01,53.78,55.28,52.765,55.27,1021781.769775
2026-05-04,54.97,57.72,54.45,57.62,763788.053297
2026-05-05,57.415,58.2,56.09,56.74,624939.416897
2026-05-06,56.52,58.26,55.82,58.23,856940.920668
2026-05-07,57.62,57.62,55.76,56.93,545395.736671
2026-05-08,57.06,58.85,56.83,58.6,394278.826433
2026-05-11,58.98,59.745,57.36,58.37,399173.86019
2026-05-12,58.69,59.87,58.14,59.48,511026.767987
2026-05-13,59.39,59.8699,58.52,59.12,379688.467418
2026-05-14,59.38,59.72,57.99,58.54,410052.504022
2026-05-15,58.0,58.56,56.22,56.51,471516.949766
2026-05-18,56.95,57.005,53.31,53.64,559922.702636
2026-05-19,53.5,54.28,52.925,53.34,466109.000399
2026-05-20,53.59,54.51,52.31,54.28,447302.71695
2026-05-21,53.59,55.33,53.16,53.65,767589.248638
2026-05-22,53.48,55.08,53.02,53.24,383825.241341
