date,open,high,low,close,volume
2026-02-02,99.91,101.14,94.7747,96.16,3802922.0
2026-02-03,98.6,103.492,97.15,103.37,3330090.0
2026-02-04,101.46,103.0,86.92,91.33,4629751.0
2026-02-05,88.47,92.6,84.5,85.25,3546043.0
2026-02-06,89.1,94.67,88.0,94.41,4226998.0
2026-02-09,94.6,99.78,93.2,98.81,2970636.0
2026-02-10,98.82,99.5,93.21,93.48,2013013.0
2026-02-11,95.91,96.55,85.02,87.78,2990143.0
2026-02-12,88.4,89.59,85.25,87.05,2276613.0
2026-02-13,87.24,92.2379,87.024,89.06,1769057.0
2026-02-17,88.08,93.35,87.07,91.97,2405798.0
2026-02-18,93.14,100.5,92.95,97.21,3657562.0
2026-02-19,97.705,105.91,96.98,105.67,5176761.0
2026-02-20,105.685,106.67,95.43,96.08,4631636.0
2026-02-23,93.27,95.0799,91.0,94.31,3365139.787605
2026-02-24,88.75,91.74,84.04,90.68,6008704.578606
2026-02-25,92.94,93.28,88.205,88.23,2349894.391314
2026-02-26,87.94,92.44,86.64,92.14,2605035.028215
2026-02-27,85.3,86.4,84.0,86.18,13317895.730168
2026-03-02,92.418,97.1,85.33,90.72,18913819.529654
2026-03-03,89.205,93.22,86.6,88.95,8315547.955209
2026-03-04,88.51,90.1,85.75,89.13,3335641.839054
2026-03-05,88.845,89.49,82.4,85.54,4600923.309435
2026-03-06,83.375,90.88,81.5,87.0,5385585.110713
2026-03-09,87.86,93.67,87.2001,92.47,5255986.012448
2026-03-10,91.44,92.3,88.64,88.96,3299800.670184
2026-03-11,87.03,90.98,86.62,88.92,1952706.105979
2026-03-12,88.94,91.365,85.39,89.46,3941078.614023
2026-03-13,90.0,91.9,87.2,87.53,2754007.156667
2026-03-16,88.84,91.8,86.9,89.53,2424511.61917
2026-03-17,90.86,95.35,90.24,95.31,3273735.721963
2026-03-18,94.41,96.88,92.66,93.04,2846943.746004
2026-03-19,90.51,94.5,87.64,92.78,2404946.066288
2026-03-20,91.45,91.999,83.1002,84.62,6896808.237644
2026-03-23,83.84,86.31,82.07,83.69,3198162.272875
2026-03-24,82.67,83.015,75.52,77.49,4535575.855722
2026-03-25,79.79,80.94,77.3051,79.98,3950009.782788
2026-03-26,78.375,79.53,75.15,75.86,3024066.824667
2026-03-27,74.86,76.38,71.7,71.94,3186026.935613
2026-03-30,71.76,71.9,64.3716,65.28,5501521.833282
2026-03-31,66.9,70.97,65.545,70.51,6105254.34201
2026-04-01,72.64,72.8,67.6,67.7,4421451.000127
2026-04-02,65.28,69.51,63.84,67.31,4392481.613901
2026-04-06,71.13,74.405,70.2,74.09,4140202.263445
2026-04-07,72.245,72.9,69.8,71.96,2886048.90589
2026-04-08,79.38,79.44,72.554,74.46,3692396.345587
2026-04-09,74.2,74.5,68.28,68.33,3788360.517958
2026-04-10,68.02,70.53,67.43,70.34,2887180.025124
2026-04-13,70.1,74.1,69.61,73.55,2564096.793698
2026-04-14,74.66,76.565,72.52,73.66,2586277.995849
2026-04-15,75.69,76.29,73.2501,74.66,3502078.81297
2026-04-16,76.31,77.2211,73.01,74.41,2421105.153158
2026-04-17,75.43,76.89,70.4098,70.99,7158434.744746
2026-04-20,70.04,71.705,68.86,69.83,4158980.614083
2026-04-21,70.26,70.8999,67.82,68.55,4180624.360927
2026-04-22,70.12,70.9799,67.64,68.61,3093411.888547
2026-04-23,68.445,68.74,63.79,65.52,3904587.270341
2026-04-24,65.76,65.76,61.01,61.26,5132887.463863
2026-04-27,61.19,64.429,61.19,63.16,3978498.042278
2026-04-28,61.94,62.7,60.22,61.66,3274697.570712
2026-04-29,61.735,61.76,59.0607,59.56,3073930.34315
2026-04-30,60.29,63.18,59.6373,63.05,3154803.166419
2026-05-01,63.41,63.5,60.9542,62.05,2579808.661991
2026-05-04,62.47,64.13,61.7569,61.93,3116150.752339
2026-05-05,62.685,62.79,58.01,59.31,4267895.64252
2026-05-06,59.08,61.74,58.43,61.52,4402499.206593
2026-05-07,61.54,61.54,56.29,57.0,5909384.76239
2026-05-08,57.08,57.94,55.73,57.89,4323645.20764
2026-05-11,56.865,57.71,55.01,56.99,6062810.251346
2026-05-12,57.34,58.63,55.11,57.33,5095770.938196
2026-05-13,56.41,56.5,51.84,52.49,9471879.709145
2026-05-14,52.76,55.97,52.49,54.85,5498136.025149
2026-05-15,53.49,53.9,51.66,52.09,4048700.551219
2026-05-18,52.26,54.72,52.08,54.22,3734684.737916
2026-05-19,54.24,54.585,52.78,53.465,2749719.557808
2026-05-20,53.95,55.88,52.65,55.82,3929384.800402
2026-05-21,55.0,55.03,53.81,54.67,2814969.145664
2026-05-22,55.29,56.75,54.46,56.18,2949058.196881
2026-05-26,57.655,59.3,55.9,56.8,4815586.359016
2026-05-27,56.98,57.3621,55.0,57.3,3240871.764048
2026-05-28,63.96,66.83,61.0,65.19,11464684.111217
2026-05-29,66.66,66.75,60.08,64.13,10066293.149775
2026-06-01,64.94,66.2,61.1501,63.49,6337691.881702
2026-06-02,63.57,63.6499,61.68,63.27,3585280.457662
2026-06-03,61.62,61.8499,57.9,58.43,5122403.657548
2026-06-04,58.36,63.59,57.94,63.4,4224780.995213
2026-06-05,61.64,62.1,57.5,58.52,3512240.14056
