date,open,high,low,close,volume
2026-02-06,12.8,14.363,12.712,14.195,246700.0
2026-02-09,12.7,16.729,12.7,14.55,539750.0
2026-02-10,14.0,14.5,12.403,12.6,360100.0
2026-02-11,12.7,13.3,12.6,12.96,301630.0
2026-02-12,16.0855,17.0,14.9,15.3,1022330.0
2026-02-13,15.98,15.98,14.8999,15.39,384278.0
2026-02-17,14.9,14.92,14.34,14.7,420300.0
2026-02-18,14.0,14.95,13.85,14.35,596102.0
2026-02-19,13.9599,13.96,13.45,13.58,226533.0
2026-02-20,13.225,13.7,13.1,13.69,147253.0
2026-02-23,13.6,14.17,13.55,13.71,187984.0
2026-02-24,14.175,14.7,14.15,14.26,556016.0
2026-02-25,14.2,14.3,13.75,14.2,950744.0
2026-02-26,13.75,14.0,13.07,13.332,427174.0
2026-02-27,13.3,13.63,13.3,13.56,224106.0
2026-03-02,13.5,14.1,13.5,13.92,289074.0
2026-03-03,12.73,12.8,12.1,12.592,647980.0
2026-03-04,12.58,13.04,12.55,12.99,169161.0
2026-03-05,13.3,13.37,12.73,12.91,330656.0
2026-03-06,12.8,12.8,11.99,12.14,390220.0
2026-03-09,11.5,12.6,10.881,12.56,1116313.0
2026-03-10,12.2,13.0,12.2,12.64,717693.0
2026-03-11,13.55,13.83,12.91,13.65,152191.0
2026-03-12,13.65,13.65,12.74,12.96,292304.0
2026-03-13,13.46,13.57,12.94,13.36,291861.0
2026-03-16,14.36,14.97,14.19,14.83,224512.0
2026-03-17,14.3999,14.4,13.76,14.01,438322.0
2026-03-18,14.5599,14.59,14.1,14.39,164322.0
2026-03-19,13.975,14.35,13.5,14.32,202234.0
2026-03-20,14.07,14.08,13.12,13.36,183909.0
2026-03-23,14.2,14.6,13.58,14.4,747363.0
2026-03-24,13.29,13.6,13.05,13.37,867843.0
2026-03-25,14.26,14.26,13.55,13.605,471455.0
2026-03-26,13.5,13.5,12.43,12.58,555582.0
2026-03-27,12.02,12.54,12.0,12.44,388674.0
2026-03-30,12.41,12.89,12.0,12.12,481004.0
2026-03-31,11.9501,12.93,11.9501,12.93,544883.0
2026-04-01,13.4,14.32,13.4,14.05,349261.0
2026-04-02,13.1825,13.71,13.0,13.61,637975.0
2026-04-06,14.05,14.6,14.05,14.55,207991.0
2026-04-07,14.58,14.69,14.1,14.54,343926.0
2026-04-08,15.96,17.95,15.96,17.58,452787.0
2026-04-09,17.6,18.17,17.29,18.1,445298.0
2026-04-10,19.3,19.3,19.03,19.18,307978.0
2026-04-13,19.4,20.66,19.18,20.55,1157927.0
2026-04-14,22.51,22.6,21.35,22.2243,974819.0
2026-04-15,21.0,21.0,20.1,20.38,446296.0
2026-04-16,20.76,21.76,20.76,21.76,582045.0
2026-04-17,20.35,20.5,19.83,20.29,871990.0
2026-04-20,19.59,19.99,19.2,19.38,185245.0
2026-04-21,20.28,20.52,20.1,20.21,483428.0
2026-04-22,21.8,22.74,21.8,22.6,496879.0
2026-04-23,22.59,22.59,21.7,21.9,327179.0
2026-04-24,21.67,22.55,21.5,22.55,440209.0
2026-04-27,22.55,23.49,22.12,23.49,564820.0
2026-04-28,22.0,22.39,21.82,22.18,524916.0
2026-04-29,23.73,23.73,22.6,23.53,530261.0
2026-04-30,25.4,25.47,24.15,24.92,646100.0
2026-05-01,24.0,25.2,23.4242,25.1258,559906.0
2026-05-04,26.76,27.91,25.8,27.63,1235434.0
2026-05-05,27.83,29.9,27.73,29.6,986234.0
2026-05-06,30.74,30.74,29.46,29.95,1897334.0
2026-05-07,28.6,29.15,27.2,27.45,1977884.0
2026-05-08,29.0,31.4,28.77,31.21,666221.0
2026-05-11,30.05,30.94,29.55,30.6,1033731.0
2026-05-12,29.6899,29.69,26.6,28.59,1260931.0
2026-05-13,31.66,32.3,31.15,32.12,927975.0
2026-05-14,30.96,31.08,30.3,30.72,589363.0
2026-05-15,32.5,34.18,32.19,33.49,1214370.0
2026-05-18,36.8,37.345,33.11,33.66,1377884.0
2026-05-19,31.0,33.7,30.5,32.87,1448591.0
2026-05-20,33.01,33.5,32.03,33.34,974679.0
2026-05-21,34.46,37.35,34.235,37.35,636084.0
2026-05-22,36.5,36.94,35.5568,35.95,899966.0
2026-05-26,40.21,42.8,39.81,42.45,1496183.0
2026-05-27,39.96,39.96,37.46,38.7,2432285.0
2026-05-28,38.36,41.155,38.2,40.6,1272502.0
2026-05-29,41.57,42.4,41.13,41.49,2357776.0
2026-06-01,45.86,48.8,45.24,47.85,2202017.0
2026-06-02,48.32,50.8,47.85,50.0,2590096.0
2026-06-03,49.4899,52.55,48.26,51.24,3485686.0
2026-06-04,47.54,50.36,46.57,49.05,2292297.0
