date,open,high,low,close,volume
2026-02-18,4.93,5.01,4.735,4.93,143157.0
2026-02-19,4.91,5.1,4.83,5.06,111482.0
2026-02-20,5.04,5.055,4.8,4.85,106453.0
2026-02-23,4.8,4.81,4.49,4.59,173327.134717
2026-02-24,4.6,4.78,4.45,4.53,102694.496308
2026-02-25,4.57,4.759,4.4,4.67,150292.621153
2026-02-26,4.69,4.835,4.54,4.68,113611.534336
2026-02-27,4.66,4.715,4.55,4.65,117876.441383
2026-03-02,4.52,4.63,4.41,4.52,156362.248732
2026-03-03,4.55,4.88,4.32,4.8,276883.600075
2026-03-04,4.82,5.02,4.77,4.91,161835.250362
2026-03-05,4.91,4.955,4.64,4.7,122047.872064
2026-03-06,4.6,4.94,4.6,4.88,126475.003766
2026-03-09,4.85,5.13,4.71,5.09,88044.660275
2026-03-10,5.08,5.33,5.08,5.2,94472.606406
2026-03-11,5.1,5.4,4.95,5.28,139646.904456
2026-03-12,5.17,5.3197,5.1092,5.15,67642.916049
2026-03-13,5.2,5.42,5.14,5.19,118237.253984
2026-03-16,5.2,5.345,5.07,5.15,79218.886183
2026-03-17,5.17,5.23,4.68,4.77,85578.256106
2026-03-18,4.68,4.7639,4.59,4.65,128503.554724
2026-03-19,4.75,4.8,4.65,4.73,76665.499088
2026-03-20,4.7,4.795,4.6002,4.67,100235.340015
2026-03-23,4.79,4.875,4.07,4.54,164859.567847
2026-03-24,4.54,4.55,4.32,4.33,63075.142827
2026-03-25,4.5,4.5,4.23,4.29,86421.407379
2026-03-26,4.26,4.38,4.26,4.29,45384.151138
2026-03-27,4.3,4.3399,4.2,4.3,58517.252354
2026-03-30,4.28,4.42,4.23,4.4,49540.918482
2026-03-31,4.45,4.45,4.29,4.32,59361.265742
2026-04-01,4.34,4.36,4.2,4.2,80426.719342
2026-04-02,4.2,4.27,4.125,4.25,59589.218814
2026-04-06,4.25,4.3444,4.17,4.18,72319.308067
2026-04-07,4.2,4.2,4.03,4.04,76246.569956
2026-04-08,4.15,4.2845,3.9,4.07,169947.522259
2026-04-09,4.1,4.1891,3.9,4.02,77334.240744
2026-04-10,4.03,4.19,3.975,4.15,107998.716955
2026-04-13,4.14,4.38,4.05,4.17,130763.434267
2026-04-14,4.24,4.3197,4.11,4.135,170226.877045
2026-04-15,4.11,4.49,4.08,4.35,137586.3285
2026-04-16,4.45,4.59,4.385,4.57,123354.277015
2026-04-17,4.58,4.81,4.58,4.78,172459.745788
2026-04-20,4.77,5.18,4.71,5.13,224512.537429
2026-04-21,5.15,5.472,4.8133,4.91,187002.442016
2026-04-22,4.92,5.035,4.85,4.9,55364.56964
2026-04-23,4.92,5.645,4.71,4.96,931855.358519
2026-04-24,4.97,5.35,4.97,5.08,240692.438214
2026-04-27,5.31,5.96,5.26,5.51,513160.713507
2026-04-28,5.5,5.59,4.91,5.19,180039.136726
2026-04-29,5.16,5.195,4.9001,5.05,170508.205536
2026-04-30,5.02,5.14,4.93,5.05,107471.568576
2026-05-01,5.1,5.55,5.0801,5.43,169300.553398
2026-05-04,5.52,5.59,5.02,5.13,204460.838553
2026-05-05,5.21,5.59,5.1802,5.49,222753.164063
2026-05-06,6.1,6.15,5.36,6.0,839817.864845
2026-05-07,4.99,5.15,4.9001,5.02,486773.650556
2026-05-08,5.07,5.37,4.555,5.34,289469.220452
2026-05-11,5.29,5.49,4.95,5.14,175577.787129
2026-05-12,5.17,5.18,4.9,5.15,163915.736992
2026-05-13,5.09,5.375,5.09,5.27,171049.569462
2026-05-14,5.27,5.3,5.05,5.12,98169.171279
2026-05-15,5.02,5.29,5.02,5.17,80803.580918
2026-05-18,5.23,5.23,5.05,5.19,80017.488259
2026-05-19,5.13,5.4999,5.13,5.26,116050.472632
2026-05-20,5.25,5.47,5.1577,5.25,83262.091069
2026-05-21,5.18,5.42,5.16,5.37,67346.699305
2026-05-22,5.32,5.72,5.32,5.61,110639.513534
2026-05-26,5.83,6.94,5.7777,6.93,423771.013421
2026-05-27,8.08,8.85,6.83,8.05,1228078.541384
2026-05-28,8.29,8.56,7.1,7.67,763195.437281
2026-05-29,7.94,8.5,7.2,7.87,448930.89177
2026-06-01,8.335,9.5,7.7623,9.43,1234147.598804
2026-06-02,11.71,11.71,7.5,8.62,2557571.457351
2026-06-03,9.16,9.16,8.0,8.32,893496.412865
2026-06-04,8.39,11.0,8.39,9.31,2306471.477964
2026-06-05,9.06,10.05,8.8,9.97,969795.745212
2026-06-08,10.99,11.08,9.5563,10.7,1449391.859635
2026-06-09,10.55,11.365,9.33,9.5,929557.678524
2026-06-10,9.36,9.75,6.75,9.48,1016195.408291
2026-06-11,9.41,10.5,9.0,9.49,713492.048046
