date,open,high,low,close,volume
2026-02-02,20.41,20.8523,20.41,20.6,5444.0
2026-02-03,20.745,20.82,19.51,19.51,8170.0
2026-02-04,20.1,20.1,19.16,19.77,10561.0
2026-02-05,19.2,19.66,18.77,18.89,6492.0
2026-02-06,18.74,18.74,18.2,18.2,2007.0
2026-02-09,18.13,20.2,18.13,19.21,11924.0
2026-02-10,19.7,19.7,19.2,19.21,3244.0
2026-02-11,20.0847,20.0847,18.83,19.51,7143.0
2026-02-12,18.61,20.78,18.61,18.73,7648.0
2026-02-13,19.19,20.33,18.9901,19.795,11059.0
2026-02-17,19.88,19.88,18.21,18.61,7267.0
2026-02-18,18.7875,18.7875,18.53,18.67,1503.0
2026-02-19,18.6,18.67,18.01,18.01,3207.0
2026-02-20,18.1,18.22,17.34,17.34,5427.0
2026-02-23,17.74,18.11,16.65,16.65,6389.0
2026-02-24,16.79,16.79,16.0,16.0,7128.651182
2026-02-25,15.76,16.305,15.68,16.15,4254.0294
2026-02-26,15.6,15.6,14.74,15.0,2445.010325
2026-02-27,13.9052,14.15,13.9052,13.96,1280.986
2026-03-02,13.99,15.39,12.37,12.805,7609.927085
2026-03-03,13.435,14.28,13.015,13.41,20971.42
2026-03-04,12.94,13.98,12.69,13.98,1743.882097
2026-03-05,13.83,13.83,12.6901,13.3,2801.0
2026-03-06,12.84,14.12,12.23,12.95,6646.047225
2026-03-09,12.18,13.115,11.5,11.7497,11154.104
2026-03-10,11.93,12.95,11.7295,12.195,6460.718416
2026-03-11,11.705,12.03,11.705,11.73,1635.2245
2026-03-12,12.05,12.05,11.5,11.855,2705.407547
2026-03-13,11.5,11.52,11.2,11.2,2151.0
2026-03-16,11.16,11.2,10.41,10.64,9848.0
2026-03-17,10.25,11.33,10.25,11.13,6241.240887
2026-03-18,11.11,12.67,11.11,12.67,7294.0
2026-03-19,12.72,13.2035,12.72,13.14,1373.0
2026-03-20,12.25,13.06,11.74,11.74,1630.0
2026-03-23,13.06,13.25,12.56,13.0,3829.791
2026-03-24,13.14,13.5894,12.52,12.52,1854.924013
2026-03-25,13.798,13.798,12.7,13.51,4143.414
2026-03-26,11.9,13.0499,11.9,13.0499,1851.0
2026-03-27,12.55,13.26,12.01,13.26,3090.5858
2026-03-30,13.12,13.15,11.8,12.21,3729.980848
2026-03-31,12.75,12.75,11.825,11.95,8211.0
2026-04-01,13.5,13.5,12.64,12.64,3311.6192
2026-04-02,13.0,13.04,12.7681,12.7681,1703.32922
2026-04-06,13.63,13.63,12.7,12.7,2690.0
2026-04-07,12.675,13.55,12.675,13.48,4736.666669
2026-04-08,13.2,14.49,13.1,13.55,5928.318
2026-04-09,13.5999,13.9395,13.4723,13.55,5245.2729
2026-04-10,14.08,14.08,13.1801,13.58,6779.53
2026-04-13,13.58,14.045,13.505,13.55,2348.006
2026-04-14,13.41,13.98,13.41,13.6,3069.0
2026-04-15,12.8,13.585,12.8,13.585,3423.0
2026-04-16,13.5,13.5,13.143,13.143,627.0
2026-04-17,13.28,13.5794,12.61,13.5794,3256.0
2026-04-20,13.295,14.0,13.18,13.94,4940.00148
2026-04-21,13.619,14.43,13.53,13.65,26583.122098
2026-04-22,13.5779,14.5,12.3084,13.9,15956.258015
2026-04-23,13.95,13.95,13.6,13.6,3034.0
2026-04-24,13.3281,13.3281,13.3281,13.3281,567.025821
2026-04-27,13.74,13.74,13.25,13.25,1851.0
2026-04-28,13.46,13.52,13.08,13.5,1098.0
2026-04-30,13.63,13.63,13.08,13.15,3236.0
2026-05-01,13.27,13.27,11.94,13.16,4730.0
2026-05-04,13.0,13.0347,12.4,12.7,2267.0
2026-05-05,12.695,12.695,12.2,12.26,865.0
2026-05-06,12.56,13.0,12.4,12.6,14773.22598
2026-05-07,13.01,13.19,13.01,13.17,3109.10101
2026-05-08,13.17,13.82,13.17,13.25,2832.0
2026-05-11,13.425,13.5,13.35,13.35,1591.809457
2026-05-12,13.415,14.0,13.3914,13.42,23092.595628
2026-05-13,13.3754,14.0,13.3754,13.75,2990.224489
2026-05-14,13.35,13.35,9.5001,10.24,45430.998841
2026-05-15,11.9,11.9,9.64,10.0265,11869.937046
2026-05-18,10.0,10.03,8.5,9.37,29427.734332
2026-05-19,9.38,11.5533,9.38,11.19,14147.38688
2026-05-20,10.83,10.91,10.6,10.6,1601.011262
2026-05-21,10.45,11.205,10.45,10.82,8390.27959
2026-05-22,10.535,10.98,10.535,10.63,4176.368735
2026-05-26,10.55,10.73,10.55,10.73,1099.0
2026-05-27,10.7,11.15,10.1649,10.8,12883.431654
2026-05-28,10.8,10.93,10.285,10.3,7599.000001
2026-05-29,10.47,11.135,10.23,10.25,11588.147
2026-06-01,10.79,11.04,10.06,10.06,3340.902535
2026-06-02,9.6,9.6,9.6,9.6,1690.0
2026-06-03,9.5,10.25,9.06,9.06,16932.0
2026-06-04,9.55,10.5,9.0,9.53,13518.6138
2026-06-05,9.58,9.63,9.01,9.01,10072.0
2026-06-08,9.31,9.33,9.31,9.33,2893.915608
2026-06-09,8.68,9.895,8.68,9.19,17879.507997
2026-06-10,9.35,9.35,9.35,9.35,485.128452
2026-06-11,9.47,9.5,9.445,9.445,4312.3161
2026-06-12,9.25,9.9,9.18,9.9,7282.327985
