date,open,high,low,close,volume
2026-02-02,11.8,12.84,11.8,12.0,8614.0
2026-02-03,12.35,12.58,11.26,11.39,22593.0
2026-02-04,11.57,11.63,10.14,10.21,8706.0
2026-02-05,10.34,10.86,9.7425,9.82,5489.0
2026-02-06,9.5871,11.195,9.5001,10.54,12997.0
2026-02-09,10.45,11.95,10.07,11.015,11146.0
2026-02-10,11.26,11.26,10.4,10.51,10711.0
2026-02-11,10.0,10.9599,9.79,9.79,13412.0
2026-02-12,10.36,10.36,8.4179,9.0,10372.0
2026-02-13,9.01,9.98,8.85,9.28,5537.0
2026-02-17,9.14,9.545,8.701,9.05,4632.0
2026-02-18,9.6,9.9,8.78,8.92,1641.0
2026-02-19,9.5,9.61,9.015,9.16,4091.0
2026-02-20,9.16,10.19,9.16,10.19,4382.0
2026-02-23,9.73,9.73,7.88,7.98,12175.582334
2026-02-24,8.0,9.77,8.0,8.92,9178.793
2026-02-25,9.205,9.205,8.6,8.78,5058.162738
2026-02-26,9.5099,9.5099,8.56,9.12,9527.202058
2026-02-27,8.7131,9.0,8.57,8.57,3067.12
2026-03-02,8.77,9.305,8.77,9.11,5251.489515
2026-03-03,9.255,9.3468,8.97,9.32,2225.138
2026-03-04,8.7,9.42,8.7,9.38,2107.0
2026-03-05,9.37,10.0612,9.3196,9.7,1756.954554
2026-03-06,9.49,9.75,9.34,9.38,2008.49
2026-03-09,9.37,10.0095,9.055,9.2,8005.974027
2026-03-10,9.29,9.75,9.03,9.03,6788.101
2026-03-11,9.36,9.36,8.9,9.01,4518.602
2026-03-12,9.24,9.3,8.995,9.0,8142.31293
2026-03-13,9.48,10.99,9.48,10.99,12232.350796
2026-03-16,10.84,16.79,10.225,13.77,111378.84651
2026-03-17,13.49,21.61,13.49,18.85,184469.323038
2026-03-18,18.6,19.56,16.7001,18.04,46383.902184
2026-03-19,18.7983,34.49,16.93,23.79,697770.119024
2026-03-20,23.79,25.86,22.0,22.54,134877.271831
2026-03-23,22.54,22.54,16.64,22.19,63793.942347
2026-03-24,21.54,22.5,19.66,22.5,21906.024301
2026-03-25,22.13,22.5,20.69,21.39,16971.484053
2026-03-26,21.17,21.17,17.7932,20.1,31909.312305
2026-03-27,19.53,19.605,17.27,17.64,16435.264659
2026-03-30,17.33,17.635,15.07,16.56,14045.038392
2026-03-31,16.7,16.86,16.01,16.01,8341.879145
2026-04-01,15.97,15.97,14.64,14.64,18262.419038
2026-04-02,14.28,18.44,14.0,18.44,10891.057254
2026-04-06,18.49,20.0,17.645,18.005,19028.899759
2026-04-07,18.27,27.88,17.475,27.46,186521.160016
2026-04-08,27.38,28.45,25.755,26.04,37631.889066
2026-04-09,26.04,26.35,25.07,26.06,18212.944336
2026-04-10,25.9999,29.5,25.9999,27.15,19302.695849
2026-04-13,27.85,34.4,26.87,34.02,71283.225481
2026-04-14,33.1,39.99,31.39,37.93,65820.667034
2026-04-15,38.9,44.0,38.3,41.42,69646.322352
2026-04-16,41.67,41.67,34.795,35.9,64213.956077
2026-04-17,36.07,36.07,21.5,22.57,180264.31247
2026-04-20,22.71,31.0,22.71,24.49,118646.977878
2026-04-21,24.35,24.4,22.46,23.8,39020.71277
2026-04-22,24.13,25.42,23.1373,24.87,31976.297926
2026-04-23,25.02,25.93,23.64,25.0,18173.358746
2026-04-24,25.38,25.94,24.335,24.98,26643.671465
2026-04-27,24.85,25.5707,24.3223,24.98,22329.234318
2026-04-28,25.29,25.47,23.81,24.99,20204.354015
2026-04-29,25.17,25.3603,24.49,24.5,16498.11914
2026-04-30,24.63,25.275,24.5,24.71,25082.914943
2026-05-01,24.23,25.75,24.23,24.78,19037.806856
2026-05-04,25.0,25.3,22.66,22.97,16254.206
2026-05-05,23.1,23.18,21.58,22.31,19836.553172
2026-05-06,21.69,24.02,21.69,22.18,13152.453459
2026-05-07,22.08,23.865,22.08,22.65,11301.24723
2026-05-08,22.37,25.435,22.37,24.56,12201.551449
2026-05-11,25.65,26.55,20.13,21.0,29213.052522
2026-05-12,21.03,22.615,20.38,20.74,37225.952678
2026-05-13,20.61,21.74,18.24,18.24,41609.766209
2026-05-14,18.63,18.9612,17.0,17.15,25077.608036
2026-05-15,14.0,14.4999,9.21,9.73,376684.954085
2026-05-18,9.0,9.7,7.34,8.03,258092.488764
2026-05-19,8.1,8.64,8.0131,8.64,86020.496219
2026-05-20,8.72,9.25,8.38,8.4,109401.320909
2026-05-21,8.7,8.7,7.695,7.79,65179.815696
2026-05-22,7.97,8.4,7.21,7.9,94630.042263
2026-05-26,8.02,8.19,7.21,7.33,141394.250275
2026-05-27,7.39,7.61,6.79,6.81,101999.312845
2026-05-28,6.91,7.23,6.775,7.08,87781.524807
2026-05-29,7.11,7.123,6.11,6.16,118663.177168
2026-06-01,6.2,6.31,6.03,6.06,66997.160466
2026-06-02,6.11,6.37,5.9,5.96,157803.738174
2026-06-03,5.96,5.9699,5.415,5.45,110723.853005
2026-06-04,5.71,7.33,5.68,6.99,578437.237402
2026-06-05,7.13,7.29,6.06,6.59,115305.342695
