date,open,high,low,close,volume
2026-02-02,13.36,13.53,13.0309,13.18,112208.0
2026-02-03,13.16,13.66,12.925,13.3,243813.0
2026-02-04,13.35,13.869,13.32,13.86,457612.0
2026-02-05,13.78,13.78,12.86,12.87,199890.0
2026-02-06,13.05,13.3656,13.01,13.22,312472.0
2026-02-09,13.15,13.2,12.64,13.01,177070.0
2026-02-10,12.99,13.525,12.99,13.34,143658.0
2026-02-11,13.39,13.48,12.72,13.04,265532.0
2026-02-12,13.06,13.235,12.535,13.03,279573.0
2026-02-13,13.16,13.65,12.97,13.33,170122.0
2026-02-17,13.34,13.485,13.02,13.46,100192.0
2026-02-18,13.34,13.82,13.34,13.64,116574.0
2026-02-19,13.42,13.6,13.195,13.32,125748.0
2026-02-20,13.23,13.81,13.09,13.36,187726.0
2026-02-23,13.21,13.21,12.59,12.61,363665.415924
2026-02-24,12.61,12.911,12.54,12.75,283984.060502
2026-02-25,12.87,13.13,12.5197,13.08,110752.499681
2026-02-26,13.07,13.41,13.07,13.37,95296.473833
2026-02-27,13.1,13.12,12.7,12.78,164959.427572
2026-03-02,12.38,12.805,12.245,12.75,238055.24559
2026-03-03,12.29,12.81,12.21,12.73,182475.439047
2026-03-04,12.75,12.9698,12.39,12.42,154048.797853
2026-03-05,12.3,12.5192,11.92,12.25,234214.053242
2026-03-06,11.96,12.09,11.87,11.9,189928.32663
2026-03-09,11.82,11.8696,10.78,11.28,355256.185652
2026-03-10,11.26,11.55,11.04,11.09,194698.93128
2026-03-11,11.1,11.315,10.62,11.07,261689.198757
2026-03-12,10.89,11.01,10.5,10.56,213772.609678
2026-03-13,10.72,10.785,10.44,10.63,191042.24372
2026-03-16,10.79,11.05,10.705,10.99,161002.733302
2026-03-17,11.06,11.4,11.0,11.04,134086.933406
2026-03-18,10.98,11.1,10.63,10.7,265817.675678
2026-03-19,10.73,10.925,10.37,10.71,308494.671592
2026-03-20,10.7,10.82,10.4,10.54,257444.430735
2026-03-23,10.95,11.2,10.8748,11.0,277080.130287
2026-03-24,10.83,12.9,10.36,11.48,1212420.63187
2026-03-25,11.51,11.6,10.33,11.29,570822.572063
2026-03-26,13.7,14.413,13.23,13.76,1232928.223758
2026-03-27,13.75,13.75,13.0,13.53,761291.86362
2026-03-30,13.71,14.44,13.6,14.04,470149.936595
2026-03-31,14.37,14.8,13.955,14.77,388756.099636
2026-04-01,14.9,14.935,14.555,14.61,267695.622292
2026-04-02,14.25,14.58,14.055,14.37,203524.037392
2026-04-06,14.33,15.05,14.32,14.95,205902.5389
2026-04-07,14.77,15.53,14.73,15.44,491840.835042
2026-04-08,15.97,16.21,15.3801,15.53,312653.031865
2026-04-09,15.36,15.91,14.96,15.69,396558.152353
2026-04-10,15.89,15.94,15.21,15.35,199960.153828
2026-04-13,15.23,15.97,14.74,15.9,438187.248057
2026-04-14,15.99,16.48,15.76,16.46,238831.398132
2026-04-15,16.43,16.7,15.985,16.65,397448.064503
2026-04-16,16.65,17.23,16.65,16.9,398394.028744
2026-04-17,17.13,17.89,17.1201,17.65,265245.070316
2026-04-20,18.05,18.18,17.4114,17.51,417304.377173
2026-04-21,17.55,18.13,16.94,16.99,411376.646694
2026-04-22,17.16,17.22,16.37,16.4,248256.067132
2026-04-23,16.4,16.88,16.21,16.75,345941.853846
2026-04-24,16.6,16.6,16.04,16.07,137879.640734
2026-04-27,15.99,16.46,15.87,16.06,216047.57481
2026-04-28,16.12,16.42,15.67,16.3,270508.639801
2026-04-29,16.16,16.16,15.37,15.62,152230.961083
2026-04-30,15.49,15.99,15.48,15.81,120793.115169
2026-05-01,15.79,16.17,15.59,15.76,130521.535843
2026-05-04,15.67,15.71,15.24,15.42,128874.382063
2026-05-05,15.45,15.935,15.26,15.56,119629.548566
2026-05-06,15.72,16.1493,15.6,15.78,155079.982894
2026-05-07,15.78,15.83,15.215,15.62,103021.192809
2026-05-08,15.75,16.1,15.36,15.96,118224.746308
2026-05-11,15.96,16.17,15.83,16.06,90887.22054
2026-05-12,16.07,16.095,15.65,15.83,109196.808415
2026-05-13,15.75,15.75,15.09,15.145,107325.170729
2026-05-14,15.21,15.365,14.825,15.32,116304.092021
2026-05-15,15.19,15.5,14.8,15.29,193147.224161
2026-05-18,15.3,15.735,14.99,15.47,120413.690875
2026-05-19,15.34,15.48,14.7101,15.18,120341.208349
2026-05-20,15.18,15.71,14.875,15.65,87694.783845
2026-05-21,15.43,15.93,15.17,15.84,104936.300015
2026-05-22,16.08,16.37,16.0,16.16,84866.437479
2026-05-26,16.38,16.5,16.08,16.33,117444.929317
2026-05-27,16.44,16.86,15.66,15.95,287072.759771
2026-05-28,15.95,16.255,15.92,16.11,201025.905829
2026-05-29,16.07,16.07,15.38,15.38,138839.206069
2026-06-01,15.15,15.4,15.09,15.31,141159.345423
2026-06-02,15.37,15.74,15.265,15.47,216326.306981
2026-06-03,15.35,15.43,14.94,15.43,151381.526448
2026-06-04,15.61,16.41,15.61,16.35,115725.468737
2026-06-05,16.35,16.425,15.67,15.73,112286.448795
2026-06-08,15.77,16.265,15.5127,15.96,110014.743563
2026-06-09,16.2,16.9499,16.1853,16.58,144266.699023
2026-06-10,16.65,16.79,16.12,16.48,266636.848022
2026-06-11,15.4,16.47,14.215,16.3,427257.604945
