date,open,high,low,close,volume
2026-02-02,3.85,3.91,3.83,3.87,764499.0
2026-02-03,3.91,3.925,3.81,3.87,703390.0
2026-02-04,3.92,3.99,3.83,3.87,1358328.0
2026-02-05,3.81,3.9,3.8,3.88,1122897.0
2026-02-06,3.91,3.975,3.87,3.96,667789.0
2026-02-09,3.96,3.97,3.92,3.97,716775.0
2026-02-10,4.0,4.0585,3.95,3.98,536171.0
2026-02-11,4.06,4.09,4.0201,4.08,793657.0
2026-02-12,4.09,4.135,4.0,4.07,764082.0
2026-02-13,4.06,4.06,3.95,4.0,551873.0
2026-02-17,3.96,4.055,3.94,4.03,715805.0
2026-02-18,4.02,4.19,4.02,4.12,995286.0
2026-02-19,4.2,4.465,4.16,4.45,1918934.0
2026-02-20,4.59,4.79,4.55,4.76,1256671.0
2026-02-23,4.88,4.955,4.845,4.87,815875.791622
2026-02-24,4.88,5.135,4.88,5.12,1555454.438372
2026-02-25,5.28,5.36,5.245,5.35,850402.803032
2026-02-26,5.57,5.665,5.455,5.58,1600090.808799
2026-02-27,5.1,5.1,4.94,5.06,1072651.220312
2026-03-02,4.88,4.98,4.855,4.97,542047.313138
2026-03-03,4.58,4.59,4.371,4.56,1360079.128051
2026-03-04,4.25,4.325,4.15,4.29,1550701.769868
2026-03-05,4.12,4.13,3.905,3.96,1922722.690094
2026-03-06,3.91,3.96,3.855,3.91,1409018.938965
2026-03-09,3.84,4.07,3.825,4.05,1485262.136801
2026-03-10,4.13,4.2086,4.0801,4.14,1241295.412755
2026-03-11,4.11,4.135,4.05,4.1,765894.622925
2026-03-12,4.05,4.05,3.97,3.99,1064825.749352
2026-03-13,3.96,3.96,3.85,3.89,1147144.626478
2026-03-16,4.01,4.05,3.95,4.01,1045471.848285
2026-03-17,4.0,4.1,4.0,4.08,925206.259632
2026-03-18,4.11,4.1155,4.01,4.03,802699.670011
2026-03-19,3.94,4.085,3.9,4.07,1153455.051246
2026-03-20,4.01,4.1,3.965,4.02,2078129.517174
2026-03-23,4.08,4.34,4.0,4.29,3228760.522365
2026-03-24,3.98,4.11,3.92,4.08,2513366.276329
2026-03-25,4.13,4.155,4.0,4.12,2807963.598661
2026-03-26,3.94,3.965,3.83,3.85,2710736.647972
2026-03-27,3.84,3.91,3.8,3.89,2299642.128302
2026-03-30,3.91,3.91,3.7,3.75,3271292.132505
2026-03-31,3.7,3.91,3.67,3.88,3347471.062031
2026-04-01,3.97,4.06,3.8401,3.97,2206315.119745
2026-04-02,3.78,4.04,3.78,4.01,3263923.313342
2026-04-06,3.81,3.93,3.79,3.87,4349513.552601
2026-04-07,3.84,3.96,3.79,3.93,3637694.367674
2026-04-08,4.26,4.32,4.17,4.29,2868061.137626
2026-04-09,4.1,4.295,4.07,4.23,2955964.865748
2026-04-10,4.41,4.565,4.34,4.49,2324416.312581
2026-04-13,4.29,4.495,4.1714,4.45,3087562.253022
2026-04-14,4.57,4.58,4.495,4.56,1738650.98604
2026-04-15,4.65,4.8,4.635,4.75,1798298.1723
2026-04-16,4.82,4.88,4.79,4.86,1850942.549986
2026-04-17,5.09,5.17,5.03,5.08,1919691.567451
2026-04-20,5.07,5.08,5.02,5.07,1775714.841741
2026-04-21,5.07,5.12,5.0,5.05,2271903.736045
2026-04-22,5.38,5.4306,5.23,5.37,2692081.581473
2026-04-23,4.47,4.7,4.24,4.28,3078510.070694
2026-04-24,4.32,4.3899,4.17,4.18,1964908.100806
2026-04-27,4.21,4.24,4.13,4.18,1898928.246887
2026-04-28,4.18,4.26,4.17,4.22,1505705.863346
2026-04-29,4.22,4.23,4.105,4.12,1187949.750436
2026-04-30,4.16,4.28,4.16,4.28,1222830.52293
2026-05-01,4.3,4.44,4.27,4.33,1399420.761554
2026-05-04,4.35,4.35,4.22,4.32,1292081.295465
2026-05-05,4.4,4.555,4.365,4.45,1932327.734668
2026-05-06,4.53,4.595,4.505,4.54,1594260.560396
2026-05-07,4.38,4.44,4.3,4.32,2218456.571807
2026-05-08,4.34,4.41,4.315,4.39,1293659.503582
2026-05-11,4.34,4.445,4.34,4.37,1876049.776581
2026-05-12,4.34,4.46,4.2509,4.44,2762024.124293
2026-05-13,4.85,5.03,4.7501,4.97,3668189.799196
2026-05-14,5.12,5.36,5.12,5.33,2628452.861458
2026-05-15,4.77,4.8566,4.73,4.82,1748561.519526
2026-05-18,4.605,4.67,4.48,4.52,2034825.661622
2026-05-19,4.31,4.31,4.17,4.22,1996443.755007
2026-05-20,4.24,4.375,4.155,4.37,1625756.386405
2026-05-21,4.86,4.985,4.79,4.94,1715556.816484
2026-05-22,5.05,5.115,5.03,5.05,923062.325378
2026-05-26,5.24,5.435,5.18,5.41,1531611.69268
2026-05-27,4.88,4.9075,4.77,4.88,1898893.480138
2026-05-28,4.88,5.11,4.81,5.03,1371030.25957
2026-05-29,5.35,5.685,5.33,5.55,2956707.250887
2026-06-01,5.3,5.66,5.255,5.51,2443972.893873
2026-06-02,5.59,5.76,5.587,5.74,1664006.734738
2026-06-03,5.69,5.83,5.67,5.76,2171961.376597
2026-06-04,5.33,5.49,5.285,5.49,1933592.342318
2026-06-05,5.03,5.06,4.815,4.86,2431131.970992
2026-06-08,4.94,5.04,4.87,4.96,2017785.919291
2026-06-09,4.75,4.77,4.415,4.62,2697925.681695
2026-06-10,4.35,4.42,4.275,4.32,2222810.335369
2026-06-11,4.38,4.555,4.28,4.53,3079551.710522
