date,open,high,low,close,volume
2026-02-02,174.87,181.56,173.95,179.08,3063174.0
2026-02-03,176.5,179.92,171.329,171.57,2452201.0
2026-02-04,173.11,178.17,172.44,178.0,2858450.0
2026-02-05,177.05,178.88,169.43,170.09,2204396.0
2026-02-06,170.0,175.4322,170.0,172.85,1953854.0
2026-02-09,173.0,175.89,170.27,175.68,1664922.0
2026-02-10,176.32,184.5,176.01,180.62,2266914.0
2026-02-11,180.1,181.72,175.84,175.86,1630743.0
2026-02-12,176.8,178.978,168.39,169.53,2599796.0
2026-02-13,171.62,176.67,170.82,176.42,1934163.0
2026-02-17,175.21,178.81,172.4,177.72,1636186.0
2026-02-18,177.01,182.58,176.004,182.13,1751318.0
2026-02-19,180.9,183.3,179.21,182.88,1331075.0
2026-02-20,181.37,192.49,178.2,187.3,3488997.0
2026-02-23,184.84,185.005,176.68,178.11,2325630.864229
2026-02-24,178.83,182.0,177.5,179.49,1312051.804964
2026-02-25,179.75,183.85,179.47,182.55,1582131.129545
2026-02-26,184.66,188.42,184.0001,186.1,1812684.871072
2026-02-27,181.13,186.65,180.98,185.17,1810811.464096
2026-03-02,179.38,179.38,175.28,176.17,2974200.218033
2026-03-03,171.73,175.46,168.54,174.27,2843759.756952
2026-03-04,173.56,175.45,172.14,173.21,2188715.069264
2026-03-05,172.98,174.4,170.07,173.18,2152323.245663
2026-03-06,171.7748,171.7748,165.88,170.13,2771372.682993
2026-03-09,165.64,170.93,163.45,169.76,2708367.100764
2026-03-10,169.755,171.34,166.34,166.43,2320313.909958
2026-03-11,167.38,168.38,162.73,162.79,2609211.945008
2026-03-12,161.76,163.03,157.95,158.19,2787678.037641
2026-03-13,159.05,159.49,156.64,157.78,2516870.760789
2026-03-16,157.5,161.59,156.78,159.91,3026208.926937
2026-03-17,161.45,164.03,158.87,159.27,6341481.337605
2026-03-18,158.035,169.4,156.81,165.39,7402487.152545
2026-03-19,163.04,167.7,161.325,165.57,3859741.619164
2026-03-20,165.16,166.69,161.21,162.82,4942195.785238
2026-03-23,165.88,167.49,162.6,164.38,2609265.244105
2026-03-24,164.25,166.54,160.288,160.95,1874555.196921
2026-03-25,162.6,163.63,156.825,158.72,2391892.110011
2026-03-26,157.985,160.1,151.2301,151.39,3015730.922303
2026-03-27,150.36,150.52,143.96,145.85,3694928.248994
2026-03-30,145.92,148.85,145.365,145.83,2693952.665184
2026-03-31,148.41,153.67,148.0,153.1,2520889.598641
2026-04-01,150.93,161.0,150.8,158.81,3039483.435398
2026-04-02,155.17,159.4499,152.85,155.72,1963511.669328
2026-04-06,155.32,157.2499,153.625,156.18,1506464.651418
2026-04-07,154.3,155.24,151.71,153.67,1434347.950255
2026-04-08,160.225,163.16,158.17,158.86,1664660.14398
2026-04-09,157.43,166.8,157.31,166.51,1967575.040984
2026-04-10,166.79,167.95,162.8,163.86,1556602.130586
2026-04-13,162.2,163.94,156.55,162.56,1986811.460055
2026-04-14,162.58,164.21,158.47,160.6,2635829.430946
2026-04-15,161.32,164.21,160.35,162.74,1853492.179047
2026-04-16,164.71,167.425,162.208,162.92,1516901.021098
2026-04-17,165.25,168.95,165.0,167.28,2244641.973627
2026-04-20,164.84,167.43,164.7,166.81,1386033.814323
2026-04-21,167.5,170.1999,165.61,166.7,1723695.935817
2026-04-22,167.61,168.2,161.21,163.45,2513500.965413
2026-04-23,152.08,152.08,141.33,141.66,12180339.220437
2026-04-24,141.875,145.3905,141.78,143.8,3817914.789434
2026-04-27,143.84,148.69,143.77,146.94,3244989.307822
2026-04-28,146.97,148.67,142.23,142.39,2594852.430412
2026-04-29,141.5,141.7299,136.91,138.16,3373878.722377
2026-04-30,137.91,139.94,136.9,137.7,3056179.051684
2026-05-01,137.87,139.2,133.55,133.58,4183470.90789
2026-05-04,133.56,133.97,128.93,128.98,4782148.618581
2026-05-05,129.655,131.25,127.8,130.21,3378594.540062
2026-05-06,131.9,132.51,129.6141,132.04,2551382.217123
2026-05-07,133.14,135.17,132.19,133.59,3014143.373717
2026-05-08,133.115,133.7245,131.07,131.18,2082004.905267
2026-05-11,130.685,130.685,126.1,126.34,3792378.044017
2026-05-12,126.255,126.34,123.5101,125.13,3097456.142039
2026-05-13,124.335,124.6036,121.15,121.21,4234500.222432
2026-05-14,122.19,122.88,120.51,121.06,2672511.892132
2026-05-15,120.7,122.5,119.06,119.14,2952860.979544
2026-05-18,118.71,121.8,118.38,120.26,3309651.31164
2026-05-19,120.89,121.245,118.06,119.22,2611607.545601
2026-05-20,118.53,125.31,116.625,125.19,3355482.066033
2026-05-21,124.56,127.04,121.2,126.76,2918864.907773
2026-05-22,127.26,127.94,124.9,127.18,2261916.938084
2026-05-26,128.3,129.01,125.21,127.35,2382021.003905
2026-05-27,131.955,136.14,130.53,131.04,4864363.14194
2026-05-28,129.965,131.815,127.11,131.33,3017475.052856
2026-05-29,131.128,132.4199,129.06,131.18,3429447.308019
2026-06-01,132.34,134.38,131.13,132.09,3672403.222645
2026-06-02,131.11,131.11,126.41,126.47,3846772.257858
2026-06-03,124.9,126.16,123.45,126.03,2876411.348803
2026-06-04,128.6,129.0,123.67,124.92,9835911.832064
2026-06-05,110.43,116.76,109.36,114.23,16205928.373536
2026-06-08,114.37,118.03,113.9,117.55,5830450.899484
2026-06-09,117.155,121.9,115.76,121.36,4483136.022472
2026-06-10,119.45,124.38,118.02,118.93,4189270.512434
2026-06-11,118.565,121.89,115.88,121.84,2987852.783709
