date,open,high,low,close,volume
2026-02-02,18.895,19.27,17.61,17.84,7493339.0
2026-02-03,18.67,19.62,17.7301,19.61,7779311.0
2026-02-04,19.38,19.5,15.75,16.61,11809756.0
2026-02-05,15.975,16.2663,14.54,14.79,11187745.0
2026-02-06,15.59,17.59,15.235,17.52,9892966.0
2026-02-09,18.09,20.31,18.045,19.45,13416752.0
2026-02-10,19.18,19.47,18.48,18.62,7107734.0
2026-02-11,18.96,18.97,16.41,17.04,8819669.0
2026-02-12,16.57,16.645,15.2,15.72,8119606.0
2026-02-13,16.29,16.78,15.4136,16.13,5951030.0
2026-02-17,15.81,16.65,15.52,16.62,6133526.0
2026-02-18,16.7,18.3999,16.5,17.74,8742827.0
2026-02-19,17.32,18.5438,17.15,18.19,6621143.0
2026-02-20,17.95,18.765,17.21,17.55,7211073.0
2026-02-23,16.83,18.48,16.68,18.14,8219597.553289
2026-02-24,17.64,19.14,17.1655,18.9,7967526.324577
2026-02-25,16.7,16.89,15.43,15.89,26139241.264188
2026-02-26,16.01,17.8251,16.01,17.67,14721527.53925
2026-02-27,16.92,17.435,15.45,16.48,9727524.054965
2026-03-02,15.91,17.99,15.8501,17.99,10087645.160322
2026-03-03,17.33,19.1,17.11,18.2,11864926.16837
2026-03-04,18.23,19.03,17.882,18.62,7194167.477327
2026-03-05,18.475,18.63,16.8,17.67,8081825.57808
2026-03-06,17.4,19.15,17.205,17.63,11537536.392649
2026-03-09,17.25,18.1,16.72,18.08,9304021.577522
2026-03-10,18.06,18.11,17.115,17.68,8874939.017704
2026-03-11,17.7,19.55,17.62,18.45,14339674.636155
2026-03-12,18.21,18.72,17.41,17.64,7715455.589651
2026-03-13,17.81,18.6,17.36,17.6,8473653.693451
2026-03-16,17.86,18.3,16.82,17.69,7634126.231485
2026-03-17,17.88,18.99,17.512,18.9,9569295.730145
2026-03-18,18.79,18.98,17.945,18.11,6696819.595247
2026-03-19,17.61,19.242,16.35,18.91,13165109.244268
2026-03-20,18.97,20.8,17.61,17.83,18065975.678853
2026-03-23,18.44,20.94,18.32,20.31,19040610.166013
2026-03-24,20.11,20.77,17.02,17.92,27339865.857899
2026-03-25,18.86,21.83,18.84,20.55,22315861.418044
2026-03-26,19.97,20.24,19.02,19.23,11040654.898275
2026-03-27,19.17,19.28,17.43,17.52,11719618.115376
2026-03-30,18.07,18.13,15.85,16.35,13154787.024208
2026-03-31,17.02,18.815,16.98,18.56,13007797.252373
2026-04-01,19.13,20.82,19.1,20.24,18135343.061075
2026-04-02,19.31,24.3,19.21,23.99,40685124.798154
2026-04-06,23.585,24.16,22.3801,22.92,18411632.56905
2026-04-07,22.72,23.32,22.04,22.73,12793492.257162
2026-04-08,24.74,25.0,23.07,23.39,17999639.984302
2026-04-09,23.12,24.43,21.93,21.97,16746811.783398
2026-04-10,22.07,24.22,21.94,23.57,15245637.82106
2026-04-13,23.57,25.55,23.192,24.41,20907081.154681
2026-04-14,25.8,26.238,22.932,23.67,21870230.995959
2026-04-15,23.745,24.64,22.57,23.88,13718777.210235
2026-04-16,24.575,27.37,23.9,27.28,18916891.271451
2026-04-17,27.78,28.215,26.73,27.58,14602799.539727
2026-04-20,27.41,29.88,27.23,27.52,16444456.580253
2026-04-21,28.05,29.2,27.3,27.82,14443051.343637
2026-04-22,29.32,31.15,28.78,29.94,14104258.149185
2026-04-23,29.66,29.9,26.3201,27.56,12695719.646127
2026-04-24,28.68,28.68,25.0201,25.53,12489872.251565
2026-04-27,25.74,26.4,24.64,26.2,9448148.384542
2026-04-28,25.5,25.79,24.15,24.58,8497825.911573
2026-04-29,24.57,24.84,22.75,24.79,8754188.256613
2026-04-30,25.238,26.27,24.8,25.35,8940260.305345
2026-05-01,25.42,26.02,24.2,25.62,7301849.185292
2026-05-04,25.755,25.91,24.1501,25.35,8526607.23315
2026-05-05,26.695,27.08,23.74,24.8,14021318.021705
2026-05-06,24.96,26.59,24.055,26.33,8665166.017776
2026-05-07,25.95,26.09,23.62,24.11,10511667.888231
2026-05-08,25.05,29.38,24.665,28.97,16468522.116451
2026-05-11,28.95,33.635,28.35,32.42,15988927.018679
2026-05-12,31.22,32.988,29.93,32.09,10719125.349861
2026-05-13,34.354,36.72,32.93,35.68,16506996.708996
2026-05-14,32.16,37.25,32.058,36.52,19231116.74959
2026-05-15,35.01,37.8485,33.8,33.89,13680996.491937
2026-05-18,36.55,38.55,32.56,33.59,18866512.184515
2026-05-19,33.23,34.6923,30.92,32.46,11575088.235354
2026-05-20,32.94,34.4,31.09,33.67,12919750.709004
2026-05-21,33.0,35.0,31.33,34.24,10787265.134122
2026-05-22,35.4,38.34,35.23,38.26,14812325.228414
2026-05-26,42.22,45.52,31.35,34.86,52394875.97176
2026-05-27,38.02,40.7,35.33,40.34,29817945.823736
2026-05-28,40.88,46.75,40.3501,45.7,23947244.966619
2026-05-29,42.65,43.88,38.77,43.83,19813901.147781
2026-06-01,42.58,43.39,37.8,38.21,16076510.097758
2026-06-02,38.9,41.05,38.0,39.57,10205168.142444
2026-06-03,37.05,38.79,33.24,33.83,16521518.739063
2026-06-04,33.48,34.7299,31.76,33.63,12602055.908854
2026-06-05,32.685,32.685,28.565,29.36,13942607.380906
2026-06-08,30.79,30.8,29.37,29.735,9072024.603605
2026-06-09,30.15,30.9499,25.67,27.47,13241999.32135
2026-06-10,27.15,27.73,26.072,26.535,8464873.134483
2026-06-11,26.96,30.91,26.73,30.64,22354099.675292
2026-06-12,29.875,30.05,25.4502,26.62,22303220.458162
