date,open,high,low,close,volume
2026-02-02,16.85,17.47,16.605,17.26,12651370.0
2026-02-03,17.365,17.365,16.44,16.76,17934239.0
2026-02-04,16.7,16.73,15.89,16.16,19212439.0
2026-02-05,16.0,16.33,15.68,15.84,16717185.0
2026-02-06,15.84,16.56,15.815,16.46,17421972.0
2026-02-09,16.43,16.9,16.41,16.61,17775787.0
2026-02-10,16.6,17.105,16.5,16.85,35201798.0
2026-02-11,14.215,15.1,13.88,13.99,74349913.0
2026-02-12,13.985,14.1,12.93,13.05,30626936.0
2026-02-13,13.21,13.46,13.05,13.27,22891035.0
2026-02-17,13.235,13.44,13.07,13.3,16806861.0
2026-02-18,13.4,13.867,13.29,13.71,17521133.0
2026-02-19,13.8,14.015,13.6,13.9,15201591.0
2026-02-20,13.7,14.02,13.59,13.95,15742491.0
2026-02-23,13.7,13.75,13.165,13.29,16771408.717908
2026-02-24,13.2,13.68,13.14,13.53,14060629.743602
2026-02-25,13.53,13.5799,13.16,13.4,16062252.000467
2026-02-26,13.49,14.14,13.48,14.1,16320735.367488
2026-02-27,13.89,13.96,13.74,13.84,15573448.119601
2026-03-02,13.46,13.87,13.335,13.73,13832636.494556
2026-03-03,13.605,13.93,12.83,13.21,24698546.096134
2026-03-04,13.415,13.86,13.205,13.84,20907279.361831
2026-03-05,13.8,14.09,13.13,13.18,20069877.581937
2026-03-06,13.0,13.295,12.965,13.25,10871432.684714
2026-03-09,13.34,13.855,13.165,13.76,22956766.991758
2026-03-10,13.73,13.84,13.24,13.25,16445653.885615
2026-03-11,13.41,13.625,13.125,13.31,12802195.604175
2026-03-12,13.23,13.475,12.885,12.95,15011356.060625
2026-03-13,12.985,13.24,12.945,13.07,14834864.502361
2026-03-16,13.25,13.7,13.2275,13.55,18581579.574867
2026-03-17,14.04,14.3399,13.91,14.04,19074127.260752
2026-03-18,13.89,13.99,13.46,13.46,14490885.153777
2026-03-19,13.2,13.6,13.1501,13.38,13329547.58232
2026-03-20,13.27,13.68,13.05,13.47,84222202.057496
2026-03-23,13.68,13.75,13.125,13.34,16074024.60992
2026-03-24,13.17,13.27,13.0,13.16,13692343.847952
2026-03-25,13.37,13.57,13.08,13.26,10112522.973993
2026-03-26,13.09,13.415,12.98,12.995,12927076.098987
2026-03-27,12.88,12.94,12.48,12.86,14037506.738239
2026-03-30,12.82,12.905,12.46,12.65,12106510.324076
2026-03-31,12.79,13.38,12.625,13.3,18025158.920822
2026-04-01,13.41,13.548,13.04,13.29,12291905.031694
2026-04-02,13.03,13.43,12.8401,13.34,9389883.53254
2026-04-06,13.32,13.83,13.31,13.7,10004028.492903
2026-04-07,13.55,14.115,13.535,13.77,13588288.569184
2026-04-08,14.25,14.402,13.2,13.46,16686341.217513
2026-04-09,13.455,13.58,13.17,13.22,14050830.274067
2026-04-10,13.37,13.58,13.1144,13.23,9894237.112084
2026-04-13,13.15,13.6,12.91,13.6,13619368.797416
2026-04-14,13.63,13.96,13.53,13.71,11768835.966925
2026-04-15,13.85,14.79,13.83,14.66,17498891.285724
2026-04-16,14.71,14.99,14.665,14.72,11669629.26671
2026-04-17,15.0,15.34,14.77,14.95,12294509.148448
2026-04-20,14.68,14.69,14.18,14.42,22331129.504697
2026-04-21,14.5,15.0899,14.43,14.75,14795537.163874
2026-04-22,14.97,14.98,14.275,14.44,11126260.33307
2026-04-23,14.41,14.52,13.88,14.03,9857748.641067
2026-04-24,14.13,14.3199,13.86,14.24,10399312.669094
2026-04-27,14.285,14.73,14.26,14.49,10862898.177356
2026-04-28,14.455,14.67,14.165,14.22,7577255.33202
2026-04-29,14.1,14.4,13.845,14.34,12564264.823935
2026-04-30,14.43,14.43,13.9316,14.15,10820399.203356
2026-05-01,14.32,14.49,14.1927,14.42,12719858.750054
2026-05-04,14.4059,14.59,14.002,14.06,13835050.544427
2026-05-05,14.1,14.28,14.01,14.09,14238633.747662
2026-05-06,14.4,14.63,14.145,14.23,16392934.590821
2026-05-07,14.41,14.595,14.005,14.16,22928622.573657
2026-05-08,14.11,14.63,13.8,14.35,28551852.972526
2026-05-11,14.31,14.835,13.83,13.87,15750097.025122
2026-05-12,13.99,13.99,13.29,13.88,14326107.323268
2026-05-13,13.88,13.89,13.405,13.68,13490290.984772
2026-05-14,13.65,13.69,13.0,13.05,22033576.234338
2026-05-15,12.93,13.05,12.76,12.97,17648526.772745
2026-05-18,12.905,13.69,12.8413,13.37,19868173.120241
2026-05-19,13.445,13.67,13.075,13.18,15149661.198029
2026-05-20,13.165,13.44,12.8,13.35,18320538.089593
2026-05-21,13.22,13.595,13.015,13.48,16820300.660147
2026-05-22,13.45,13.93,13.44,13.9,15630273.215174
2026-05-26,13.8092,13.98,13.545,13.58,13448732.723887
2026-05-27,13.61,13.96,13.57,13.7,10180018.142327
2026-05-28,13.58,13.98,13.375,13.82,10391082.477568
2026-05-29,13.83,14.23,13.72,14.11,14703374.960596
2026-06-01,14.35,15.2776,14.15,14.86,29332126.705784
2026-06-02,14.575,14.6,13.99,14.11,15982043.424497
2026-06-03,14.07,14.12,13.77,14.09,10375820.170199
2026-06-04,14.26,14.625,14.065,14.12,12482336.07771
2026-06-05,14.07,14.27,13.53,13.65,9359883.631175
2026-06-08,13.67,14.17,13.58,14.02,11318182.545623
2026-06-09,14.04,14.3199,13.65,13.87,12745077.317594
2026-06-10,13.74,14.015,13.38,13.39,9677446.30415
2026-06-11,13.395,13.755,13.16,13.71,11689195.191188
2026-06-12,13.7,13.84,13.48,13.54,10618279.608865
