date,open,high,low,close,volume
2026-02-02,34.15,34.66,34.15,34.64,14415.0
2026-02-03,34.75,35.23,34.532,35.09,42607.0
2026-02-04,35.47,35.53,34.47,34.8311,25526.0
2026-02-05,34.4,34.47,34.0866,34.2211,13230.0
2026-02-06,34.82,35.52,34.82,35.47,12177.0
2026-02-09,35.5,35.96,35.391,35.89,25764.0
2026-02-10,35.895,36.02,35.635,35.78,23389.0
2026-02-11,36.45,36.7,35.95,36.37,39527.0
2026-02-12,36.66,37.02,35.74,35.74,26651.0
2026-02-13,35.93,36.51,35.905,36.23,21127.0
2026-02-17,36.18,36.52,35.945,36.43,160731.0
2026-02-18,36.57,36.75,36.2398,36.38,23458.0
2026-02-19,36.28,36.7199,36.28,36.66,37059.0
2026-02-20,36.62,36.9793,36.4176,36.81,31153.0
2026-02-23,36.69,36.8,36.24,36.38,23444.365156
2026-02-24,36.54,37.03,36.54,37.0,39023.1186
2026-02-25,37.15,37.1575,36.5619,36.81,17256.793969
2026-02-26,36.97,36.97,36.0,36.5594,18955.589948
2026-02-27,36.2,36.4,35.97,36.4,37501.324457
2026-03-02,35.95,36.67,35.8183,36.62,43978.505911
2026-03-03,35.63,35.74,34.93,35.53,37540.958048
2026-03-04,35.92,35.9848,35.4801,35.8,13276.64624
2026-03-05,35.65,35.7,34.59,34.94,22997.467372
2026-03-06,34.39,34.5,34.11,34.2,20398.3181
2026-03-09,33.7,34.77,33.6,34.77,23921.96956
2026-03-10,34.95,35.45,34.845,34.845,31234.360327
2026-03-11,34.75,34.83,34.54,34.73,14872.992074
2026-03-12,34.26,34.3473,33.88,33.88,15179.4576
2026-03-13,34.16,34.28,33.6,33.75,11857.0608
2026-03-16,34.05,34.4089,33.98,34.09,7595.786115
2026-03-17,34.32,34.35,33.995,34.18,19731.0628
2026-03-18,34.05,34.4,33.89,33.89,15640.219978
2026-03-19,33.44,34.0864,33.25,33.95,21653.0338
2026-03-20,33.9,33.9,32.87,33.132,31334.738475
2026-03-23,33.84,34.3611,33.71,33.71,26564.4638
2026-03-24,33.3,34.39,33.3,34.23,15648.829811
2026-03-25,34.71,34.74,34.37,34.4684,13957.0054
2026-03-26,34.23,34.23,33.295,33.33,12969.273466
2026-03-27,33.07,33.3,32.76,32.88,16396.554881
2026-03-30,33.18,33.18,31.9201,32.0,14822.984454
2026-03-31,32.42,33.32,32.42,33.32,11935.003
2026-04-01,33.64,34.245,33.64,33.95,34343.577854
2026-04-02,33.21,33.9,33.21,33.81,19410.525495
2026-04-06,33.72,33.9,33.6,33.86,23824.702412
2026-04-07,33.6201,33.89,33.555,33.89,9768.18989
2026-04-08,35.33,35.66,35.31,35.64,22571.490136
2026-04-09,35.665,36.24,35.665,36.16,25595.053019
2026-04-10,36.295,36.4899,36.15,36.33,12924.791164
2026-04-13,36.19,36.68,36.18,36.63,31373.579897
2026-04-14,36.84,37.0801,36.8,37.03,40151.21529
2026-04-15,37.08,37.08,36.0801,36.24,29619.701323
2026-04-16,36.26,36.26,35.91,36.21,12382.10768
2026-04-17,36.67,37.36,36.67,37.12,38450.604551
2026-04-20,37.02,37.33,37.02,37.29,15553.805765
2026-04-21,37.31,37.61,36.94,36.94,11012.174229
2026-04-22,37.24,37.34,36.55,36.73,18509.896825
2026-04-23,36.73,37.295,36.59,37.12,40360.779876
2026-04-24,37.27,37.27,36.73,36.79,47091.116169
2026-04-27,36.84,36.91,36.595,36.73,9180.639138
2026-04-28,36.31,36.31,35.68,36.04,13287.618263
2026-04-29,36.39,36.39,35.9605,36.0462,9293.23001
2026-04-30,36.46,37.128,36.46,37.128,10146.1939
2026-05-01,37.32,37.32,36.78,36.8087,18779.535707
2026-05-04,36.9,36.9,36.4501,36.53,12877.049798
2026-05-05,36.79,36.955,36.69,36.7538,19685.348
2026-05-06,37.3,37.75,37.23,37.75,25975.832448
2026-05-07,37.8,37.8,36.5899,36.6939,20706.4618
2026-05-08,37.17,37.17,36.725,36.74,16567.689985
2026-05-11,36.85,37.4899,36.85,37.32,18611.715819
2026-05-12,37.09,37.26,36.56,37.2588,12884.862344
2026-05-13,37.3866,37.67,37.13,37.4844,17262.237199
2026-05-14,37.56,37.89,37.4201,37.84,21184.6558
2026-05-15,37.23,37.23,36.77,36.8426,19979.845782
2026-05-18,36.83,36.83,35.85,36.1504,11359.135923
2026-05-19,35.7,35.815,35.1601,35.4716,17450.338999
2026-05-20,35.86,36.2656,35.56,36.1176,14702.998236
2026-05-21,35.94,36.495,35.76,36.34,23636.491295
2026-05-22,36.66,37.1299,36.4459,36.95,17696.343721
2026-05-26,37.65,37.73,37.44,37.66,40790.65632
2026-05-27,37.8,37.8,37.38,37.7,26100.570163
2026-05-28,37.28,37.9506,37.2391,37.7867,7880.993558
2026-05-29,37.66,37.88,37.45,37.63,8681.930996
2026-06-01,37.34,37.34,36.825,37.1958,15067.744336
2026-06-02,37.65,38.3,37.65,38.2918,13469.120344
2026-06-03,38.37,38.71,38.14,38.32,15395.240624
2026-06-04,38.22,38.53,37.845,38.46,27088.597764
2026-06-05,38.12,38.12,36.9499,37.09,6799.937929
2026-06-08,37.34,37.6593,37.32,37.32,5844.844079
2026-06-09,37.78,38.0,36.4356,37.4511,8431.0775
2026-06-10,37.385,37.47,36.0,36.02,20835.00375
2026-06-11,36.31,37.35,36.31,37.35,5984.820261
2026-06-12,37.67,37.84,37.475,37.64,40362.567994
