date,open,high,low,close,volume
2026-02-02,65.64,66.56,65.57,66.155,1774309.0
2026-02-03,66.32,66.3822,64.57,65.08,2910258.0
2026-02-04,65.21,65.35,63.48,64.09,5078660.0
2026-02-05,62.81,63.405,62.01,62.82,5836131.0
2026-02-06,62.33,63.38,62.03,63.11,7610218.0
2026-02-09,63.03,64.195,62.68,63.84,4383511.0
2026-02-10,64.03,64.1,63.475,63.58,2701107.0
2026-02-11,64.0,64.23,62.94,63.19,2744112.0
2026-02-12,63.43,63.5,61.55,61.73,4917656.0
2026-02-13,61.675,61.7724,60.89,61.15,9088013.0
2026-02-17,60.74,61.555,60.13,61.27,5627157.0
2026-02-18,61.395,62.095,61.27,61.69,4029519.0
2026-02-19,61.36,61.945,61.185,61.59,2994853.0
2026-02-20,61.33,62.73,61.14,62.6,6855417.0
2026-02-23,62.38,62.58,61.325,61.6,3038060.518884
2026-02-24,61.56,62.395,61.21,62.31,2724329.301417
2026-02-25,62.62,63.2992,62.61,63.27,3039359.844696
2026-02-26,63.15,63.1923,61.78,62.27,3781755.111017
2026-02-27,61.4,61.78,61.04,61.35,3993346.939735
2026-03-02,60.3,61.92,60.15,61.61,7871834.227225
2026-03-03,60.5,61.48,60.16,61.29,7548466.177252
2026-03-04,61.56,62.47,61.44,62.23,3953118.806852
2026-03-05,61.86,62.32,61.41,62.16,4736001.756406
2026-03-06,61.39,61.665,60.86,60.99,5879948.305351
2026-03-09,60.21,61.825,59.93,61.72,5625161.256829
2026-03-10,61.79,62.335,61.575,61.93,3614675.864246
2026-03-11,62.0,62.78,61.78,62.15,2347843.990443
2026-03-12,61.65,61.77,60.83,60.95,4039512.985869
2026-03-13,61.12,61.2188,59.86,59.94,4167201.250239
2026-03-16,60.6,61.28,60.52,60.88,2295860.071141
2026-03-17,60.99,61.3498,60.8101,61.13,2836029.683835
2026-03-18,60.8,61.135,60.11,60.2,2826318.857345
2026-03-19,59.6,59.84,59.25,59.55,4309981.42597
2026-03-20,59.28,59.39,57.94,58.37,4986487.884441
2026-03-23,59.23,59.85,59.03,59.28,5909836.98744
2026-03-24,58.99,59.05,58.42,58.51,3554123.710139
2026-03-25,59.32,59.6799,58.765,58.95,3314298.126594
2026-03-26,58.355,58.525,56.98,57.03,3306630.453457
2026-03-27,56.65,56.66,55.36,55.45,4448070.391475
2026-03-30,56.07,56.09,55.085,55.39,3882958.019302
2026-03-31,56.21,58.11,56.21,57.94,7517681.188353
2026-04-01,58.5,59.125,58.235,58.68,5859469.664707
2026-04-02,57.42,58.53,57.18,58.27,5314863.880851
2026-04-06,58.4,58.76,58.02,58.38,2114074.388631
2026-04-07,57.98,58.32,56.98,58.29,2841658.5799
2026-04-08,60.68,60.83,59.445,59.82,4177204.667901
2026-04-09,60.075,60.8565,59.57,60.72,3117292.103576
2026-04-10,60.92,61.37,60.84,61.14,3814973.095424
2026-04-13,61.06,61.79,60.73,61.76,3225535.95427
2026-04-14,62.36,63.75,62.3,63.61,9009775.97789
2026-04-15,63.87,65.31,63.78,65.26,5520806.746385
2026-04-16,65.53,65.56,64.565,65.31,3491493.350338
2026-04-17,66.06,66.81,65.82,66.45,5607124.077953
2026-04-20,66.1,66.26,65.205,65.76,3105404.135631
2026-04-21,66.13,66.17,65.17,65.31,3784321.442688
2026-04-22,65.83,66.44,65.52,66.44,2623563.157274
2026-04-23,65.78,66.085,64.73,65.33,4083052.267483
2026-04-24,65.6,66.72,65.34,66.57,4347198.251283
2026-04-27,66.345,67.18,66.1001,67.08,2937424.217552
2026-04-28,66.55,67.06,66.29,66.86,2965226.539853
2026-04-29,66.5,67.035,66.17,66.58,3757121.21829
2026-04-30,66.705,66.82,64.89,66.24,6117626.275476
2026-05-01,66.68,67.47,66.51,66.87,3618948.760744
2026-05-04,66.92,67.24,66.38,66.97,2916272.474245
2026-05-05,67.36,67.72,66.9,67.11,2632936.674047
2026-05-06,67.2,68.53,67.0,68.46,3410415.827084
2026-05-07,68.98,69.4899,68.69,68.89,2925673.382786
2026-05-08,69.1,69.83,69.08,69.62,2557079.280894
2026-05-11,68.87,69.85,68.75,69.44,2421766.133014
2026-05-12,69.13,69.46,68.35,69.12,2326665.247147
2026-05-13,69.22,70.77,68.88,70.53,2272490.874277
2026-05-14,70.72,71.16,70.37,70.94,3301942.937395
2026-05-15,70.02,70.655,69.48,69.84,3598421.585105
2026-05-18,69.82,70.27,68.99,69.46,2735073.211577
2026-05-19,69.15,69.22,68.12,68.53,2830885.714342
2026-05-20,68.61,69.49,68.47,69.49,2156933.592745
2026-05-21,69.29,69.93,68.72,69.5,1657916.728843
2026-05-22,69.76,69.9705,69.28,69.36,2658768.703211
2026-05-26,69.6,69.85,69.18,69.63,2287552.018146
2026-05-27,69.63,70.34,69.51,70.33,1672813.831924
2026-05-28,70.19,70.8868,70.03,70.87,2364538.496011
2026-05-29,70.69,71.0099,70.33,70.71,3641119.352848
2026-06-01,70.57,70.61,69.86,69.86,4412716.048566
2026-06-02,69.36,69.92,68.84,69.17,2921179.336678
2026-06-03,68.965,69.29,68.05,68.42,12230588.080815
2026-06-04,68.59,69.325,68.52,69.12,2561617.643177
2026-06-05,68.63,69.06,66.2808,66.51,4710468.902636
2026-06-08,66.89,67.16,66.46,66.53,1721727.860382
2026-06-09,66.89,67.225,64.45,65.66,3969091.66188
2026-06-10,65.17,65.605,64.15,64.22,3653957.748975
2026-06-11,64.36,64.99,63.32,64.91,5677402.420433
2026-06-12,65.3,65.3,64.04,64.91,4674462.727108
