date,open,high,low,close,volume
2026-02-02,9.18,9.44,8.9114,9.12,48414831.0
2026-02-03,9.225,9.55,8.51,9.05,53722584.0
2026-02-04,8.92,8.9899,7.9,8.28,54008127.0
2026-02-05,7.8,8.035,6.66,6.73,80158262.0
2026-02-06,7.23,8.39,7.115,8.24,82353074.0
2026-02-09,7.85,8.47,7.78,8.06,67741570.0
2026-02-10,8.0,8.15,7.64,7.66,45953157.0
2026-02-11,7.63,7.9,7.28,7.56,49265213.0
2026-02-12,7.56,7.665,7.1407,7.25,38590532.0
2026-02-13,7.495,8.08,7.315,7.92,50848013.0
2026-02-17,7.675,7.88,7.33,7.51,41177886.0
2026-02-18,7.48,7.78,7.325,7.5,31304594.0
2026-02-19,7.42,8.08,7.31,7.96,36294023.0
2026-02-20,7.875,8.31,7.75,7.97,37530954.0
2026-02-23,7.75,8.13,7.58,7.875,33052509.208747
2026-02-24,7.78,8.17,7.585,8.05,37255134.851167
2026-02-25,8.39,8.84,8.16,8.57,57452166.124609
2026-02-26,8.425,8.65,8.135,8.45,51112031.648292
2026-02-27,9.68,9.84,8.93,8.94,102354874.006411
2026-03-02,8.605,9.84,8.435,9.45,70189853.256728
2026-03-03,9.02,9.16,8.6098,8.66,51493619.582345
2026-03-04,9.11,9.55,8.87,9.29,61220659.204478
2026-03-05,9.09,9.09,8.5,8.77,49553102.146519
2026-03-06,8.455,8.525,7.89,8.01,36530684.824226
2026-03-09,8.06,8.74,7.96,8.66,42397699.872419
2026-03-10,8.7,8.87,8.51,8.57,42956993.377893
2026-03-11,8.6,8.78,8.2302,8.55,38141162.711509
2026-03-12,8.44,8.78,8.3,8.76,37631561.063416
2026-03-13,9.18,10.03,9.135,9.32,73339049.323773
2026-03-16,9.76,9.842,9.14,9.23,47904226.076205
2026-03-17,9.205,9.455,9.05,9.24,35673163.255194
2026-03-18,9.04,9.3251,8.89,8.92,40559652.221781
2026-03-19,8.64,9.36,8.37,9.22,42849876.942818
2026-03-20,9.09,9.14,8.42,8.46,50901292.104883
2026-03-23,8.597,9.25,8.568,8.91,47208492.564932
2026-03-24,8.83,8.98,8.15,8.25,41068475.385891
2026-03-25,8.58,8.73,8.06,8.28,38872373.003009
2026-03-26,8.575,9.395,8.46,8.58,106517614.683654
2026-03-27,8.31,8.41,7.705,8.02,50702447.112875
2026-03-30,8.17,8.275,7.6425,7.795,36120385.964535
2026-03-31,7.83,8.2,7.625,8.16,47426971.989878
2026-04-01,8.22,8.3261,8.0,8.04,31162815.397158
2026-04-02,7.782,8.77,7.63,8.71,50528896.865463
2026-04-06,8.805,9.14,8.755,8.85,36599124.690391
2026-04-07,8.66,8.98,8.195,8.96,42383891.955318
2026-04-08,9.505,9.77,9.18,9.5,50071873.258345
2026-04-09,9.35,10.02,9.3,9.67,50414815.736793
2026-04-10,9.735,9.89,9.39,9.54,36746406.321589
2026-04-13,9.27,10.42,9.18,10.36,50103269.578433
2026-04-14,10.62,11.01,10.42,10.49,46137993.557791
2026-04-15,10.61,10.61,10.11,10.47,38864391.433786
2026-04-16,10.57,11.6899,10.31,11.55,56410936.367682
2026-04-17,11.66,12.12,11.45,11.6,52372136.29711
2026-04-20,11.3,11.815,11.07,11.63,41940073.421549
2026-04-21,11.58,11.66,11.02,11.23,41202148.584499
2026-04-22,11.83,12.19,11.68,11.84,53005399.78851
2026-04-23,11.66,12.22,11.57,11.8,43318148.921573
2026-04-24,11.99,12.095,11.28,11.64,46709099.961899
2026-04-27,11.548,11.66,11.085,11.18,31585614.110399
2026-04-28,10.81,11.03,10.6,11.02,30770238.511932
2026-04-29,10.92,10.92,10.27,10.72,34566810.978354
2026-04-30,11.095,12.27,11.055,11.99,82854242.869029
2026-05-01,12.28,12.37,11.38,11.46,51115289.39273
2026-05-04,11.43,11.85,11.26,11.83,42895551.859899
2026-05-05,12.04,12.29,11.78,12.16,39261890.752572
2026-05-06,12.545,13.12,12.25,13.03,52771857.69477
2026-05-07,12.73,13.045,12.23,12.7,40149559.17105
2026-05-08,12.57,13.35,12.2,12.94,48391814.607167
2026-05-11,12.96,13.8,12.59,13.39,49736848.622765
2026-05-12,12.905,12.94,11.73,12.72,50215734.415071
2026-05-13,12.625,13.09,12.29,12.75,30744306.97586
2026-05-14,12.73,13.7,12.45,13.29,51372344.870068
2026-05-15,12.85,12.89,12.125,12.44,40007187.237732
2026-05-18,12.08,12.26,11.6237,12.18,35663137.451331
2026-05-19,11.875,12.585,11.53,12.44,35290905.453293
2026-05-20,12.635,13.5,12.5301,13.15,51458005.342409
2026-05-21,13.14,13.77,13.08,13.55,34844331.856407
2026-05-22,13.57,14.11,13.41,13.81,40169120.839416
2026-05-26,14.235,14.87,14.08,14.28,42643516.577841
2026-05-27,14.21,14.48,13.835,14.33,33746334.764545
2026-05-28,13.944,14.215,13.58,14.07,37642703.248677
2026-05-29,13.87,14.6389,13.58,14.38,47772218.450696
2026-06-01,14.05,15.315,13.66,14.85,51422343.045084
2026-06-02,14.575,15.01,14.1,14.28,39020264.739725
2026-06-03,14.0,14.375,13.695,13.96,32010384.379655
2026-06-04,13.49,14.065,13.27,13.88,34354982.136726
2026-06-05,13.39,13.4,11.84,12.32,41247102.968511
2026-06-08,12.775,13.97,12.6025,13.78,32778447.182725
2026-06-09,14.0,14.4,12.64,13.31,48297793.913637
2026-06-10,13.22,13.6,12.62,12.62,33286934.002879
2026-06-11,12.612,13.68,12.502,13.61,34814790.754789
2026-06-12,13.73,14.715,13.62,14.08,41808577.991251
