date,open,high,low,close,volume
2026-02-02,369.75,381.0,359.95,372.68,1086448.0
2026-02-03,371.365,372.815,333.17,346.06,1991763.0
2026-02-04,339.16,342.81,318.92,337.6,2587316.0
2026-02-05,331.82,342.14,324.18,326.5,1616724.0
2026-02-06,339.84,344.66,319.3,344.35,1930277.0
2026-02-09,346.07,363.07,343.59,357.77,1485331.0
2026-02-10,383.3,388.0,366.95,377.26,2417875.0
2026-02-11,382.08,386.65,352.35,364.46,1651213.0
2026-02-12,364.5,372.58,345.0,356.74,1609568.0
2026-02-13,353.5,372.8,350.0,368.4,1337211.0
2026-02-17,364.755,364.755,340.4,354.36,1652300.0
2026-02-18,354.02,366.53,346.63,363.07,921403.0
2026-02-19,362.175,363.58,353.5,355.89,941209.0
2026-02-20,348.53,363.21,338.85,344.56,1383475.0
2026-02-23,337.65,337.95,298.0,305.37,3012423.785385
2026-02-24,304.02,319.72,292.53,312.51,2327840.732509
2026-02-25,311.29,319.186,305.75,314.99,1938722.506784
2026-02-26,321.85,338.515,318.25,336.61,2242557.930264
2026-02-27,328.785,331.3,319.21,328.47,1825523.569488
2026-03-02,322.87,333.68,320.6,325.01,4945776.373697
2026-03-03,235.405,263.98,229.6,252.73,12122837.24217
2026-03-04,255.75,257.45,245.74,248.01,4009643.527385
2026-03-05,249.87,268.77,249.87,263.93,3778472.784872
2026-03-06,259.0,275.37,258.02,270.47,2999136.194473
2026-03-09,266.2,272.705,263.0,271.74,1656368.5471
2026-03-10,271.0,276.1025,262.15,270.56,2075470.81891
2026-03-11,273.3,278.69,266.64,270.57,1340847.092292
2026-03-12,266.91,274.69,259.2,260.68,1801304.402738
2026-03-13,260.29,268.55,256.65,260.5,1556098.19669
2026-03-16,260.89,273.855,260.89,266.95,1386885.684393
2026-03-17,265.31,278.68,265.0,272.27,1340481.792237
2026-03-18,270.22,275.91,267.89,268.52,1142724.15538
2026-03-19,266.0,273.0,264.0,270.16,1303508.13633
2026-03-20,268.34,268.34,258.6,261.16,1686667.95364
2026-03-23,270.17,279.9825,268.0,273.25,1414983.060551
2026-03-24,269.11,270.9899,253.44,253.76,1381764.333483
2026-03-25,257.57,258.2,240.55,246.54,2038300.153921
2026-03-26,241.26,250.87,240.72,241.28,1259093.706583
2026-03-27,237.63,239.035,230.01,235.51,1440131.541946
2026-03-30,234.83,242.16,232.61,235.21,1167247.730799
2026-03-31,236.75,246.576,235.1046,244.77,1083947.334
2026-04-01,248.45,253.41,244.77,249.36,1244433.765729
2026-04-02,245.9,254.13,241.38,253.12,1289445.181027
2026-04-06,253.61,256.46,247.2851,255.01,1510985.240542
2026-04-07,253.03,256.99,248.47,254.08,871856.867432
2026-04-08,265.12,266.5,246.7,250.32,1903409.379488
2026-04-09,250.75,250.75,229.03,229.49,2586090.757895
2026-04-10,230.52,232.04,215.68,225.95,3075475.781035
2026-04-13,226.34,237.54,224.62,236.14,1471158.694697
2026-04-14,236.6,242.43,232.4217,233.6,1213894.380426
2026-04-15,234.8098,244.69,231.0,244.06,1818562.511969
2026-04-16,252.0,255.65,246.545,251.14,1489822.070098
2026-04-17,254.39,269.4216,250.04,263.38,2582823.730871
2026-04-20,262.98,268.885,257.15,264.11,1481947.660901
2026-04-21,266.1,272.765,261.0,261.43,1064807.373509
2026-04-22,267.77,272.37,265.1,269.54,1181638.193264
2026-04-23,257.555,258.49,250.07,258.11,1814739.855636
2026-04-24,258.0,258.1,240.62,253.59,2074260.110853
2026-04-27,253.59,265.72,251.3706,264.38,1252527.796021
2026-04-28,264.97,269.98,256.32,258.2,1214198.287092
2026-04-29,255.305,259.67,251.5733,258.29,852217.861706
2026-04-30,258.29,258.49,244.88,250.83,1844264.711653
2026-05-01,260.85,269.6,260.21,263.46,1418783.745903
2026-05-04,263.65,270.62,259.79,264.69,1049062.566431
2026-05-05,267.29,272.87,260.0,266.68,926950.236324
2026-05-06,265.4,268.82,255.62,265.26,839332.313533
2026-05-07,290.06,304.03,289.13,293.42,3614403.656967
2026-05-08,289.65,301.15,282.05,299.47,1813007.378494
2026-05-11,294.98,305.45,289.72,294.65,1441701.924518
2026-05-12,307.74,317.21,305.82,308.72,2653970.928155
2026-05-13,307.19,310.96,296.27,303.0,1546583.584423
2026-05-14,302.05,304.7035,292.46,303.09,1145661.413551
2026-05-15,304.5,316.84,301.26,312.16,1454729.711272
2026-05-18,311.91,339.97,309.4,330.0,2690233.965497
2026-05-19,338.63,349.21,331.01,334.68,1880351.157692
2026-05-20,331.3,336.83,323.59,329.14,1421071.636167
2026-05-21,325.4,325.4,312.73,317.5,1978991.202965
2026-05-22,318.05,330.99,318.05,326.13,1264180.589713
2026-05-26,314.365,317.46,303.8,307.35,3220205.609853
2026-05-27,301.402,303.8999,292.72,294.46,3148195.326126
2026-05-28,321.495,331.85,316.2,325.68,9641949.642779
2026-05-29,350.5,352.59,303.97,335.55,10612619.214658
2026-06-01,346.0,409.0,345.5,403.88,6787728.4862
2026-06-02,387.55,412.0,385.44,398.46,2474468.361886
2026-06-03,391.27,392.49,364.37,368.32,2096285.253113
2026-06-04,371.945,390.0,369.0,380.18,1690659.80095
2026-06-05,375.09,381.0,350.11,350.74,1786156.849192
