date,open,high,low,close,volume
2026-02-02,102.85,103.32,102.11,102.71,7284239.0
2026-02-03,102.71,105.025,102.555,103.18,10725641.0
2026-02-04,103.32,105.5,101.19,101.84,12572091.0
2026-02-05,101.92,104.5,101.92,102.95,9834986.0
2026-02-06,102.99,103.7499,101.89,102.9,6618197.0
2026-02-09,103.59,103.625,101.43,101.65,8888848.0
2026-02-10,101.6,103.11,100.88,101.42,9032288.0
2026-02-11,101.22,101.22,98.62,101.08,10405989.0
2026-02-12,101.13,102.05,100.56,100.88,9379147.0
2026-02-13,100.92,102.505,99.12,99.49,10354801.0
2026-02-17,95.875,98.12,95.5,96.41,17374819.0
2026-02-18,96.0,98.55,95.945,98.49,10367992.0
2026-02-19,98.36,98.7205,96.88,97.58,9888427.0
2026-02-20,97.18,97.865,96.465,96.86,7188694.0
2026-02-23,96.65,98.98,96.54,98.61,5960120.671326
2026-02-24,98.54,98.73,96.57,96.75,7614107.950032
2026-02-25,96.32,97.39,95.895,96.65,6830917.49857
2026-02-26,97.1,97.6,95.985,97.03,7910880.854546
2026-02-27,96.69,98.0599,96.3,97.66,8290547.655335
2026-03-02,97.11,98.77,96.71,98.1,6393946.817974
2026-03-03,97.27,97.7284,95.985,96.71,6728039.064007
2026-03-04,96.68,96.9,95.42,95.6,7236087.409136
2026-03-05,94.75,94.8981,92.315,93.01,8368744.392649
2026-03-06,92.49,92.67,90.17,90.9,10787213.612709
2026-03-09,90.0,91.54,89.01,91.34,11112358.601386
2026-03-10,91.21,91.41,89.1506,89.89,8834439.850833
2026-03-11,90.0,90.35,87.99,88.97,7974055.721383
2026-03-12,89.38,90.17,87.31,87.38,11034135.995653
2026-03-13,87.66,88.56,86.72,87.14,7923383.597661
2026-03-16,87.41,88.75,87.25,88.24,8110063.626629
2026-03-17,88.46,89.365,88.16,88.44,6283027.469018
2026-03-18,88.05,88.727,87.06,87.21,7081775.780194
2026-03-19,87.25,87.7197,86.51,86.87,5755710.153688
2026-03-20,86.83,87.275,85.78,86.16,11113868.503861
2026-03-23,87.24,87.68,86.36,87.17,6903337.791109
2026-03-24,86.49,87.3,86.1601,86.58,6696405.654995
2026-03-25,86.9,88.07,86.3401,87.89,9380121.545071
2026-03-26,87.3,89.18,87.3,87.67,10770061.96115
2026-03-27,87.32,87.53,86.35,87.14,10312350.580386
2026-03-30,87.45,87.53,85.65,85.74,8716183.902468
2026-03-31,86.72,86.78,84.92,86.65,7342182.453334
2026-04-01,86.58,86.96,85.4,86.06,7408644.108499
2026-04-02,85.86,86.965,85.2101,86.63,4687667.728829
2026-04-06,86.43,87.3,86.07,86.28,4532309.236053
2026-04-07,85.99,86.97,85.31,86.42,6995410.552171
2026-04-08,87.865,88.84,86.91,88.65,12720898.578956
2026-04-09,87.91,88.55,87.3,87.91,7896838.06597
2026-04-10,88.35,88.35,87.07,87.21,8279818.052026
2026-04-13,87.0,88.16,86.41,88.0,8277152.323561
2026-04-14,88.0,88.67,87.43,88.12,5640336.555468
2026-04-15,87.86,87.905,86.45,87.1,8543161.203093
2026-04-16,86.82,87.58,85.505,85.65,8816850.994734
2026-04-17,85.72,87.05,85.55,86.19,10461061.615188
2026-04-20,85.99,87.05,84.99,85.0,8500582.435902
2026-04-21,85.25,85.35,81.96,82.0,10786358.49949
2026-04-22,82.9,84.27,82.66,83.22,10669067.96207
2026-04-23,83.85,84.25,82.87,83.79,7864775.926546
2026-04-24,83.51,83.77,82.775,83.32,6570203.38067
2026-04-27,83.12,84.05,82.8632,82.92,6635219.238336
2026-04-28,83.73,84.0,81.25,81.9,9889167.889464
2026-04-29,81.44,81.45,78.91,79.37,10814128.572211
2026-04-30,79.5,81.11,78.98,80.97,15781683.377448
2026-05-01,80.95,81.17,79.97,80.0,8268505.566232
2026-05-04,79.47,79.5949,78.29,78.3,11134052.14356
2026-05-05,78.5,78.55,77.3913,77.79,9327189.358857
2026-05-06,78.18,78.4599,77.16,77.6,11477417.992038
2026-05-07,77.99,79.115,77.64,77.96,10008263.957877
2026-05-08,78.34,78.34,75.91,76.15,10199475.607501
2026-05-11,76.25,76.5,74.4,74.54,10495717.971351
2026-05-12,74.97,77.125,74.6,76.82,10255151.872848
2026-05-13,75.93,76.48,75.4,76.21,10975166.757771
2026-05-14,76.355,77.0983,75.935,76.97,7444027.065613
2026-05-15,77.0,77.38,75.85,76.15,9127303.821263
2026-05-18,76.3,77.55,76.03,77.32,10973288.792677
2026-05-19,77.35,78.99,76.74,78.58,11931681.528867
2026-05-20,78.17,78.6,77.35,78.15,9665664.867538
2026-05-21,77.49,78.17,76.98,78.15,9226489.816257
2026-05-22,78.4,79.25,78.2069,78.6,7051744.535666
2026-05-26,78.55,78.55,77.47,77.6,6704214.903515
2026-05-27,77.68,78.22,75.84,75.98,10474883.909201
2026-05-28,75.55,76.26,75.295,75.57,13098873.801656
2026-05-29,75.85,75.85,73.67,73.81,22243503.720838
2026-06-01,74.0,75.03,73.765,73.98,14209849.007611
2026-06-02,73.81,74.48,73.31,73.75,14441699.946822
2026-06-03,77.12,78.36,76.27,77.95,20289729.159645
2026-06-04,80.0,82.83,79.87,81.93,19849637.125083
2026-06-05,82.1,82.68,81.11,81.67,15286759.16897
