date,open,high,low,close,volume
2026-02-02,2134.51,2184.9,2112.2801,2147.22,342198.0
2026-02-03,2145.0,2158.265,2065.6392,2099.9,502041.0
2026-02-04,2085.31,2090.26,1985.34,2052.78,766896.0
2026-02-05,2066.02,2094.09,2024.1401,2034.76,519063.0
2026-02-06,2042.425,2042.425,1913.0,1970.15,938144.0
2026-02-09,1984.015,2037.02,1958.88,2035.59,546634.0
2026-02-10,2035.18,2082.09,2012.33,2025.32,545650.0
2026-02-11,2053.23,2060.0,1972.0,2018.18,471003.0
2026-02-12,2092.62,2113.9,1997.0001,2007.0,584395.0
2026-02-13,1990.26,2006.32,1963.47,1988.26,425771.0
2026-02-17,1975.39,2006.66,1931.12,1975.51,425711.0
2026-02-18,1988.205,2047.8672,1976.0,2009.05,328066.0
2026-02-19,2009.08,2025.39,1990.18,1996.55,284678.0
2026-02-20,1986.01,2020.5499,1964.8675,1996.87,361113.0
2026-02-23,1995.35,2008.19,1848.91,1864.46,757872.408373
2026-02-24,1885.0,1928.96,1857.12,1922.56,900838.69957
2026-02-25,1760.12,1781.4799,1654.24,1767.71,2381191.784521
2026-02-26,1791.0,1796.0,1731.26,1740.88,1089704.120719
2026-02-27,1739.37,1775.98,1721.41,1757.58,792929.151634
2026-03-02,1700.15,1780.0,1682.12,1777.0,818928.277895
2026-03-03,1688.88,1721.9599,1660.2,1714.01,977641.207065
2026-03-04,1731.755,1789.0,1727.0,1769.03,520948.852264
2026-03-05,1769.7,1810.62,1765.0,1780.36,489818.652981
2026-03-06,1758.125,1794.17,1738.55,1787.86,440041.68361
2026-03-09,1742.71,1769.52,1721.41,1769.52,601173.360469
2026-03-10,1773.495,1773.495,1723.699,1742.09,442005.401234
2026-03-11,1745.26,1766.56,1726.46,1766.1,367969.521365
2026-03-12,1700.0,1712.69,1631.18,1680.0,1203895.930578
2026-03-13,1670.8,1695.0,1645.909,1670.0,678931.217214
2026-03-16,1685.0,1741.96,1681.0,1732.33,466005.959033
2026-03-17,1733.33,1752.262,1711.0,1728.14,362733.765475
2026-03-18,1718.45,1741.21,1686.99,1690.26,366872.90484
2026-03-19,1680.015,1684.03,1648.51,1666.93,427484.357176
2026-03-20,1656.0,1671.72,1631.18,1635.76,537380.397835
2026-03-23,1662.46,1691.7915,1637.21,1666.08,460670.137951
2026-03-24,1647.32,1653.52,1606.21,1612.02,511063.551324
2026-03-25,1637.1,1658.66,1617.25,1639.47,403799.960839
2026-03-26,1624.77,1668.59,1620.0,1630.99,290137.630348
2026-03-27,1618.955,1633.12,1593.21,1599.52,546356.509653
2026-03-30,1608.05,1633.5829,1598.23,1619.2,385822.369721
2026-03-31,1645.0,1741.64,1631.02,1729.02,800442.532788
2026-04-01,1740.155,1741.0399,1692.31,1718.97,643621.773257
2026-04-02,1689.965,1737.99,1684.085,1715.52,290514.499053
2026-04-06,1706.58,1727.26,1694.001,1710.37,210667.762532
2026-04-07,1714.26,1744.91,1691.91,1742.3,351316.03447
2026-04-08,1822.785,1843.91,1765.43,1775.74,521108.041477
2026-04-09,1783.49,1802.22,1744.1,1793.205,322689.475941
2026-04-10,1801.0,1812.89,1756.8701,1773.96,366930.84853
2026-04-13,1761.75,1839.01,1761.11,1831.93,465483.559424
2026-04-14,1841.0,1878.85,1836.339,1840.66,358273.018567
2026-04-15,1858.1895,1887.0736,1843.035,1872.12,470744.681776
2026-04-16,1860.74,1891.5,1808.6,1822.13,412601.200617
2026-04-17,1850.19,1875.0,1832.5,1855.83,360958.169984
2026-04-20,1855.83,1871.44,1835.01,1870.08,356896.00421
2026-04-21,1884.01,1902.9999,1851.0,1854.18,260883.378197
2026-04-22,1871.74,1881.38,1843.96,1860.98,255561.439235
2026-04-23,1845.15,1846.85,1792.32,1809.2,304035.613083
2026-04-24,1819.43,1841.06,1799.715,1835.22,299236.547999
2026-04-27,1832.84,1874.2299,1832.01,1839.28,365050.937285
2026-04-28,1839.91,1846.33,1778.34,1791.99,329141.019064
