date,open,high,low,close,volume
2026-02-02,115.13,117.245,112.5,112.82,1336369.0
2026-02-03,109.58,109.58,100.08,101.71,3585590.0
2026-02-04,98.47,108.72,95.0801,104.8,5088993.0
2026-02-05,101.37,104.065,94.27,94.59,3036243.0
2026-02-06,96.01,98.63,92.73,98.0,3548886.0
2026-02-09,76.92,80.9,73.01,77.63,12910420.0
2026-02-10,76.8,77.93,73.2,74.11,6974532.0
2026-02-11,73.47,76.535,68.68,73.09,8123944.0
2026-02-12,72.556,77.9,70.7,73.63,6008606.0
2026-02-13,74.93,77.0,72.08,72.38,4040375.0
2026-02-17,71.59,75.29,71.33,74.34,4576870.0
2026-02-18,74.34,77.83,72.95,77.0,3027582.0
2026-02-19,76.85,77.99,75.46,76.0,3108875.0
2026-02-20,75.88,79.68,74.91,75.58,3413114.0
2026-02-23,71.81,72.34,68.93,70.125,4559395.071153
2026-02-24,70.65,76.42,69.7211,75.34,4215058.5593
2026-02-25,75.63,75.805,71.9,74.31,2239129.485358
2026-02-26,74.99,79.125,73.77,75.6,2103558.218293
2026-02-27,72.8,73.87,71.0,72.64,2083632.341011
2026-03-02,71.89,73.89,69.76,70.98,2475190.047851
2026-03-03,69.78,74.0,68.8,73.56,2134656.100606
2026-03-04,73.51,76.61,72.75,76.03,1363607.76061
2026-03-05,76.72,81.85,76.72,78.48,1906242.071795
2026-03-06,78.23,79.57,76.39,78.7,1166418.306931
2026-03-09,77.99,81.21,76.76,81.06,2288266.922177
2026-03-10,81.0,81.18,77.01,77.6,1961233.889042
2026-03-11,78.96,79.22,73.76,76.03,1493202.542345
2026-03-12,75.52,78.0,73.15,73.58,1548233.594583
2026-03-13,73.46,76.98,73.16,74.86,1363250.16086
2026-03-16,74.61,75.97,73.72,74.4,1433333.366435
2026-03-17,74.43,77.69,73.91,75.28,831452.213264
2026-03-18,74.24,77.06,73.79,73.97,1096316.78669
2026-03-19,73.8,77.29,73.01,74.73,1346339.748912
2026-03-20,74.36,75.95,72.01,73.85,1486229.101873
2026-03-23,74.32,76.84,73.4843,75.47,1148644.511577
2026-03-24,74.31,74.37,70.735,72.37,1232725.825777
2026-03-25,74.79,75.2,68.7,69.28,1462414.234139
2026-03-26,68.55,70.85,67.5,69.38,1833102.416967
2026-03-27,67.75,68.165,66.26,66.47,1461373.77274
2026-03-30,67.01,69.42,66.88,67.88,1168212.54521
2026-03-31,68.9,70.59,68.25,69.11,984039.88536
2026-04-01,69.95,70.49,67.1,68.1,956178.190346
2026-04-02,68.1,69.3,66.36,68.34,865821.164699
2026-04-06,68.34,69.28,66.18,67.7,1108910.252374
2026-04-07,67.07,68.08,66.15,66.71,884872.085423
2026-04-08,69.26,70.0,65.41,65.64,1848307.654704
2026-04-09,64.71,65.0,61.61,62.39,1759255.890738
2026-04-10,62.5,62.53,57.5,58.81,2526980.502435
2026-04-13,58.92,63.67,58.11,63.55,2407324.13048
2026-04-14,63.55,65.66,61.2,61.69,1610237.464001
2026-04-15,64.4,65.61,63.11,65.43,2431432.885869
2026-04-16,66.6,67.74,64.5,66.37,1961705.480937
2026-04-17,68.89,68.95,64.54,64.99,1287342.009647
2026-04-20,64.25,68.46,64.0,68.41,1633650.336163
2026-04-21,69.19,73.58,67.42,67.86,1554686.951237
2026-04-22,68.91,70.49,68.02,69.74,1406264.724041
2026-04-23,66.3,66.3,62.17,64.6,2002508.256127
2026-04-24,65.22,67.86,64.75,67.79,1177188.627234
2026-04-27,67.29,69.19,66.61,68.02,1056454.958795
2026-04-28,68.93,70.065,66.39,67.25,1142696.581135
2026-04-29,66.52,67.03,65.18,66.66,621238.21671
2026-04-30,65.49,66.485,63.89,65.87,1001947.999136
2026-05-01,69.78,73.01,68.34,72.74,1994604.363681
2026-05-04,72.63,78.68,72.5,77.32,2131250.590037
2026-05-05,77.11,77.47,73.8,75.95,1330385.894748
2026-05-06,74.7,74.76,72.03,73.97,1388727.237367
2026-05-07,75.3,77.81,75.3,76.39,1459626.061907
2026-05-08,71.89,72.9076,68.86,72.07,2595078.518934
2026-05-11,85.51,88.48,73.17,76.91,8527092.994568
2026-05-12,76.79,77.73,71.94,71.99,2487803.007328
2026-05-13,71.32,71.32,67.1202,67.7,2306376.029291
2026-05-14,67.87,71.09,65.915,69.73,1777168.953924
2026-05-15,69.53,72.95,68.55,71.97,1684918.665218
2026-05-18,71.78,78.47,71.45,78.04,2897493.077634
2026-05-19,79.7,82.87,76.71,78.005,2268193.726187
2026-05-20,75.625,79.15,73.55,79.15,1430531.531294
2026-05-21,77.57,77.7931,75.35,76.26,1213059.11916
2026-05-22,77.59,81.1,77.5,79.055,1300330.885759
2026-05-26,78.25,79.26,75.3548,76.83,1703046.456373
2026-05-27,74.95,79.0,74.002,76.42,1728398.778608
2026-05-28,77.61,79.87,76.05,77.49,1307308.729042
2026-05-29,79.26,83.92,78.455,83.62,5999375.820195
2026-06-01,90.54,97.3,87.33,95.47,4003175.446119
2026-06-02,88.75,92.24,87.51,91.51,2753344.863785
2026-06-03,89.55,89.775,84.76,85.95,1598651.602224
2026-06-04,88.99,90.76,86.5,87.31,1367734.873077
2026-06-05,87.31,88.75,82.08,85.74,1693969.81895
2026-06-08,84.87,85.38,83.17,83.76,768876.186634
2026-06-09,82.27,83.42,78.95,83.23,1844994.952927
2026-06-10,80.35,83.95,80.35,81.7,977543.43397
2026-06-11,80.185,82.85,77.63,79.58,2045082.462668
