date,open,high,low,close,volume
2026-02-02,12.7393,13.0339,10.3093,10.9426,238797.51
2026-02-03,10.9647,11.782,9.4256,9.6686,197322.832
2026-02-04,9.7644,10.1399,9.3814,10.1399,74381.734
2026-02-05,9.3446,10.0773,9.3373,9.9926,197358.14
2026-02-06,10.5302,11.9661,9.757,10.2798,618605.666
2026-02-09,9.9264,10.6406,9.9116,9.9411,201474.238
2026-02-10,9.6907,10.0295,9.6907,9.9558,315422.66
2026-02-11,9.6613,10.0221,9.6613,9.9853,155098.538
2026-02-12,9.676,9.7644,8.7187,9.19,203224.7
2026-02-13,8.6819,8.7628,8.4687,8.6672,64306.732
2026-02-17,8.4021,8.6929,7.732,8.4315,113460.9
2026-02-18,8.4683,8.4978,8.1591,8.3284,148794.702
2026-02-19,8.1885,8.3947,7.894,7.9013,52974.222
2026-02-20,7.8792,8.0928,7.6657,8.0191,53767.294
2026-02-23,7.8351,8.0633,7.3932,7.4153,18927.043257
2026-02-24,7.408,8.0781,7.3711,7.8277,93589.692304
2026-02-25,7.7467,9.0943,7.7467,8.947,57083.849092
2026-02-26,8.7923,8.8144,8.1075,8.4757,51748.089979
2026-02-27,8.2622,8.5959,8.2548,8.3947,46470.66494
2026-03-02,8.137,9.6539,8.137,9.5361,52208.847276
2026-03-03,9.5582,10.1436,8.8918,10.1178,60421.747088
2026-03-04,9.838,10.3166,9.5729,10.162,107154.99871
2026-03-05,10.4117,11.4212,10.4117,10.7069,43840.379763
2026-03-06,10.8247,11.0457,9.4404,9.9411,83186.932444
2026-03-09,9.4993,9.9411,9.2784,9.8675,18815.106481
2026-03-10,9.6686,10.6801,9.5267,10.6554,26639.512179
2026-03-11,10.3387,10.5228,9.7102,10.3166,21488.509478
2026-03-12,10.0074,10.4102,9.3299,9.595,121093.156982
2026-03-13,9.8085,10.8638,9.3814,9.7496,25536.950585
2026-03-16,9.8659,10.6775,9.8164,10.6259,28895.98324
2026-03-17,10.4197,11.4654,10.0194,10.9205,32129.557545
2026-03-18,10.6811,11.5317,10.6811,11.1119,25377.244755
2026-03-19,11.4212,11.5906,10.5781,10.7069,21953.414802
2026-03-20,10.9352,11.0751,9.6171,10.3166,72864.510906
2026-03-23,10.3829,10.5707,9.2048,9.8085,54335.365242
2026-03-24,9.9412,10.2356,9.9412,10.0331,20745.751974
2026-03-25,9.9558,11.3844,9.9558,10.567,57834.65109
2026-03-26,10.6775,12.2533,10.6775,10.891,59060.235979
2026-03-27,11.1193,14.7275,11.0162,13.5052,230312.401479
2026-03-30,14.1753,14.1753,11.1193,11.4359,75260.413933
2026-03-31,10.9278,12.1554,9.838,10.1767,35286.807939
2026-04-01,9.7202,10.0619,8.1222,8.6892,65111.92141
2026-04-02,8.4683,9.1311,8.3211,8.4757,40421.336132
2026-04-06,8.4757,8.6169,7.5166,7.6141,44568.205358
2026-04-07,9.09,12.98,8.8,12.13,1059355.895706
2026-04-08,12.32,12.69,10.7,11.05,138329.038544
2026-04-09,11.0,12.71,10.91,11.51,84807.790745
2026-04-10,11.5,11.95,10.75,10.9,65336.476962
2026-04-13,10.87,13.49,10.87,13.29,93877.231113
2026-04-14,13.33,16.24,12.51,16.02,121612.100615
2026-04-15,15.0,15.7999,13.6601,14.725,69739.18111
2026-04-16,15.13,17.5,15.13,15.89,89280.87121
2026-04-17,15.61,16.87,15.61,16.4,64872.538747
2026-04-20,16.1,17.28,15.76,16.86,40400.482546
2026-04-21,16.85,17.21,16.36,17.0,26252.342569
2026-04-22,17.15,17.52,16.72,17.36,40047.195527
2026-04-23,16.82,17.0,16.2,16.42,40579.084157
2026-04-24,16.67,18.9,16.0301,17.12,61387.188544
2026-04-27,17.03,18.25,16.272,17.94,33630.925114
2026-04-28,17.93,17.93,17.39,17.44,13588.58537
2026-04-29,17.03,17.455,15.56,15.85,56223.140961
2026-04-30,15.98,16.1,15.3,15.9,26307.273953
2026-05-01,16.48,16.48,14.59,14.71,51666.26112
2026-05-04,14.7,14.7,12.3819,13.1,111788.726042
2026-05-05,13.31,14.2,13.31,13.93,28933.495033
2026-05-06,13.6,14.4162,13.1,13.45,49225.531373
2026-05-07,13.7,14.375,13.54,13.85,52396.68555
2026-05-08,13.99,14.15,13.5,13.95,53313.598125
2026-05-11,14.56,14.56,13.54,14.03,43396.732527
2026-05-12,14.44,15.42,13.11,15.09,76227.958029
2026-05-13,15.17,19.735,14.06,19.25,177355.411065
2026-05-14,19.0,21.93,18.29,20.92,126908.884858
2026-05-15,20.92,21.14,19.44,19.9,61820.448314
2026-05-18,20.32,20.555,17.53,18.44,59806.369525
2026-05-19,18.38,22.88,18.1,22.2,135688.900586
2026-05-20,23.18,25.9,20.0,23.89,123662.071001
2026-05-21,23.6,25.0,22.3625,24.46,94196.083726
2026-05-22,23.0,24.46,20.31,22.89,82192.59763
2026-05-26,22.0,24.67,21.62,23.12,58806.413976
2026-05-27,22.58,22.625,20.75,21.74,74167.689915
2026-05-28,21.52,22.295,20.291,21.02,51471.16359
2026-05-29,21.0,21.0,18.9,19.0,49152.513944
2026-06-01,18.74,21.0,18.74,20.79,41167.306795
2026-06-02,20.75,21.0,19.12,20.9,31959.529403
2026-06-03,21.44,21.87,20.76,21.34,49806.004915
2026-06-04,21.54,21.66,19.5,20.9,36156.083762
2026-06-05,20.16,20.16,18.53,18.68,59958.748097
