date,open,high,low,close,volume
2026-02-06,76.835,80.75,76.52,80.28,22581787.0
2026-02-09,79.605,83.06,78.67,82.35,13775402.0
2026-02-10,82.685,83.4,81.49,82.01,10561407.0
2026-02-11,83.595,83.78,79.205,81.34,11636729.0
2026-02-12,82.19,82.19,77.44,78.23,13643781.0
2026-02-13,77.95,79.97,77.745,78.61,7615413.0
2026-02-17,77.315,80.32,76.6333,79.01,10568517.0
2026-02-18,79.15,80.4,78.485,79.09,8408247.0
2026-02-19,78.38,79.67,77.72,79.61,6512171.0
2026-02-20,78.24,80.3448,77.6001,79.48,8795346.0
2026-02-23,78.385,79.105,76.07,77.79,11622595.222153
2026-02-24,78.0,79.7,77.175,78.39,8396221.211861
2026-02-25,79.01,81.188,78.97,80.92,10524690.82509
2026-02-26,81.11,81.63,77.15,79.29,12326477.215597
2026-02-27,80.03,82.29,78.66,81.69,20253816.133179
2026-03-02,79.63,82.82,79.4,80.86,15228517.63564
2026-03-03,77.845,79.08,76.65,77.51,15826412.627676
2026-03-04,78.7,79.5,77.26,78.09,14677547.043163
2026-03-05,78.9,80.26,75.24,75.68,42620182.965993
2026-03-06,84.715,93.4,83.4,89.57,90071099.315496
2026-03-09,87.925,92.925,84.2,92.65,38873542.248417
2026-03-10,92.57,95.05,91.62,93.3,26499497.960302
2026-03-11,93.6,95.01,90.18,90.44,18446161.954939
2026-03-12,89.85,90.025,87.37,87.67,16854393.904096
2026-03-13,87.76,90.5,86.8214,87.86,14108104.438683
2026-03-16,89.145,92.52,89.115,91.58,15875483.613984
2026-03-17,92.3,93.44,90.35,90.79,11622635.755131
2026-03-18,90.8,92.02,87.17,87.62,16096678.507904
2026-03-19,86.27,89.74,85.13,89.53,13388783.949794
2026-03-20,88.9,90.48,86.66,87.91,25570428.405451
2026-03-23,89.45,91.58,88.735,90.16,14126670.623634
2026-03-24,88.835,93.16,88.8,92.36,13731247.827936
2026-03-25,94.075,98.82,94.0,98.45,22562386.942437
2026-03-26,97.96,100.6525,97.2239,97.68,26078523.16145
2026-03-27,98.78,99.63,93.4,94.88,16507108.39069
2026-03-30,95.12,96.5,86.61,87.81,21463243.571769
2026-03-31,96.4,99.56,93.05,99.05,51286110.798353
2026-04-01,100.82,107.84,100.49,106.71,44072472.229528
2026-04-02,102.3,107.26,101.13,107.11,23667065.512338
2026-04-06,109.45,111.8883,106.0,109.51,22700501.335921
2026-04-07,108.38,110.115,106.02,109.38,18965190.979899
2026-04-08,114.0,115.66,110.45,114.45,29455912.810885
2026-04-09,118.955,121.97,117.83,119.93,32718479.593353
2026-04-10,123.66,129.84,123.6,128.49,41187042.092968
2026-04-13,129.97,133.2,128.97,131.3,31264666.343355
2026-04-14,136.11,136.9,130.835,133.83,33600662.794011
2026-04-15,132.39,138.19,131.88,134.6,23450119.357133
2026-04-16,132.26,134.69,128.42,133.37,20830200.466701
2026-04-17,134.875,139.91,133.16,139.69,26341334.149676
2026-04-20,147.51,149.58,143.93,147.84,39548524.835115
2026-04-21,148.7,154.95,147.85,151.31,31901127.873695
2026-04-22,153.66,158.69,151.09,157.32,30765815.325139
2026-04-23,157.935,167.86,157.77,165.56,36938706.657489
2026-04-24,169.865,170.84,158.51,164.31,37599066.746243
2026-04-27,162.13,163.45,151.09,158.21,30281827.247544
2026-04-28,147.91,156.0,146.85,153.23,27128723.880195
2026-04-29,153.765,157.21,151.3,156.57,20649046.053584
2026-04-30,160.34,165.61,156.36,165.15,20327046.816951
2026-05-01,162.35,166.39,159.26,164.95,13071674.596354
2026-05-04,165.48,166.82,162.26,163.66,14546950.852421
2026-05-05,168.275,172.981,164.58,168.75,22284440.961668
2026-05-06,172.6,175.8,165.0,172.15,23205334.035098
2026-05-07,171.2,171.5193,158.55,160.01,23683553.592367
2026-05-08,164.685,170.5899,162.9,170.13,20588961.594504
2026-05-11,163.665,174.1589,162.4894,170.84,22947641.575768
2026-05-12,165.455,168.73,157.9604,164.5,21367847.056018
2026-05-13,169.09,182.31,168.91,177.95,31862553.57518
2026-05-14,180.875,192.15,177.33,182.58,32661057.674792
2026-05-15,173.9,182.14,173.34,176.89,24757318.915038
2026-05-18,181.772,182.71,165.1,168.93,24439007.879427
2026-05-19,164.61,181.64,162.852,176.27,25003284.511318
2026-05-20,183.45,193.32,182.28,186.8,29808101.349627
2026-05-21,192.51,194.58,188.2,190.69,21506101.063643
2026-05-22,194.72,198.395,192.22,196.33,19823206.907631
