date,open,high,low,close,volume
2026-02-02,608.45,626.28,601.19,624.75,767496.0
2026-02-03,611.1,614.33,574.19,581.48,1110145.0
2026-02-04,575.14,575.75,558.62,571.02,1116823.0
2026-02-05,584.05,592.04,551.58,565.9,1106225.0
2026-02-06,569.17,575.19,550.0,557.78,959320.0
2026-02-09,557.0,568.48,550.34,559.39,937557.0
2026-02-10,546.01,558.69,513.03,515.66,1259277.0
2026-02-11,517.8,520.33,502.305,511.84,1228891.0
2026-02-12,513.14,527.25,501.08,522.22,1191698.0
2026-02-13,524.32,534.04,520.1901,526.06,984312.0
2026-02-17,529.13,535.35,512.75,521.33,791662.0
2026-02-18,534.17,545.89,530.35,545.25,798567.0
2026-02-19,541.97,550.0,536.35,541.12,582647.0
2026-02-20,539.63,547.98,535.0,544.11,603401.0
2026-02-23,544.45,548.8,537.14,538.39,533688.859576
2026-02-24,534.66,552.0,530.28,548.71,967771.08147
2026-02-25,554.2,558.84,547.67,556.87,525608.065109
2026-02-26,560.37,573.24,558.24,572.87,602763.04929
2026-02-27,564.35,574.57,563.68,571.83,883309.217512
2026-03-02,563.05,575.515,558.46,573.88,435066.055126
2026-03-03,562.91,571.765,557.21,565.59,581990.159128
2026-03-04,566.48,576.04,559.8804,572.37,547360.218776
2026-03-05,568.66,579.07,560.955,566.21,880259.587129
2026-03-06,565.41,569.33,551.3,569.24,660733.318883
2026-03-09,563.64,567.46,550.17,564.41,541002.296311
2026-03-10,559.92,561.48,549.24,550.11,595798.52314
2026-03-11,551.98,556.635,533.6,547.06,560906.107063
2026-03-12,542.02,551.95,535.36,536.35,763403.25315
2026-03-13,540.27,553.11,538.93,547.9,689796.451044
2026-03-16,550.13,554.24,546.68,550.0,450513.918549
2026-03-17,560.0,565.86,557.25,560.41,402773.711473
2026-03-18,554.22,561.12,553.385,556.74,474139.42094
2026-03-19,553.5,559.0697,545.66,556.27,519861.343211
2026-03-20,554.17,556.51,549.03,552.63,1121043.109882
2026-03-23,554.61,565.0,550.4,551.6,442234.683818
2026-03-24,546.62,549.482,535.7,537.65,457387.378874
2026-03-25,541.31,542.21,525.0,530.99,405237.899098
2026-03-26,528.16,538.96,528.0,534.68,335384.934067
2026-03-27,531.37,535.0,520.0,523.4,441779.254686
2026-03-30,526.44,535.505,524.0,531.88,365051.957388
2026-03-31,541.47,544.87,530.0,539.01,443911.843922
2026-04-01,531.17,540.1,525.575,536.9,397514.512026
2026-04-02,533.89,546.665,531.445,544.78,351122.29267
2026-04-06,545.66,549.87,544.5101,546.71,367199.678309
2026-04-07,549.05,552.96,546.142,547.28,524504.205503
2026-04-08,555.83,567.49,554.008,556.93,498977.38157
2026-04-09,552.54,557.09,541.63,545.88,513324.912881
2026-04-10,541.56,545.75,532.52,536.48,534191.178124
2026-04-13,536.1,552.92,535.67,552.75,414711.89345
2026-04-14,553.3,556.8,545.23,545.69,566062.498998
2026-04-15,548.35,562.11,547.1,560.06,425112.806278
2026-04-16,564.92,567.785,561.81,564.9,439003.855609
2026-04-17,569.02,572.9,562.89,568.55,804483.869484
2026-04-20,568.55,570.43,556.36,566.95,584115.438253
2026-04-21,572.87,604.0799,570.75,597.39,1418339.81958
2026-04-22,608.0,621.29,605.0,608.04,899087.591151
2026-04-23,609.33,611.0505,581.685,598.01,778591.083579
2026-04-24,595.0,598.36,589.67,592.69,389290.260032
2026-04-27,590.46,599.71,589.1,591.02,549078.102928
2026-04-28,599.88,602.88,593.4,594.78,629754.450759
2026-04-29,593.93,599.99,587.0,598.13,614186.873627
2026-04-30,591.52,593.49,584.925,591.41,598314.764487
2026-05-01,596.71,602.05,588.36,588.85,266854.905186
2026-05-04,591.55,595.8,580.785,582.27,337838.113735
2026-05-05,582.22,583.56,569.16,580.88,831826.393609
2026-05-06,578.26,584.54,573.62,582.14,834234.512146
2026-05-07,581.93,592.715,580.66,588.37,670714.990776
2026-05-08,589.13,590.505,577.445,585.42,625184.900042
2026-05-11,582.74,588.02,578.17,584.63,664633.129119
2026-05-12,587.31,589.88,576.11,581.09,850667.715413
2026-05-13,576.0,581.3459,554.5075,570.91,690350.684833
2026-05-14,571.0,573.48,565.655,569.69,627354.188374
2026-05-15,570.49,577.1,558.47,561.72,566817.014414
2026-05-18,561.95,585.13,561.95,584.13,558092.843249
2026-05-19,591.99,596.5,577.55,577.69,865515.197033
2026-05-20,576.0,587.105,569.18,581.97,540524.677897
2026-05-21,577.88,585.64,572.86,582.34,446406.291654
2026-05-22,583.68,591.4399,580.0,588.55,412309.820341
2026-05-26,586.3,592.71,579.255,588.52,566730.563977
2026-05-27,598.0,607.26,594.19,603.47,786460.255597
2026-05-28,604.11,627.01,602.0,626.52,1200475.70099
2026-05-29,627.08,640.27,623.0,631.38,1096916.508624
2026-06-01,633.69,644.6775,631.39,643.83,766157.91891
2026-06-02,638.11,641.0,622.04,630.27,974619.026011
2026-06-03,625.62,625.86,613.06,613.58,831648.752902
2026-06-04,623.34,627.44,616.65,618.87,445710.917194
2026-06-05,621.41,624.89,612.44,615.46,457921.30137
2026-06-08,612.56,612.56,600.5,602.94,553687.541564
2026-06-09,602.16,610.1,594.0,607.54,388231.056406
2026-06-10,604.56,609.59,593.9401,608.52,331904.121013
2026-06-11,607.09,609.3,593.415,594.31,408184.446343
