date,open,high,low,close,volume
2026-02-06,377.965,396.65,372.8726,394.69,37196006.0
2026-02-09,380.69,391.8099,370.68,383.5,31009558.0
2026-02-10,375.99,382.79,366.06,373.25,35433808.0
2026-02-11,395.385,414.16,386.57,410.34,48474994.0
2026-02-12,422.25,438.77,411.1648,413.97,45639117.0
2026-02-13,405.19,420.88,392.71,411.66,33807586.0
2026-02-17,400.95,413.66,395.3,399.78,28549505.0
2026-02-18,399.5,427.85,394.6,420.95,32306578.0
2026-02-19,415.81,420.315,407.74,417.35,21651264.0
2026-02-20,415.18,430.57,415.15,428.17,29894907.0
2026-02-23,422.31,431.695,415.3001,420.97,25426639.075335
2026-02-24,429.22,436.27,411.28,418.01,33389161.374959
2026-02-25,426.5,436.8899,423.0,429.0,27296338.124314
2026-02-26,424.84,434.0,401.96,415.56,35433455.777604
2026-02-27,401.81,417.96,401.1818,412.37,28653878.020892
2026-03-02,401.47,417.61,397.0,412.67,30049197.91468
2026-03-03,386.55,390.09,374.55,379.68,39010902.509991
2026-03-04,393.635,407.88,387.6089,400.77,32644899.286761
2026-03-05,398.6,404.53,380.3,397.05,29960060.305284
2026-03-06,380.14,391.1799,367.45,370.3,34458784.525116
2026-03-09,363.96,390.0,357.67,389.32,35547220.219197
2026-03-10,394.01,415.31,393.64,403.11,33745433.064802
2026-03-11,410.77,422.75,405.79,418.69,30191430.634936
2026-03-12,409.995,413.73,396.665,405.35,31720873.825754
2026-03-13,413.75,429.35,413.0,426.13,39260990.226478
2026-03-16,446.16,454.86,437.745,441.8,43067574.512283
2026-03-17,452.535,462.7299,445.1401,461.69,43017891.220229
2026-03-18,464.76,471.34,458.3,461.73,58973662.848995
2026-03-19,424.97,457.22,421.11,444.27,74591901.852863
2026-03-20,443.915,449.1,415.3601,422.9,64224943.017553
2026-03-23,426.145,444.27,401.52,404.35,54807325.554575
2026-03-24,401.28,404.98,388.91,395.53,44975061.627455
2026-03-25,383.0,388.92,371.381,382.09,55328681.762281
2026-03-26,370.02,374.25,350.0,355.46,54515896.141055
2026-03-27,359.86,368.7,354.0601,357.22,45806655.173976
2026-03-30,362.66,362.81,318.4,321.8,73833238.915782
2026-03-31,321.67,337.84,311.49,337.84,73551844.67085
2026-04-01,348.905,377.8899,343.0,367.85,74429797.14457
2026-04-02,341.34,366.9399,340.2,366.24,51498685.53076
2026-04-06,373.8,385.0768,370.61,377.76,41414860.686627
2026-04-07,374.125,379.2499,364.1,377.58,40224123.971417
2026-04-08,415.13,416.0,398.88,406.73,49216633.323632
2026-04-09,407.61,423.94,398.44,421.51,43100965.996917
2026-04-10,420.29,423.86,410.05,420.59,36377568.327156
2026-04-13,416.47,426.88,408.5,426.56,37015799.834388
2026-04-14,434.35,465.78,424.86,465.66,52534896.172784
2026-04-15,457.625,463.95,439.32,456.23,40370110.56313
2026-04-16,452.96,462.34,444.38,457.23,33626377.412496
2026-04-17,466.85,470.97,452.2,455.07,33405025.865273
2026-04-20,458.25,464.56,435.9,448.42,32013562.640227
2026-04-21,451.32,457.82,441.3,449.38,27733985.021759
2026-04-22,462.93,491.98,458.56,487.48,45998149.12235
2026-04-23,482.28,493.6199,471.8,481.72,38178002.042834
2026-04-24,495.915,506.99,489.36,496.72,35379587.478508
2026-04-27,510.56,531.36,510.0185,524.56,41298792.224987
2026-04-28,503.54,518.8333,488.23,504.29,44816645.664899
2026-04-29,526.0,531.02,508.8001,518.46,36248450.425135
2026-04-30,529.74,535.5,502.575,517.16,36554397.402081
2026-05-01,511.78,545.91,510.21,542.21,40215252.378486
2026-05-04,560.6,592.799,557.76,576.45,46043705.074328
2026-05-05,609.775,651.74,605.47,640.2,64268503.389101
2026-05-06,660.37,667.67,627.58,666.59,55725835.572189
2026-05-07,649.83,683.09,635.4201,646.63,47527514.952753
2026-05-08,676.45,747.21,676.21,746.81,65130914.207459
2026-05-11,792.98,818.67,768.0,795.33,70972938.043087
2026-05-12,774.7,782.76,706.601,766.58,73742954.311783
2026-05-13,813.155,814.95,779.47,803.63,54875148.931985
2026-05-14,787.62,812.0,775.63,776.01,42142707.900946
2026-05-15,732.57,749.59,719.0,724.66,48519043.391728
2026-05-18,750.46,757.0,663.25,681.54,60042491.892576
2026-05-19,665.58,725.95,652.21,698.74,61792066.850812
2026-05-20,734.955,735.68,700.66,731.99,48827357.564332
2026-05-21,736.36,764.9,732.2,762.1,42461460.197831
2026-05-22,756.815,780.1999,747.2,751.0,36002915.363795
2026-05-26,820.5,916.7999,820.295,895.88,76560763.83037
2026-05-27,955.66,956.16,888.15,928.41,72295713.179831
2026-05-28,929.83,949.4899,904.78,923.52,49694349.826846
2026-05-29,957.0,981.0,940.51,971.0,60498561.710434
2026-06-01,1009.72,1046.97,1009.5,1035.5,46552116.065041
2026-06-02,1050.0,1076.56,1017.201,1064.1,47555370.325677
2026-06-03,1079.01,1089.29,1038.5,1079.57,40324175.708847
2026-06-04,1007.1,1036.3699,971.68,996.0,54917159.871352
2026-06-05,944.4,961.89,864.01,864.01,77250536.268952
