date,open,high,low,close,volume
2026-03-31,24.1,25.62,24.04,25.175,243402.420227
2026-04-01,26.11,26.93,26.11,26.41,1787490.056682
2026-04-02,25.04,27.6299,24.56,27.2,1181380.122108
2026-04-06,28.15,28.24,27.4006,27.75,1653900.957823
2026-04-07,27.65,27.65,26.6,27.5,925106.439729
2026-04-08,29.37,29.37,28.2001,28.61,1149946.006341
2026-04-09,28.59,28.98,28.3144,28.42,759462.763208
2026-04-10,28.65,28.97,28.12,28.51,616877.978031
2026-04-13,28.4,29.58,28.2001,29.14,831004.882419
2026-04-14,29.99,29.99,28.49,28.85,937651.412056
2026-04-15,29.13,29.44,28.65,29.34,844346.587045
2026-04-16,30.09,31.2899,29.8162,31.27,1815837.244895
2026-04-17,31.67,31.77,30.71,30.85,2012212.777001
2026-04-20,30.75,31.44,30.595,31.15,1638551.193929
2026-04-21,31.55,32.0484,30.94,31.09,1600436.180779
2026-04-22,31.67,32.4,30.98,31.59,1454673.542969
2026-04-23,31.31,31.37,29.53,30.41,1614823.166991
2026-04-24,30.51,30.61,29.3501,29.49,916083.715964
2026-04-27,29.44,29.45,28.3,28.92,1128945.768396
2026-04-28,28.5,28.65,27.83,28.26,876327.165266
2026-04-29,28.25,28.26,27.3131,27.8,998441.157968
2026-04-30,28.33,29.4699,28.325,29.39,916160.569813
2026-05-01,29.97,30.0,28.81,29.22,834268.465327
2026-05-04,29.3,29.48,28.8327,29.28,1101724.177411
2026-05-05,29.99,29.99,28.8,29.12,884595.674109
2026-05-06,29.365,30.4632,29.14,30.43,1132910.417956
2026-05-07,31.0,31.01,29.395,29.58,1334293.007424
2026-05-08,30.45,32.12,30.25,32.09,1800307.039159
2026-05-11,32.56,34.4099,32.25,33.95,5513677.307649
2026-05-12,33.07,33.96,32.331,33.52,3866421.372248
2026-05-13,34.28,34.9,33.4001,34.57,5487998.415278
2026-05-14,34.71,36.08,34.3022,35.91,5239847.148112
2026-05-15,34.63,35.13,34.08,34.51,4683621.704081
2026-05-18,36.32,37.7995,34.9,35.81,13275216.571904
2026-05-19,35.85,36.1,34.02,35.75,5534912.881489
2026-05-20,35.85,36.9295,35.29,36.79,6200642.106228
2026-05-21,36.465,37.3,36.1,36.52,7495163.970775
2026-05-22,37.55,38.95,37.36,38.76,10743711.775433
2026-05-26,41.94,42.68,40.87,41.61,23220839.663485
2026-05-27,42.43,42.47,40.71,41.89,20632347.80189
2026-05-28,41.6,42.14,40.64,41.83,10139868.747704
2026-05-29,40.28,40.3,38.02,40.17,16469855.433957
2026-06-01,38.83,39.14,36.545,37.11,15911861.716623
2026-06-02,37.36,38.5256,37.13,37.77,7431573.115758
2026-06-03,37.03,37.12,35.0,35.22,9126537.85889
2026-06-04,34.98,36.73,34.07,36.06,12737480.530518
2026-06-05,35.0,35.1,32.2,32.64,11047128.275797
2026-06-08,34.18,34.3,32.95,33.33,6659384.206414
2026-06-09,33.89,34.079,30.065,31.6,11554354.282626
2026-06-10,31.48,32.19,30.92,31.24,5991778.781893
2026-06-11,32.14,35.29,31.985,35.24,24552180.510914
2026-06-12,35.265,35.27,31.39,31.93,35317108.900635
