date,open,high,low,close,volume
2026-02-06,79.225,86.66,77.12,86.1,16895651.0
2026-02-09,84.45,93.68,83.81,92.88,13235607.0
2026-02-10,92.915,95.5522,91.66,91.79,10388584.0
2026-02-11,92.915,94.75,87.14,88.61,13933025.0
2026-02-12,84.1,90.76,79.6901,89.73,25735527.0
2026-02-13,89.86,100.32,88.86,98.01,20543825.0
2026-02-17,96.0,99.29,93.5,97.52,11665234.0
2026-02-18,99.73,104.4,96.8571,101.8,13132490.0
2026-02-19,100.43,107.98,100.43,107.61,17315023.0
2026-02-20,106.591,108.32,97.03,97.92,17292004.0
2026-02-23,96.305,101.1627,95.3,100.61,8882203.901493
2026-02-24,99.365,103.75,97.7477,102.58,7436013.758471
2026-02-25,104.99,107.44,102.8,106.12,8737196.170457
2026-02-26,106.0,108.32,102.0,104.88,8529286.813277
2026-02-27,98.7,99.3,88.4,91.19,22945166.686053
2026-03-02,88.0,91.387,86.8,91.01,11049517.551764
2026-03-03,86.15,89.87,83.53,86.8,10158213.984468
2026-03-04,90.4,98.48,90.15,97.78,12975822.848215
2026-03-05,96.75,99.25,91.62,95.65,8769277.223942
2026-03-06,92.3,94.9499,88.8,89.33,7829374.04389
2026-03-09,87.36,95.2,86.5,94.94,9983794.411087
2026-03-10,95.14,98.4,95.0,96.43,7125504.064238
2026-03-11,105.16,114.08,104.49,111.995,34845341.966322
2026-03-12,109.09,111.04,106.52,108.04,13302418.712664
2026-03-13,110.44,116.57,110.14,112.95,15433662.562883
2026-03-16,124.75,132.3,124.423,129.85,34657739.128666
2026-03-17,120.34,121.4999,113.11,116.33,57203829.545301
2026-03-18,114.8,122.7736,114.0,118.56,35792305.765072
2026-03-19,115.255,121.8,114.77,121.52,14606007.921609
2026-03-20,120.475,123.7236,112.634,117.62,17414030.43044
2026-03-23,116.71,121.31,113.5501,114.15,13470116.701485
2026-03-24,116.175,117.8,112.0101,114.91,11880857.659659
2026-03-25,116.87,118.8,113.33,115.09,12131117.912792
2026-03-26,113.255,113.2999,105.41,105.97,13405487.875178
2026-03-27,105.83,106.26,100.27,100.82,11552139.258097
2026-03-30,102.24,102.24,89.6525,92.26,16684975.762702
2026-03-31,97.98,103.89,95.73,103.76,21546895.338154
2026-04-01,105.945,107.87,101.35,101.95,14922003.407315
2026-04-02,96.41,108.96,96.19,108.82,13686790.376336
2026-04-06,108.66,113.84,107.45,112.54,10920687.783487
2026-04-07,110.625,117.9,110.28,117.4,13136907.515377
2026-04-08,126.88,127.75,119.35,125.0,18679230.612682
2026-04-09,125.0,136.55,124.55,136.33,20407808.597853
2026-04-10,134.885,149.82,134.885,144.97,25785086.50828
2026-04-13,142.7,159.5,142.3,154.56,23439613.621418
2026-04-14,161.1,166.0999,158.5201,161.94,21983167.130704
2026-04-15,160.226,166.81,156.5,166.77,14356309.439265
2026-04-16,167.0,168.71,160.0901,165.34,13912331.894191
2026-04-17,163.78,164.06,154.73,157.14,17203573.00227
2026-04-20,157.0,161.75,154.0401,159.16,12962475.490912
2026-04-21,161.22,163.25,155.4,156.55,10061174.939704
2026-04-22,162.86,167.43,155.35,156.14,12899093.02987
2026-04-23,155.9,165.81,154.07,157.08,13968721.879176
2026-04-24,163.67,165.25,145.81,147.16,18386622.405723
2026-04-27,148.39,148.8,138.56,144.96,14122130.122554
2026-04-28,138.4,141.46,132.7,135.51,16041403.376961
2026-04-29,140.095,143.7,134.22,141.19,14962744.037734
2026-04-30,145.185,146.98,135.0,138.23,12682921.350608
2026-05-01,141.33,156.0,140.0,154.49,15854546.88295
2026-05-04,160.385,179.4,159.7,176.42,24793296.310933
2026-05-05,171.65,179.96,168.71,175.92,11763239.112128
2026-05-06,179.595,195.99,175.11,195.09,19331135.186791
2026-05-07,190.01,197.89,177.0,184.77,19203361.693848
2026-05-08,183.7,188.2499,176.5,177.05,12929585.823897
2026-05-11,179.9,196.456,178.55,186.1,14061617.312853
2026-05-12,180.42,185.61,172.25,179.11,11723224.834132
2026-05-13,203.845,217.34,195.0,207.27,38769974.301331
2026-05-14,213.375,233.7299,207.75,221.15,29737783.018084
2026-05-15,217.61,228.79,211.8,219.94,22919762.982668
2026-05-18,217.47,218.07,190.0801,199.86,21056546.63891
2026-05-19,191.0,202.8099,183.0,197.73,16832930.231633
2026-05-20,203.97,204.25,190.64,191.82,13063993.695385
2026-05-21,211.74,226.81,208.8,219.93,23027655.56881
2026-05-22,219.26,221.9199,210.7301,214.77,10606677.078776
