date,open,high,low,close,volume
2026-02-02,97.18,97.91,96.45,96.81,4857701.0
2026-02-03,96.275,96.39,86.2,87.71,14429873.0
2026-02-04,86.7,88.92,84.73,88.49,11493852.0
2026-02-05,89.315,89.47,84.555,85.51,7479611.0
2026-02-06,86.94,87.2,84.12,84.83,10110306.0
2026-02-09,84.67,86.64,84.5,86.3,7114470.0
2026-02-10,82.315,84.51,82.0267,82.51,8384144.0
2026-02-11,82.57,82.765,79.92,80.42,6681118.0
2026-02-12,80.94,81.09,77.09,79.01,8079777.0
2026-02-13,79.03,80.11,78.6,79.47,5122731.0
2026-02-17,80.11,81.115,79.57,80.24,5039677.0
2026-02-18,80.99,82.36,80.555,82.13,4812905.0
2026-02-19,81.59,82.3199,80.925,81.41,4680182.0
2026-02-20,81.76,82.41,81.01,81.87,3449989.0
2026-02-23,81.63,81.81,79.69,79.92,4512493.918193
2026-02-24,79.85,81.58,78.9,81.11,3296199.002663
2026-02-25,82.66,84.36,82.12,83.99,5675802.283215
2026-02-26,85.54,89.0299,85.5,88.59,8282986.79629
2026-02-27,87.5,88.61,86.88,87.58,5031756.685594
2026-03-02,85.96,88.795,85.0223,88.09,4714276.232891
2026-03-03,86.49,88.715,85.85,87.415,3945682.933811
2026-03-04,87.53,89.35,87.4,89.13,2987450.212432
2026-03-05,88.32,89.89,87.64,88.27,2883327.386694
2026-03-06,86.965,90.42,86.965,88.43,6022099.249064
2026-03-09,86.98,88.8,85.61,88.05,4703432.587896
2026-03-10,88.54,88.57,86.2837,87.6,3865702.162645
2026-03-11,87.66,88.01,83.632,85.5,3207290.185774
2026-03-12,84.35,85.45,83.68,84.06,3878952.804082
2026-03-13,84.94,86.32,84.705,85.53,3369831.683561
2026-03-16,85.45,86.38,85.31,85.85,2302107.128348
2026-03-17,86.665,87.45,86.26,86.47,2239228.610354
2026-03-18,85.9,86.21,85.18,85.44,2143723.505056
2026-03-19,85.07,86.35,84.55,86.27,2950428.89542
2026-03-20,85.95,86.64,85.42,86.34,6282937.096841
2026-03-23,86.16,87.5099,85.62,86.4,2552244.486843
2026-03-24,85.59,85.75,84.1,84.28,2140604.653407
2026-03-25,84.89,85.67,83.27,83.74,2610434.450308
2026-03-26,83.505,84.93,83.505,83.78,1696045.565518
2026-03-27,82.86,83.1006,81.0,81.48,2937509.014231
2026-03-30,82.42,84.1,82.25,83.52,2633796.035242
2026-03-31,84.6,85.56,83.57,84.89,3217229.915651
2026-04-01,85.6,85.88,84.18,85.15,2826857.596601
2026-04-02,84.55,86.97,84.2,86.65,2511467.858477
2026-04-06,86.65,88.045,86.41,87.9,2234745.439258
2026-04-07,87.125,87.56,86.2,86.4,2699722.423187
2026-04-08,88.26,88.99,87.7475,88.09,3340386.588853
2026-04-09,88.07,88.07,84.1,84.21,3998322.000013
2026-04-10,84.21,84.21,82.18,83.16,3384348.742894
2026-04-13,82.77,86.22,82.77,86.15,3344780.195541
2026-04-14,86.45,87.47,86.38,86.71,3379922.828468
2026-04-15,87.255,89.08,87.05,88.55,3195228.798752
2026-04-16,88.955,89.215,87.6344,88.87,2654714.152802
2026-04-17,89.43,89.73,88.05,88.61,2818825.937312
2026-04-20,88.56,89.11,87.42,87.78,2358852.019545
2026-04-21,88.33,89.4,87.28,87.6,2255124.150655
2026-04-22,87.6,88.56,84.88,86.37,3850193.345929
2026-04-23,87.53,90.44,86.085,87.04,5543046.771369
2026-04-24,87.3,90.08,87.235,89.9,4173151.637228
2026-04-27,89.24,91.485,89.24,90.43,3848005.33592
2026-04-28,90.71,91.51,89.64,91.31,5002297.314421
2026-04-29,91.0,91.44,90.29,91.27,2484713.130904
2026-04-30,90.63,92.165,89.835,91.91,2477781.261886
2026-05-01,92.43,93.045,91.305,91.32,2186334.814844
2026-05-04,90.89,93.03,90.5725,91.3,2919936.002647
2026-05-05,90.7,90.7,87.32,89.0,5747922.569959
2026-05-06,89.39,90.16,88.59,89.2,3952262.295477
2026-05-07,89.19,89.87,88.61,89.0,2938976.98586
2026-05-08,89.15,89.25,87.82,88.91,2559134.123607
2026-05-11,88.45,88.8,87.73,88.48,2714707.110093
2026-05-12,88.97,90.09,88.09,89.49,2798203.440535
2026-05-13,88.875,90.44,87.98,90.21,2610912.914676
2026-05-14,90.21,92.02,89.62,90.93,3481071.695955
2026-05-15,91.255,91.88,90.4401,91.06,2259717.696384
2026-05-18,90.79,93.16,90.79,92.6,2462812.248975
2026-05-19,92.74,93.63,91.86,91.98,3551447.337039
2026-05-20,91.33,91.6499,88.84,90.01,4617759.062334
2026-05-21,89.52,90.655,89.0,90.41,1980849.658342
2026-05-22,90.68,91.95,90.41,91.01,2549743.077998
2026-05-26,90.92,91.44,90.2,90.88,2480122.353985
2026-05-27,90.47,91.345,89.92,90.53,2408082.242683
2026-05-28,90.65,91.48,90.07,91.0,3183967.920256
2026-05-29,90.91,93.75,90.71,92.52,4990375.944069
2026-06-01,92.485,93.935,92.0,92.81,3313523.264978
2026-06-02,91.92,92.07,86.875,87.91,5714818.802739
2026-06-03,87.58,88.15,86.495,86.81,3611067.946138
2026-06-04,88.8,89.87,88.42,88.45,3263664.916198
2026-06-05,88.88,89.095,86.5,87.28,4356311.159472
2026-06-08,87.28,87.28,86.16,86.78,2562674.083486
2026-06-09,86.885,87.91,86.5,87.52,2380424.361575
2026-06-10,87.455,87.825,86.64,86.72,2315272.908031
2026-06-11,86.91,87.26,85.6023,86.74,2397711.701321
2026-06-12,87.88,88.99,86.76,88.98,2854774.971369
