date,open,high,low,close,volume
2026-02-06,81.02,82.485,80.65,82.2,46154060.0
2026-02-09,82.18,82.205,79.87,81.47,42200212.0
2026-02-10,82.715,84.66,82.09,82.21,43595792.0
2026-02-11,81.96,82.48,79.45,79.62,40840269.0
2026-02-12,79.11,79.15,75.23,75.86,73516074.0
2026-02-13,76.14,77.18,75.53,76.87,42292078.0
2026-02-17,76.92,77.87,75.3,77.0,35961512.0
2026-02-18,77.32,78.32,76.28,77.99,29883106.0
2026-02-19,77.75,78.7,76.59,77.0,30139202.0
2026-02-20,76.61,78.85,76.4,78.67,32411317.0
2026-02-23,77.79,77.83,75.01,76.02,38363022.917116
2026-02-24,75.73,78.12,75.21,78.04,33079056.246814
2026-02-25,79.43,83.117,79.25,82.7,69319330.924532
2026-02-26,83.2,86.5,82.8,84.59,85642486.529891
2026-02-27,94.295,96.75,90.58,96.24,200766960.7008
2026-03-02,95.26,98.07,95.2,97.09,79915361.98414
2026-03-03,96.01,98.46,95.33,97.7,59149000.85715
2026-03-04,97.105,99.75,96.99,98.66,52604273.40167
2026-03-05,98.5,100.19,98.1,99.17,53403048.378608
2026-03-06,99.33,99.88,97.4,99.02,41196294.868178
2026-03-09,97.7,98.94,96.58,98.32,48589009.528778
2026-03-10,97.805,98.49,96.29,96.94,41027158.273365
2026-03-11,97.41,98.0,94.685,94.89,33962858.443407
2026-03-12,94.86,95.4,93.87,94.31,34206855.083382
2026-03-13,94.64,95.68,94.24,95.31,29876659.959916
2026-03-16,95.58,96.1,94.36,95.2,34931831.413131
2026-03-17,95.3,96.34,94.01,94.36,26434496.896641
2026-03-18,94.445,95.335,93.61,94.7,27878318.492794
2026-03-19,94.31,95.75,90.775,91.74,40169250.922713
2026-03-20,91.31,91.88,90.69,91.82,61678012.590419
2026-03-23,92.04,93.98,91.86,93.38,34315874.927486
2026-03-24,92.79,93.7398,90.815,90.92,28938033.538693
2026-03-25,91.71,92.52,91.235,92.28,29545625.751422
2026-03-26,91.52,95.86,91.01,93.32,59522026.093919
2026-03-27,94.57,95.5799,92.74,93.43,44590673.35291
2026-03-30,92.75,94.49,92.22,92.97,32375138.513165
2026-03-31,93.03,96.26,93.03,96.15,54269957.983618
2026-04-01,96.47,97.2,94.264,95.55,30439305.824138
2026-04-02,95.27,98.71,95.17,98.66,37068024.755149
2026-04-06,100.96,102.685,97.97,98.93,37029334.897709
2026-04-07,98.55,99.875,98.25,98.82,25016718.788455
2026-04-08,100.32,100.4,97.44,99.39,30957619.91472
2026-04-09,99.63,102.34,99.08,102.05,35087760.892019
2026-04-10,102.47,103.08,101.46,103.01,25769905.784398
2026-04-13,103.032,103.665,102.06,103.16,26042804.591931
2026-04-14,103.12,106.57,103.04,106.28,40534865.915491
2026-04-15,105.98,107.85,105.04,107.71,38023679.660661
2026-04-16,107.47,108.945,106.6201,107.79,64928250.629667
2026-04-17,96.37,98.74,95.1,97.31,125958732.272629
2026-04-20,97.14,97.6,93.54,94.83,63298264.116804
2026-04-21,94.0,94.65,92.37,92.58,61962275.483343
2026-04-22,93.06,93.85,92.77,93.24,33694345.614841
2026-04-23,94.06,94.64,92.073,92.82,36851674.547232
2026-04-24,92.57,93.28,91.8,92.44,32553177.272583
2026-04-27,92.05,92.84,91.3,91.37,29707439.813393
2026-04-28,91.5,92.34,90.02,92.27,33418126.084466
2026-04-29,91.23,92.855,90.86,92.12,26122087.087877
2026-04-30,91.35,94.22,90.77,93.61,40923012.19613
2026-05-01,94.42,94.7,91.9,92.06,30406881.197393
2026-05-04,92.1,92.33,90.89,91.02,25928818.654593
2026-05-05,91.18,91.28,87.565,87.89,51961335.160254
2026-05-06,87.15,88.55,86.715,88.27,41932442.558231
2026-05-07,88.2,89.3991,88.13,88.25,30627603.315781
2026-05-08,87.71,88.04,87.21,87.49,36215113.032658
2026-05-11,86.525,87.34,85.1,85.45,40556459.48005
2026-05-12,85.905,89.17,85.81,87.66,43556595.918817
2026-05-13,86.565,88.62,86.28,87.56,30823502.116201
2026-05-14,87.62,88.5,86.65,86.94,29408300.273748
2026-05-15,87.69,89.49,86.685,87.02,32335655.114085
2026-05-18,86.495,89.815,86.33,89.65,35800481.585998
2026-05-19,90.14,91.48,88.69,89.33,34545729.868157
2026-05-20,88.515,88.55,87.5,88.09,23463363.770013
2026-05-21,88.03,90.3699,87.5201,89.3,28613851.963995
2026-05-22,89.1,89.9699,88.17,88.6,23847195.428807
