date,open,high,low,close,volume
2026-02-02,61.66,62.565,61.15,62.18,11006256.0
2026-02-03,61.775,62.53,60.43,60.93,17322111.0
2026-02-04,61.72,64.41,61.505,64.22,20957681.0
2026-02-05,64.19,64.58,62.09,62.7,12506222.0
2026-02-06,63.01,64.24,63.0,63.92,11961509.0
2026-02-09,63.565,63.91,62.37,62.41,12920803.0
2026-02-10,63.0,64.19,62.29,63.04,13003437.0
2026-02-11,63.9,64.005,61.675,62.35,15511935.0
2026-02-12,62.33,62.7201,60.845,61.1,13602427.0
2026-02-13,61.59,63.375,61.59,63.13,20180904.0
2026-02-17,62.94,64.82,62.94,64.82,12347499.0
2026-02-18,64.31,66.15,64.31,65.55,11211459.0
2026-02-19,65.2,65.835,64.25,65.61,10778302.0
2026-02-20,65.3,68.49,63.33,65.4,33436805.0
2026-02-23,64.6,64.97,62.05,63.09,17748811.601994
2026-02-24,63.28,64.7,62.6,64.09,14296084.374444
2026-02-25,63.89,64.22,63.26,63.4,9500809.323313
2026-02-26,64.21,65.055,63.775,63.95,10319130.033662
2026-02-27,62.72,62.72,61.5201,62.18,18017400.63786
2026-03-02,59.9,61.53,59.14,61.01,15335009.363872
2026-03-03,59.44,60.11,58.62,59.39,17438644.894603
2026-03-04,59.19,59.49,58.61,58.64,15971331.53315
2026-03-05,58.6,58.7899,57.43,58.02,22040179.524885
2026-03-06,57.47,57.55,56.76,57.01,16323702.917656
2026-03-09,55.74,56.705,55.39,56.53,18053116.445831
2026-03-10,56.7,57.235,55.8,56.08,15706352.013154
2026-03-11,57.6,57.6,55.41,55.7,20245301.830838
2026-03-12,55.28,55.46,54.03,54.13,18611826.002778
2026-03-13,54.34,54.87,53.74,53.98,14377102.183923
2026-03-16,54.265,55.07,53.98,54.79,13115195.09174
2026-03-17,55.45,55.68,55.0,55.12,9861420.893365
2026-03-18,54.5,54.9599,53.26,53.47,16861347.270117
2026-03-19,52.895,53.63,52.59,53.44,12307679.050473
2026-03-20,52.94,53.61,52.175,52.37,19566100.531288
2026-03-23,53.2791,53.56,52.53,52.71,15242693.885951
2026-03-24,52.36,54.08,52.27,53.49,12073811.689794
2026-03-25,53.76,54.22,52.56,52.98,13427125.117415
2026-03-26,52.76,53.615,51.87,52.07,14486700.639306
2026-03-27,51.71,52.11,51.2,51.37,13077815.246386
2026-03-30,51.43,52.185,50.95,51.24,16869214.030571
2026-03-31,51.93,53.11,51.685,52.82,36422802.117636
2026-04-01,46.555,46.83,44.56,44.63,114225664.513696
2026-04-02,43.76,44.3399,43.17,44.19,63242572.204682
2026-04-06,44.16,44.3799,43.56,44.03,26999578.741475
2026-04-07,43.7,43.87,42.36,42.69,38252977.641568
2026-04-08,43.91,44.3,42.76,43.13,29462854.947218
2026-04-09,43.22,44.22,42.72,44.0,24147437.534925
2026-04-10,43.825,43.96,42.4,42.62,26094792.690054
2026-04-13,42.23,42.98,42.09,42.91,21236741.547062
2026-04-14,42.99,44.21,42.95,44.2,22554057.624523
2026-04-15,45.085,45.9,44.705,45.44,31523472.744638
2026-04-16,45.8,46.49,45.55,45.7,21766281.830722
2026-04-17,46.38,46.78,45.78,46.03,31290385.241357
2026-04-20,45.98,46.56,45.57,46.48,19003098.548105
2026-04-21,46.77,46.97,45.925,46.39,22193978.444281
2026-04-22,46.31,46.945,45.5,45.68,17985186.393635
2026-04-23,45.58,45.75,44.24,44.78,17457508.627913
2026-04-24,44.98,45.42,44.59,44.69,15884984.993409
2026-04-27,44.6,45.41,44.49,45.14,14583147.931075
2026-04-28,45.38,45.709,44.7514,45.03,12425958.283724
2026-04-29,44.92,45.16,44.15,44.39,13329694.317247
2026-04-30,44.09,44.81,43.51,44.36,21679491.010414
2026-05-01,44.82,44.96,44.2201,44.4,11562775.522165
2026-05-04,44.19,44.339,43.09,43.09,33272379.583674
2026-05-05,43.04,43.3,42.65,43.06,18589652.759235
2026-05-06,43.63,44.07,43.195,43.88,19406677.395266
2026-05-07,44.05,44.64,44.01,44.41,17177730.915445
2026-05-08,44.26,44.66,43.8,44.14,17357056.208098
2026-05-11,44.065,44.065,42.39,42.39,24863808.335753
2026-05-12,42.3,42.51,42.06,42.35,21271253.186931
2026-05-13,42.2,42.61,41.7,42.34,21325207.803247
2026-05-14,42.555,42.83,41.99,42.02,19146948.553066
2026-05-15,42.0,42.775,41.835,41.88,26172643.315717
2026-05-18,41.88,42.7499,41.35,42.57,18694912.311948
2026-05-19,42.6,43.2,41.812,42.42,22957907.905165
2026-05-20,42.21,44.28,41.83,44.19,27060226.421256
2026-05-21,43.89,44.74,43.16,44.39,18428060.874753
2026-05-22,44.56,44.72,44.21,44.67,14905127.558098
2026-05-26,44.7,44.95,44.1,44.94,18667597.403977
2026-05-27,45.7126,46.59,45.67,45.98,24251934.87306
2026-05-28,45.97,47.645,45.56,47.37,22871346.107719
2026-05-29,47.11,47.2,46.08,46.23,38949132.026581
2026-06-01,45.515,46.275,45.05,45.93,26885138.120577
2026-06-02,45.78,45.78,43.51,43.73,28344988.38882
2026-06-03,43.65,43.99,43.16,43.81,18940517.652642
2026-06-04,44.5,44.7,43.13,43.62,17350887.085408
2026-06-05,43.3,43.735,42.79,42.98,18406484.314734
2026-06-08,43.06,43.855,42.65,43.23,18192037.235777
2026-06-09,43.52,45.275,43.27,44.65,21505816.604785
2026-06-10,43.77,44.5799,43.31,43.96,15335569.020988
2026-06-11,44.52,45.98,44.22,45.96,16647472.411894
