date,open,high,low,close,volume
2026-02-02,6.49,6.69,6.48,6.66,28776182.0
2026-02-03,6.61,6.72,6.585,6.69,34317760.0
2026-02-04,6.825,7.01,6.72,6.8,46800124.0
2026-02-05,6.75,6.92,6.74,6.86,24095642.0
2026-02-06,6.96,7.11,6.96,7.07,29303687.0
2026-02-09,7.02,7.19,6.98,7.18,27973134.0
2026-02-10,7.16,7.18,7.08,7.08,24522412.0
2026-02-11,7.27,7.35,7.14,7.34,32206036.0
2026-02-12,7.17,7.205,6.93,6.97,35874723.0
2026-02-13,6.95,7.0899,6.8815,7.03,22524995.0
2026-02-17,7.03,7.34,7.02,7.3,65856737.0
2026-02-18,7.36,7.5,7.31,7.43,61876250.0
2026-02-19,7.46,7.61,7.43,7.6,50212129.0
2026-02-20,7.65,7.795,7.55,7.77,70938357.0
2026-02-23,7.6,7.715,7.54,7.57,32001014.055449
2026-02-24,7.45,7.56,7.4,7.49,30378997.64748
2026-02-25,7.55,7.63,7.5377,7.57,20380787.349048
2026-02-26,7.44,7.5,7.28,7.5,44024003.083402
2026-02-27,7.5,7.7687,7.46,7.72,39828498.216375
2026-03-02,7.59,8.37,7.57,8.26,125013184.087196
2026-03-03,7.91,8.19,7.66,8.07,85546497.384779
2026-03-04,8.205,8.34,8.0501,8.15,69147560.307304
2026-03-05,7.94,7.98,7.67,7.85,45999839.170459
2026-03-06,7.71,7.855,7.68,7.74,43507345.66891
2026-03-09,7.635,7.91,7.56,7.89,46247348.782878
2026-03-10,7.975,8.19,7.77,7.8,60837811.171681
2026-03-11,7.75,8.009,7.73,7.9,34696503.041424
2026-03-12,8.13,8.31,8.02,8.14,88769692.405194
2026-03-13,8.395,8.66,8.18,8.24,82307432.511955
2026-03-16,8.375,8.82,8.295,8.65,71010048.256669
2026-03-17,8.46,8.6999,8.37,8.55,49725008.699563
2026-03-18,8.55,8.64,8.34,8.36,52448158.331173
2026-03-19,8.04,8.39,8.0,8.3,64257401.272426
2026-03-20,8.37,8.42,7.91,7.98,55116957.973581
2026-03-23,8.03,8.19,7.945,8.06,45090908.669952
2026-03-24,8.06,8.28,8.04,8.25,52853846.644377
2026-03-25,8.42,8.535,8.325,8.41,55987683.474754
2026-03-26,8.44,8.53,8.25,8.28,54616024.238337
2026-03-27,8.06,8.14,7.86,7.98,50816777.769932
2026-03-30,8.17,8.235,7.87,7.96,45739316.460343
2026-03-31,7.94,8.05,7.79,8.04,52758063.492194
2026-04-01,8.13,8.43,8.08,8.27,59809908.050124
2026-04-02,8.075,8.84,8.07,8.82,92257642.473286
2026-04-06,9.15,9.29,8.84,8.89,83637471.777164
2026-04-07,8.58,8.92,8.515,8.85,78345341.560547
2026-04-08,9.175,9.52,9.1,9.44,107640119.574807
2026-04-09,9.41,9.68,9.39,9.55,92391814.401052
2026-04-10,9.73,9.87,9.36,9.46,81032664.339024
2026-04-13,9.78,10.48,9.69,10.37,153190889.903528
2026-04-14,10.34,10.56,10.14,10.35,99606273.759551
2026-04-15,10.37,10.37,9.94,9.99,74676511.710646
2026-04-16,10.08,10.29,9.94,10.29,50131058.661767
2026-04-17,10.475,10.49,10.1901,10.31,48836274.559216
2026-04-20,10.44,10.69,10.44,10.6,88700546.477571
2026-04-21,10.6,10.67,10.36,10.4,61590992.777936
2026-04-22,10.29,10.33,9.79,9.86,110701828.807488
2026-04-23,10.775,10.86,10.1,10.33,176863947.095368
2026-04-24,10.65,10.9,10.31,10.46,126574478.118963
2026-04-27,10.73,11.295,10.69,10.76,141159876.99454
2026-04-28,10.62,11.31,10.46,11.3,135363226.014066
2026-04-29,11.63,12.5979,11.58,12.46,159945983.219517
2026-04-30,12.3,12.92,12.11,12.91,136493582.959682
2026-05-01,13.05,13.89,12.87,13.3,148599617.804399
2026-05-04,13.38,13.5299,13.02,13.14,122095554.446433
2026-05-05,13.63,13.98,13.23,13.42,95319015.581679
2026-05-06,13.35,13.54,13.01,13.19,121621391.958333
2026-05-07,12.81,12.84,12.13,12.35,128229174.611443
2026-05-08,12.35,13.05,12.35,12.82,97077368.541597
2026-05-11,12.97,14.05,12.76,13.92,143926914.576867
2026-05-12,13.5,13.62,12.83,13.17,104242907.036287
2026-05-13,13.81,14.83,13.47,14.71,151685483.411723
2026-05-14,15.146,15.19,14.3,14.46,137481633.994209
2026-05-15,13.74,14.06,13.62,13.95,109259587.372987
2026-05-18,14.37,14.48,13.5,13.74,91726808.210582
2026-05-19,13.42,13.99,13.09,13.67,82613343.127633
2026-05-20,13.915,14.05,13.3,13.62,79252081.159007
2026-05-21,13.655,14.22,13.62,14.18,63920640.673985
2026-05-22,14.7,15.78,14.575,15.47,127724373.416336
2026-05-26,15.99,16.625,15.66,16.46,191317780.164574
2026-05-27,16.0,16.05,15.54,15.68,123792325.078739
2026-05-28,15.82,15.825,15.08,15.28,117360647.802149
2026-05-29,15.18,15.26,14.53,14.84,113012660.915627
2026-06-01,15.07,16.52,14.93,16.25,172998713.54804
2026-06-02,16.56,17.11,16.45,16.85,136069521.227699
2026-06-03,16.985,17.45,16.41,16.73,148764205.596905
2026-06-04,15.785,16.68,15.525,16.62,128968304.230627
2026-06-05,15.66,15.67,14.0,14.38,185183792.686108
2026-06-08,14.86,15.06,14.445,14.59,102809547.144028
2026-06-09,14.58,14.62,13.18,13.85,186505429.718606
2026-06-10,13.71,14.03,13.32,13.4,97426689.312358
2026-06-11,13.57,14.17,13.395,14.09,94785019.542927
2026-06-12,14.34,15.07,14.235,14.8,117902581.257042
