date,open,high,low,close,volume
2026-02-02,115.0,119.5499,113.59,115.6,2034442.0
2026-02-03,116.47,121.87,114.77,119.85,1889610.0
2026-02-04,122.28,124.9,111.5,116.72,2409509.0
2026-02-05,114.73,117.1988,110.1,114.44,1836679.0
2026-02-06,118.41,121.56,116.79,121.37,1888367.0
2026-02-09,121.81,124.595,120.1,121.87,1610369.0
2026-02-10,123.2,123.85,117.5,117.94,2178600.0
2026-02-11,121.71,122.59,114.5,119.9,1925490.0
2026-02-12,121.01,121.87,112.5363,114.24,2240550.0
2026-02-13,113.22,118.87,111.96,116.44,1518767.0
2026-02-17,116.5,123.42,114.24,122.59,1874008.0
2026-02-18,123.0,128.75,121.127,124.49,2493528.0
2026-02-19,122.77,123.31,116.01,116.05,1940739.0
2026-02-20,116.42,120.69,115.38,119.34,1277509.0
2026-02-23,118.84,119.99,114.25,116.99,1168304.149333
2026-02-24,114.44,121.5,112.36,120.58,1447001.828931
2026-02-25,122.5,123.0,116.27,116.51,1604091.632768
2026-02-26,113.94,114.66,104.5101,106.86,2906818.530778
2026-02-27,103.99,106.115,101.16,105.1,2341637.282437
2026-03-02,100.45,104.91,100.2,103.72,1344744.346241
2026-03-03,99.4,101.415,97.46,101.16,1363690.875082
2026-03-04,101.04,104.26,100.195,103.88,2224079.467838
2026-03-05,101.81,103.57,100.31,103.405,2085203.302201
2026-03-06,100.18,102.38,99.0744,101.43,1341300.661219
2026-03-09,100.38,108.44,99.43,108.13,2170186.254807
2026-03-10,109.77,115.24,109.445,113.73,2859184.082236
2026-03-11,115.59,118.81,113.67,116.69,1631002.957581
2026-03-12,113.37,116.695,113.04,115.9,1656609.187139
2026-03-13,117.41,120.99,115.98,119.64,1942307.262216
2026-03-16,121.43,123.24,117.35,118.09,1488473.515516
2026-03-17,119.78,122.38,118.37,121.84,1529251.864458
2026-03-18,121.8,123.0,115.21,115.38,1738011.434262
2026-03-19,114.28,118.94,112.001,118.74,1055884.898415
2026-03-20,117.83,119.68,112.38,114.39,3573337.493968
2026-03-23,115.28,121.01,114.41,116.91,1567206.786107
2026-03-24,116.6,125.06,116.45,124.86,2163858.866327
2026-03-25,126.38,131.7199,125.64,130.42,2063797.688923
2026-03-26,127.34,128.97,119.38,119.85,1617883.480326
2026-03-27,117.4,122.78,117.1359,120.03,1693049.06362
2026-03-30,121.31,121.85,111.91,112.51,2138114.406189
2026-03-31,113.22,120.76,111.56,120.55,2104141.322246
2026-04-01,122.42,125.19,120.21,120.38,1810277.042164
2026-04-02,114.03,119.42,112.76,113.08,1946132.88915
2026-04-06,112.62,113.9699,107.1,108.06,1509014.689657
2026-04-07,108.05,109.745,105.815,109.18,1726755.451537
2026-04-08,116.72,120.975,114.76,116.41,2055342.89521
2026-04-09,116.38,118.45,112.38,113.59,1328784.588786
2026-04-10,113.59,119.87,112.935,117.97,1356497.39618
2026-04-13,117.88,118.235,110.97,111.55,1599003.817037
2026-04-14,113.08,115.35,109.67,114.92,1835870.381142
2026-04-15,116.45,120.87,108.81,110.12,2420104.996353
2026-04-16,110.065,110.17,103.73,106.83,2007682.322168
2026-04-17,108.0,112.22,105.5,111.39,2939202.367967
2026-04-20,109.81,111.4,106.05,106.49,1350814.819524
2026-04-21,107.08,110.58,106.63,108.05,1323865.463191
2026-04-22,110.32,119.3299,110.23,116.19,1787941.317584
2026-04-23,118.44,128.9899,116.66,124.36,2871348.704205
2026-04-24,125.915,128.0,119.63,121.41,1463275.833482
2026-04-27,122.46,124.499,116.89,122.58,1827231.717649
2026-04-28,121.34,122.41,113.57,116.54,1694584.357407
2026-04-29,118.74,118.74,112.85,114.27,1176973.181267
2026-04-30,116.49,120.555,115.0,119.13,1392572.761444
2026-05-01,119.0,123.29,118.21,119.93,1156909.414902
2026-05-04,119.35,121.595,113.0801,116.93,1341932.88578
2026-05-05,119.46,125.71,118.46,123.34,1268492.520328
2026-05-06,124.91,127.37,121.08,126.08,1848425.22929
2026-05-07,127.46,131.25,120.73,120.86,1784783.901183
2026-05-08,123.81,127.02,123.0,125.91,1694935.088597
2026-05-11,126.46,134.32,124.72,126.26,3156140.135545
2026-05-12,127.8,127.8,120.0601,125.37,5680431.454271
2026-05-13,149.23,156.78,133.86,136.37,6069410.039539
2026-05-14,134.89,144.12,123.4,142.75,3155388.374114
2026-05-15,139.29,147.2599,133.6,144.29,2865503.546352
2026-05-18,146.565,146.565,131.3,134.48,2552686.503701
2026-05-19,129.68,132.14,123.2578,127.12,2676330.694623
2026-05-20,127.685,128.12,122.3937,125.42,1978235.361852
2026-05-21,124.48,125.86,119.4406,121.02,3305640.632022
2026-05-22,121.775,131.15,117.39,130.5,2804873.107597
2026-05-26,135.17,136.57,128.0,131.21,2370917.422549
2026-05-27,130.12,137.605,127.32,135.78,1835025.841886
2026-05-28,135.0,138.91,131.8,137.17,1409432.456062
2026-05-29,155.96,163.13,148.1101,156.4,4438444.410765
2026-06-01,151.79,153.0,141.49,145.02,2507640.701732
2026-06-02,145.4,153.23,143.96,152.22,1551014.752995
2026-06-03,151.06,154.53,143.86,146.47,2460875.669351
2026-06-04,144.22,152.425,139.76,150.32,1416118.846205
2026-06-05,145.705,146.34,130.115,131.57,2326391.764668
2026-06-08,135.47,135.7971,124.02,125.65,2079932.31087
2026-06-09,128.1,128.82,114.008,119.27,2820687.813422
2026-06-10,118.38,119.99,109.79,111.95,3401616.075291
2026-06-11,114.83,120.25,111.79,119.68,2413372.074367
