date,open,high,low,close,volume
2026-02-02,73.35,74.04,72.51,73.7,2013630.0
2026-02-03,73.25,73.535,72.08,72.21,4961661.0
2026-02-04,62.35,67.71,58.87,67.63,9429515.0
2026-02-05,67.56,69.56,67.21,69.11,4871658.0
2026-02-06,69.39,69.91,68.03,68.11,4252806.0
2026-02-09,67.9,69.5,67.9,68.66,3622991.0
2026-02-10,69.87,70.805,69.4,70.72,2966388.0
2026-02-11,70.79,71.46,70.18,71.38,3064274.0
2026-02-12,71.73,72.49,70.74,72.3,3950401.0
2026-02-13,72.97,74.0,72.1,72.94,2795750.0
2026-02-17,73.46,74.59,72.785,74.03,2577606.0
2026-02-18,75.26,75.58,73.15,75.5,2822389.0
2026-02-19,75.38,76.35,75.38,75.49,1741182.0
2026-02-20,76.01,78.245,75.88,77.99,2516182.0
2026-02-23,77.95,78.37,74.16,75.29,2390065.852153
2026-02-24,75.44,75.98,73.7215,75.84,1906200.642543
2026-02-25,75.97,78.26,75.97,77.38,2861294.824015
2026-02-26,77.85,79.4069,77.08,78.84,2103003.635304
2026-02-27,79.0,79.905,78.86,79.79,2717584.545629
2026-03-02,79.38,81.06,79.0,80.42,2225300.711847
2026-03-03,79.56,81.485,79.17,81.41,2570598.808397
2026-03-04,81.41,81.835,80.07,81.12,3102903.600768
2026-03-05,80.95,82.74,80.95,81.95,4114859.688773
2026-03-06,81.25,81.8,77.85,80.44,2575981.405792
2026-03-09,80.04,81.14,79.27,80.81,2505601.152286
2026-03-10,80.58,80.78,78.82,78.83,1897013.757416
2026-03-11,78.65,78.945,78.165,78.23,1346602.696182
2026-03-12,78.2,78.58,77.69,78.06,1715992.948598
2026-03-13,78.42,79.345,77.88,79.31,2322393.908066
2026-03-16,79.64,80.5107,79.635,79.75,1439870.543655
2026-03-17,80.12,80.94,79.71,80.23,1163538.280817
2026-03-18,79.91,80.74,79.7,80.4,1750156.091334
2026-03-19,80.42,81.69,80.195,81.28,3011514.303616
2026-03-20,81.04,82.31,80.03,80.97,5097167.823179
2026-03-23,80.5,82.88,79.29,82.69,2397343.199434
2026-03-24,83.03,84.64,83.0,84.16,2707864.362773
2026-03-25,84.58,85.61,83.88,85.17,1704035.686074
2026-03-26,84.88,85.43,82.85,82.96,2866225.944057
2026-03-27,82.84,83.15,82.25,82.79,1531131.277093
2026-03-30,83.4,83.85,83.0,83.25,1480576.269087
2026-03-31,83.92,84.28,83.0,83.73,1771808.888928
2026-04-01,83.55,85.4,83.17,85.39,1754399.83477
2026-04-02,85.24,86.17,84.68,85.69,1259144.598552
2026-04-06,85.4,85.92,85.0,85.14,1437297.108989
2026-04-07,84.94,87.1,84.94,85.86,2021708.074838
2026-04-08,85.58,85.93,83.815,84.71,2533974.090566
2026-04-09,84.58,84.725,81.59,82.48,2383073.636968
2026-04-10,82.09,82.47,78.77,79.01,2651208.094152
2026-04-13,78.92,79.49,77.595,79.34,1954719.27936
2026-04-14,78.94,80.72,78.72,80.72,1544844.645717
2026-04-15,80.74,81.7,80.39,81.1,1864682.092428
2026-04-16,81.44,81.73,76.88,77.9,2936543.623956
2026-04-17,77.87,79.52,75.98,79.48,3501587.207452
2026-04-20,79.29,80.39,79.095,80.34,2551871.012849
2026-04-21,79.94,81.86,79.81,81.62,1908637.808949
2026-04-22,81.84,82.235,80.2,80.45,2002930.431629
2026-04-23,80.27,81.5,80.12,80.43,1324947.016676
2026-04-24,80.18,81.0,79.2,80.89,1348440.543732
2026-04-27,80.86,81.89,79.47,79.61,1755638.216945
2026-04-28,80.37,80.6,77.995,78.47,1901731.44263
2026-04-29,78.36,79.14,77.62,79.03,1845448.544038
2026-04-30,78.81,79.705,78.75,79.03,1550376.87008
2026-05-01,79.52,80.28,78.5,78.72,2974016.581924
2026-05-04,78.3,79.205,77.8,78.23,1932228.258026
2026-05-05,78.24,79.02,77.14,77.26,3364149.074565
2026-05-06,82.97,87.0,81.995,83.68,4897777.580658
2026-05-07,83.95,84.4,80.14,80.18,2553932.97219
2026-05-08,80.31,80.985,79.07,79.41,1839269.431676
2026-05-11,79.3,79.955,76.36,77.33,1974635.120514
2026-05-12,77.65,78.69,76.35,77.98,1783179.928523
2026-05-13,77.94,77.94,76.17,77.0,1168037.57711
2026-05-14,77.42,77.77,74.84,75.5,1556892.500059
2026-05-15,75.72,75.73,74.11,74.48,1855751.682327
2026-05-18,74.63,77.29,74.63,76.68,2047469.976307
2026-05-19,76.9,77.18,74.57,75.26,1954281.870414
2026-05-20,75.18,75.27,73.48,74.33,1358715.237686
2026-05-21,73.96,74.685,72.97,74.26,1326345.581089
2026-05-22,74.26,75.0,73.62,74.96,1319267.690339
2026-05-26,74.41,75.49,73.6901,74.99,1451206.464576
2026-05-27,74.66,75.81,74.1212,74.8,1365250.046826
2026-05-28,74.72,75.99,73.99,75.0,2191956.983159
2026-05-29,75.01,75.85,74.33,75.21,1962670.585261
2026-06-01,75.1,76.38,74.31,76.21,1307592.126921
2026-06-02,76.04,76.04,74.805,75.24,1716313.426544
2026-06-03,75.36,75.705,73.73,75.17,1631067.080837
2026-06-04,76.03,77.035,75.06,75.25,1040878.483987
2026-06-05,75.51,76.9,75.335,76.88,1518304.258065
2026-06-08,76.25,76.81,73.81,74.02,1874747.222018
2026-06-09,74.09,75.36,73.55,73.59,1837628.159058
2026-06-10,73.87,74.33,72.49,73.0,1767301.593019
2026-06-11,72.84,74.71,72.21,74.2,2391690.660603
2026-06-12,74.43,74.71,73.06,73.38,1816620.63632
