date,open,high,low,close,volume
2026-02-12,45.45,46.59,45.285,46.14,1779634.0
2026-02-13,46.15,47.15,46.125,46.98,1661955.0
2026-02-17,47.36,47.5,46.7,46.9,2245891.0
2026-02-18,47.3,47.61,46.0,46.49,2417504.0
2026-02-19,46.98,47.14,46.49,46.73,1540473.0
2026-02-20,47.06,47.36,46.5,47.35,1452371.0
2026-02-23,46.97,48.21,46.97,48.13,1328292.653353
2026-02-24,48.1,48.72,47.6,48.39,1605758.610251
2026-02-25,48.28,48.61,47.38,48.41,1077806.062385
2026-02-26,48.64,48.7,47.06,48.58,1428876.379369
2026-02-27,48.71,49.18,48.595,49.14,1634772.178357
2026-03-02,49.06,49.55,48.955,49.25,1529432.903334
2026-03-03,48.64,49.165,47.96,48.82,1562311.728784
2026-03-04,48.73,49.06,48.09,48.89,1441427.856768
2026-03-05,48.51,48.61,48.0,48.26,1787715.811172
2026-03-06,48.1,48.38,47.41,48.2,1641509.325242
2026-03-09,48.11,48.2,47.08,47.93,1471236.886952
2026-03-10,47.64,48.12,47.4,47.59,1318756.417903
2026-03-11,47.54,47.93,47.0,47.08,2949709.329292
2026-03-12,46.99,48.29,46.79,47.86,2357675.639008
2026-03-13,48.35,48.74,48.145,48.35,1284742.607675
2026-03-16,48.77,48.77,48.25,48.39,1754772.740085
2026-03-17,48.67,48.74,48.13,48.2,1052503.324668
2026-03-18,48.03,48.18,47.725,47.78,1302730.859401
2026-03-19,47.5,47.99,46.9,47.37,1409872.7192
2026-03-20,47.84,47.84,45.93,46.14,5020105.359074
2026-03-23,46.63,47.07,46.12,46.65,2252330.127726
2026-03-24,46.45,47.69,46.29,47.02,1819940.172219
2026-03-25,47.64,47.74,47.14,47.36,1365042.551234
2026-03-26,47.33,47.86,47.0201,47.67,1295714.675187
2026-03-27,47.66,48.17,47.42,47.54,1557047.145161
2026-03-30,48.04,48.29,47.73,47.89,2060950.808023
2026-03-31,48.5,48.5,47.47,47.96,2165156.867963
2026-04-01,47.74,48.44,47.6,48.26,2957326.061674
2026-04-02,48.38,48.89,48.26,48.76,1747497.183014
2026-04-06,48.11,48.67,47.91,48.61,1533331.926675
2026-04-07,48.57,49.37,48.57,49.01,1307480.239189
2026-04-08,48.81,49.37,48.43,49.32,1476720.127065
2026-04-09,49.25,50.13,49.23,49.86,1355404.324323
2026-04-10,49.72,49.97,49.29,49.45,1061424.950774
2026-04-13,49.49,49.49,48.38,48.6,979527.036581
2026-04-14,48.45,49.03,48.11,48.84,1661653.192926
2026-04-15,48.52,48.86,48.26,48.55,1396376.768097
2026-04-16,48.45,48.75,48.195,48.62,1432614.863639
2026-04-17,48.32,48.385,47.77,48.16,1387955.053809
2026-04-20,48.19,48.3,47.22,47.3,1197228.799935
2026-04-21,47.45,47.65,46.42,46.5,1108331.959017
2026-04-22,46.82,46.945,45.75,46.04,1737760.409882
2026-04-23,46.5,47.62,46.5,47.53,1492292.344635
2026-04-24,47.5,47.5999,47.07,47.1,1586841.258954
2026-04-27,47.91,48.085,47.51,47.59,1361380.56272
2026-04-28,48.12,48.18,47.385,47.59,1962750.674212
2026-04-29,47.78,47.91,46.99,47.34,2361250.548423
2026-04-30,47.74,48.91,47.625,48.8,2358946.907701
2026-05-01,48.83,49.16,48.18,48.18,2017910.448791
2026-05-04,47.94,48.45,47.605,47.84,1244806.672518
2026-05-05,47.88,48.24,47.73,47.84,1408489.720859
2026-05-06,47.73,48.0995,47.195,47.73,2025023.926716
2026-05-07,47.52,47.91,47.225,47.33,1599889.126175
2026-05-08,47.51,47.76,47.255,47.35,1150769.726049
2026-05-11,47.65,47.875,47.37,47.4,1402735.029123
2026-05-12,47.4,47.73,47.14,47.64,1920580.414489
2026-05-13,47.34,47.43,46.95,47.34,1575755.675285
2026-05-14,47.35,47.66,47.25,47.51,1077104.924825
2026-05-15,47.41,47.56,46.255,46.27,1038817.646624
2026-05-18,46.66,47.345,46.66,47.31,1545221.114374
2026-05-19,47.24,48.15,47.075,48.05,1238781.453085
2026-05-20,48.23,48.4,47.85,47.9,1366776.257349
2026-05-21,47.8,48.145,47.7175,48.1,1183050.943701
2026-05-22,48.17,48.65,47.92,48.54,1042891.383357
2026-05-26,48.4,48.53,48.03,48.41,1096799.242133
2026-05-27,48.21,48.3401,47.81,48.18,1133267.707664
2026-05-28,48.03,48.27,47.25,47.38,1052636.823503
2026-05-29,47.24,47.42,46.9,47.23,1896165.696561
2026-06-01,46.88,46.91,45.62,45.66,1371488.929903
2026-06-02,45.74,46.75,45.74,46.61,1307649.048721
2026-06-03,46.7,47.36,46.39,46.4,2909204.096258
2026-06-04,46.74,47.1,46.24,46.97,1205843.45834
2026-06-05,47.14,48.07,47.01,47.8,1051007.928085
2026-06-08,47.61,47.73,46.31,46.62,1856555.833046
2026-06-09,46.79,47.67,46.65,47.4,1713797.914991
2026-06-10,47.87,48.01,47.435,47.64,1049198.869552
